מוטוקרוס
עונת 2013 - וינגייט Motocross ExTReme fest - 06-09-2013
ג'וניורס 8-12 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,30,רייזמן-פינק יובל,4,4:55.631,,1:12.956
2,47,סלע סוף,4,5:00.069,4.438,1:10.291
3,93,לביא איתי,4,5:35.173,39.542,1:19.683
4,10,קסורלה דודי,4,5:42.081,46.450,1:18.082
5,33,זרקו גיל,4,6:00.159,1:04.528,1:21.469
6,95,שטיין ירין,4,6:13.933,1:18.302,1:24.697
7,100,יוחאי רן,4,6:14.399,1:18.768,1:28.615
8,66,אבטליון טל,1,1:13.312,3 הקפות,
הקפה מהירה: (47) סלע סוף - 1:10.291
ג'וניורס 8-12 - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,30,רייזמן-פינק יובל,4,4:59.544,,1:10.072
2,47,סלע סוף,4,5:18.495,18.951,1:09.864
3,33,זרקו גיל,4,5:35.138,35.594,1:21.577
4,93,לביא איתי,4,5:47.582,48.038,1:22.720
5,95,שטיין ירין,4,6:17.198,1:17.654,1:27.319
6,100,יוחאי רן,4,6:33:594,2:34.050,1:31.478
7,10,קסורלה דודי,2,3:50.976,2 הקפות,2:27.248
לא התחיל - DNS
,66,אבטליון טל,,,,
הקפה מהירה: (47) סלע סוף - 1:09.864
ג'וניורס 12-16 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,90,מלאכי גל,8,7:44.006,,53.617
2,85,לביא מעין,7,6:33.901,1 הקפה,54.461
3,59,הראל עמית,7,6:56.426,1 הקפה,57.919
4,5,מיכאלי עילי,7,7:00.778,1 הקפה,56.272
5,94,צרפתי עמית,7,7:02.850,1 הקפה,58.202
6,92,צרפתי שגיא,7,7:31.224,1 הקפה,58.595
7,22,דב איתי,7,7:46.616,1 הקפה,1:02.890
8,38,שני איתמר,6,6:32.429,2 הקפות,1:01.279
9,84,בן אהרון עילאי,6,6:47.053,2 הקפות,1:04.161
10,666,הלה שובל,6,6:51.523,2 הקפות,1:02.728
11,51,קיסוס אופק,6,6:55.708,2 הקפות,1:03.352
12,83,לביא אלון,6,7:07.592,2 הקפות,1:07.595
