קארטינג
מרוץ 3 עונת 2013 - מנחת פיק - 11-10-2013

מקצה דירוג
מקום,מספר,נהג,קטגוריה,זמן,פער,הקפה
1,65,הרבי אור,125,27.883,,15
2,69,בלנגה דביר,125,27.932,0.049,24
3,16,רינקר רן,125,28.330,0.447,22
4,5,מלמד אדר,125,28.493,0.610,18
5,79,קובנביקי איילי,125,28.615,0.732,19
6,811,מויזס איגור,125,29.084,1.201,13
7,1,שרלינג מיכאל,YAMAHA,30.461,2.578,14
8,71,שריקי חן,YAMAHA,30.662,2.779,21
9,22,גולן סופי,YAMAHA,30.685,2.802,22
10,81,גלוסקין ניר,YAMAHA,31.340,3.457,10

חצי גמר YAMAHA
מקום,מספר,נהג,הקפות,זמן,פער,הקפה מהירה
1,1,שרלינג מיכאל,20,10:16.613,,30.334
2,22,גולן סופי,20,10:18.996,2.383,30.631
3,71,שריקי חן,20,10:19.574,2.961,30.390
4,81,גלוסקין ניר,20,10:26.281,9.668,30.646
הקפה מהירה: (1) שרלינג מיכאל - 30.334

חצי גמר 125
מקום,מספר,נהג,הקפות,זמן,פער,הקפה מהירה,עונשין
1,69,בלנגה דביר,20,9:35.545,,27.757,
2,811,מויזס איגור,20,9:48.436,12.891,28.705,
3,79,קובנביקי איילי,20,9:50.357,14.812,28.302,5.000
4,5,מלמד אדר,20,9:53.076,17.531,28.594,5.000
5,16,רינקר רן,7,3:31.604,13 הקפות,28.833,
6,65,הרבי אור,1,33.171,19 הקפות,29.551,
הקפה מהירה: (69) בלנגה דביר - 27.757

גמר YAMAHA
מקום,מספר,נהג,הקפות,זמן,פער,הקפה מהירה
1,1,שרלינג מיכאל,25,12:45.607,,29.791
2,22,גולן סופי,25,12:53.181,7.574,30.400
3,71,שריקי חן,25,12:57.286,11.679,30.190
4,81,גלוסקין ניר,6,3:10.419,19 הקפות,30.561
הקפה מהירה: (1) שרלינג מיכאל - 29.791

גמר 125
מקום,מספר,נהג,הקפות,זמן,פער,הקפה מהירה
1,69,בלנגה דביר,25,12:01.753,,27.991
2,811,מויזס איגור,25,12:13.435,11.682,28.768
3,5,מלמד אדר,25,12:15.647,13.894,28.579
4,79,קובנביקי איילי,5,2:36.113,20 הקפות,28.748
5,16,רינקר רן,1,33.580,24 הקפות,30.284
הקפה מהירה: (69) בלנגה דביר - 27.991
