באחה ישראל
עונת 2013 - קצרין - 15-11-2013

250
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,7,נגרקר שגיב,,30:35.048,32:50.587,31:21.597,01:34:47.232,
2,15,קלמפנר רומן,,33:42.996,34:25.096,33:15.606,01:41:23.698,6:36.466
3,16,פלדמן עידו,,36:21.030,36:33.265,35:54.533,01:48:48.828,14:01.596
4,13,וינברגר נתן,,38:16.684,39:53.952,38:04.722,01:56:15.358,21:28.126
5,12,בריל בר,,38:48.416,48:38.132,48:37.892,02:16:04.440,41:17.208
,11,מלכה איתמר,,47:59.397,,,,

מקצועית
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,2,שמש תומר,,32:15.155,32:23.272,32:11.169,01:36:49.596,
2,3,כהן דרור,,33:15.761,34:20.468,33:22.467,01:40:58.696,4:09.100
3,1,וולנברג ערן,,34:00.139,33:27.680,35:03.254,01:42:31.073,5:41.477

סניורים
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,8,ונדרהורן צליל,,34:28.441,34:48.903,35:00.292,01:44:17.636,
2,18,וינטר דורון,,36:40.829,37:34.307,36:18.491,01:50:33.627,6:15.991
3,5,שושני עומר,,41:12.547,41:59.665,41:26.394,02:04:38.606,20:20.970
4,6,אונגר אילן,,40:27.766,45:03.948,43:41.997,02:09:13.711,24:56.075
5,14,ביבי ארז,,49:10.584,43:17.441,40:24.681,02:12:52.706,28:35.070
6,9,דהן נפתלי,,40:19.531,44:52.955,50:42.847,02:15:55.333,31:37.697

TT
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,62,יפרח אלירן,פרץ דוד,30:52.346,31:52.458,31:56.806,01:34:41.610,
2,60,כהן ירון,שיטאי יואב,31:33.915,31:56.646,32:43.608,01:36:14.169,1:32.559
3,61,סברוב לירן,אפרתי אייל,31:49.281,44:52.503,53:51.908,02:10:33.692,35:52.082
,63,לביא אייל,חמו איציק,30:39.757,,,,

T1 4X4
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,50,הימן רז,בצלאל חזי,34:09.170,33:51.290,43:13.470,01:51:13.930,
,51,שקל עידו,שקל ניצן,38:21.310,40:50.964,,,

XP900
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,72,פישמן רוני,,33:40.659,35:07.740,33:19.776,01:42:08.175,
2,73,פרל דני,,35:30.468,43:21.219,39:03.530,01:57:55.217,15:47.042
3,71,בורשטיין שגיא,,39:54.606,43:06.899,38:57.530,02:01:59.035,19:50.860
לא סיים - DNF
,70,בריל תום,מילר דובי,,,,,

CUP 800
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,75,מגידיש מור,,37:35.088,38:06.204,37:58.810,1:53:40.102,
,74,ביתן גד,,38:24.331,33:36.842,,,
,76,לביא אלעד,,38:09.900,,,,
לא סיים - DNF
,77,מלמד אדר,יוחאי מיקי,,,,,

T2
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,68,גז צבי,סגל איציק,46:42.371,44:04.255,,1:30:46.626,
2,69,שפרונץ דדי,גוטליב גיא,44:51.610,47:28.718,,1:32:20.328,1:33.702

T1 2X4
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,55,פטורי אילן,סגל איציק,50:24.000,48:15.046,,1:38:39.046,

טרקטורונים
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
,20,שרון יובל,,,,,,

© כל הזכויות שמורות לתנועה מדידת זמנים
