ראלי
עונת 2013 - בקעת הירדן 2 - 06-12-2013
CUP GT/WRX
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,29,ג"אבר פאדי,אורי כהן,9:21.493,8:47.422,8:32.193,8:35.375,35:16.483,
2,25,דר רון,אלכסיי וייסנבלום,9:21.131,8:34.447,9:49.200,8:29.199,36:13.977,57.494
3,27,לזר דודי,שי שמעוני,9:58.972,9:45.661,9:32.494,9:34.936,38:52.063,3:35.580
לא סיים - הקפה 2 - DNF
,28,בריל איציק,דובי מילר,9:47.819,,,,,
TT
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,15,לביא אייל,איציק חמו,8:49.182,8:41.261,8:36.143,8:32.781,34:39.367,
2,20,אברמוב ארז,,9:41.044,9:18.128,9:12.067,9:17.810,37:29.049,2:49.682
LUTV
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,1,בריל תום,,8:45.852,8:45.981,8:45.744,8:42.585,35:00.162,
2,4,פרל עומר,,9:32.379,9:20.117,9:13.016,9:19.298,37:24.810,2:24.648
3,3,בורשטיין שגיא,,9:08.251,9:08.080,9:42.495,9:26.780,37:25.606,2:25.444
לא סיים - הקפה 2 - DNF
,2,פישמן רוני,,9:06.166,,,,,
T2
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,13,שפירא רועי,,9:54.920,9:47.308,9:34.184,9:28.521,38:44.933,
2,12,שפרונץ דדי,גיא גטליב,10:06.793,10:04.750,10:08.665,10:02.500,40:22.708,1:37.775
RZR CUP
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,7,לביא אלעד,,9:49.921,9:48.216,9:45.398,9:37.294,39:00.829,
2,8,מלמד אדר,,9:52.975,9:49.712,9:40.122,9:42.332,39:05.141,4.312
3,10,מזרחי רפי,,10:15.445,10:07.966,9:53.224,9:52.285,40:08.920,1:08.091
4,6,ביתן גד,,10:02.517,22:23.772,10:02.644,10:03.240,52:32.173,13:31.344
לא סיים - הקפה 4 - DNF
,9,מגידיש מור,,10:09.261,10:02.627,9:58.522,,,
