באחה ישראל
עונת 2013 - מטה יהודה - 20-12-2013

מקצועית
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,2,שמש תומר,,13:57.945,13:43.292,13:17.183,13:03.373,54:01.793,
לא התחיל - הקפה 3 - DNS
,1,לוי יונתן,,12:58.055,21:24.009,,,,
,3,שטראוס עופרי,,14:01.113,13:44.490,,,,

סניורים
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,7,וינטר דורון,,15:14.964,14:48.939,14:11.827,14:10.635,58:26.365,
2,10,ונדרהורן צליל,,15:53.094,15:16.973,15:10.657,15:17.194,1:01:37.918,3:11.553
3,8,אונגר אילן,,16:41.941,17:39.381,17:11.153,17:01.303,1:08:33.778,10:07.413
4,9,דהן נפתלי,,17:46.730,17:33.121,17:06.554,17:11.074,1:09:37.479,11:11.114
5,6,שושני עומר,,19:02.413,18:10.721,18:01.726,17:52.256,1:13:07.116,14:40.751

250
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,5,וינברגר מתן,,18:12.240,17:46.197,17:25.452,17:16.672,1:10:40.561,
לא סיים - הקפה 2 - DNF
,4,מלכה איתמר,,20:27.413,,,,,

TT
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,67,חסון דור,דוד פרץ,17:23.733,15:14.705,14:07.929,19:09.216,1:05:55.583,
2,66,לביא אייל,איציק חמו,44:36.068,14:22.222,13:50.164,13:12.748,1:26:01.202,20:05.619

T1 2X4
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,56,אברמוב ארז,גדעון בן שמואל,15:24.454,15:04.866,14:55.713,14:34.397,59:59.430,
לא התחיל - הקפה 2 - DNS
,55,פטורי אילן,איציק סגל,20:40.972,,,,,

T1 4X4
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,70,הימן רז,הלל סגל,15:29.274,14:50.773,14:30.495,14:13.261,59:03.803,

T2
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,79,שפירא רועי,עידו שקל,17:16.360,17:12.625,16:31.536,16:18.466,1:07:18.987,
2,78,גז צבי,דובי מילר,18:45.961,18:00.462,17:35.979,17:58.748,1:12:21.150,5:02.163

SBS
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,11,שרון יובל,,14:47.346,14:52.787,14:26.329,14:19.960,58:26.422,

RZR 800
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,41,מלמד הדר,,16:41.861,15:37.865,15:21.816,15:18.181,1:02:59.723,
2,40,לביא אלעד,,16:48.780,16:20.576,16:18.379,15:52.551,1:05:20.286,2:20.563
3,45,מגדיש מור,,16:26.591,16:05.061,16:41.336,17:15.969,1:06:28.957,3:29.234

טרקטורונים
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
לא סיים - הקפה 3 - DNF
,20,דהאן נועם,,16:10.609,15:23.613,,,,

© כל הזכויות שמורות לתנועה מדידת זמנים
