ראלי ספרינט
מרוץ 4 עונת 2013 - אילת - 26-12-2013

S8 4X4
מקום,מספר,נהג,נווט,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,32,שוכטוביץ רמי,,2:52.153,3.000,2:50.292,,2:47.755,,2:47.755,
2,23,אל האדי חוסאם עבד,,2:55.941,3.000,2:49.300,,2:50.092,3.000,2:49.300,1.545
3,28,ירון נדב,,2:49.559,,2:59.514,,2:50.985,,2:49.559,1.804
4,31,כהן קובי,שי אסרף,2:55.017,,2:52.450,,2:53.937,3.000,2:52.450,4.695
5,37,בן ארי ניר,,2:54.059,,,,,,2:54.059,6.304
6,30,חמאדה עודה,,2:52.945,3.000,2:51.776,3.000,2:52.718,6.000,2:54.776,7.021
7,27,לביא אהוד,,2:57.288,,2:54.873,,3:01.260,,2:54.873,7.118
8,14,בן ארי אייל,,2:56.177,,,,,,2:56.177,8.422
9,13,אברבוך רונן,,2:58.401,,2:57.237,,3:04.990,9.000,2:57.237,9.482
10,24,ברמלי אמיר,,3:13.185,,3:11.405,,3:25.478,3.000,3:11.405,23.650
נפסל - מקצה 3 - DSQ
,25,בריל איציק,,,3.000,,,,,,
לא סיים - מקצה 4 - DNF
,14,בן ארי אייל,,2:56.177,,,,,,,
נפסל - מקצה 4 - DSQ
,25,בריל איציק,,,3.000,,,,,,
S7 CUP
מקום,מספר,נהג,נווט,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,21,גדיר רמי,,2:51.712,3.000,2:53.717,,2:57.290,,2:53.717,
2,20,זית ג'קי,,3:03.649,,3:02.129,,3:22.082,,3:02.129,8.412
3,19,קוחניצקי ויקטור,,3:30.242,,3:28.427,,3:15.643,6.000,3:21.643,27.926
4,15,בוזגלו גבי,גידי קרונין,3:26.492,,3:27.974,,3:32.234,3.000,3:26.492,32.775
S6 2X4
מקום,מספר,נהג,נווט,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,7,חלווה אלון,דובי מילר,3:04.560,3.000,3:02.778,3.000,3:04.288,,3:04.288,
2,5,לוי ניצן,,3:11.053,,3:09.415,,3:08.850,,3:08.850,4.562
3,18,בורשטיין טוני,,3:20.908,,3:47.190,,3:21.628,,3:20.908,16.620
4,3,בורשטיין איתי,,3:28.752,,3:26.582,,3:26.817,,3:26.582,22.294
לא סיים - מקצה 3 - DNF
,4,כהן אורי,אופיר ליפז,,,,,,,,
RZR
מקום,מספר,נהג,נווט,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,22,בריל תום,,2:50.713,3.000,2:51.506,3.000,2:52.878,3.000,2:53.713,
2,40,פישמן רוני,,3:00.197,,3:02.004,,2:58.271,,2:58.271,4.558
3,17,מזרחי שחף,,3:01.994,,2:58.650,,3:54.037,,2:58.650,4.937
4,16,פרל עומר,,3:03.612,3.000,3:01.366,,2:59.471,,2:59.471,5.758
5,1,פרל דני,,3:02.980,,3:03.974,3.000,3:01.232,,3:01.232,7.519
6,2,חסיד אבישי,,3:06.001,,3:03.922,,,,3:03.922,10.209
נפסל - מקצה 5 - DSQ
,2,חסיד אבישי,,3:06.001,,3:03.922,,,,,
RZR CUP
מקום,מספר,נהג,נווט,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,11,מלמד אדר,,3:01.427,3.000,3:03.076,3.000,3:03.241,3.000,3:04.427,
2,8,מזרחי רפאל,,3:05.107,,3:08.165,,3:07.184,3.000,3:05.107,0.680
3,10,מגידיש מור,,3:08.643,,3:11.948,3.000,3:10.161,,3:08.643,4.216
4,9,ביתן גדי,,3:12.576,,3:10.790,3.000,3:09.676,,3:09.676,5.249
4x4 רכבי שטח
מקום,מספר,נהג,נווט,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,26,שחם גל,,3:01.935,,2:57.532,3.000,2:55.019,,2:55.019,
2,12,שפרונץ דדי,,3:16.486,,3:17.156,,3:16.296,,3:16.296,21.277

© כל הזכויות שמורות לתנועה מדידת זמנים
