אנדורו
מרוץ 2 עונת 2014 - בית קשת - 27-12-2013

E1 - מקצועית קטנה
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן,פער
1,16,שפירא תומר,5:40.563,5:37.618,5:34.078,5:33.633,5:32.735,5:31.557,33:30.184,
2,6,שטפל רון,5:45.924,5:49.698,5:46.804,5:48.118,5:43.857,5:43.935,34:38.336,1:08.152
3,84,יעקב סער,5:59.343,6:01.068,5:47.472,5:44.489,5:44.384,5:41.531,34:58.287,1:28.103
4,121,כרמלי אוריה,6:00.350,5:58.060,5:50.414,5:47.561,5:48.703,5:53.693,35:18.781,1:48.597
5,12,דובדבני תובל,6:08.573,6:02.720,5:56.199,5:58.384,5:58.275,6:01.314,36:05.465,2:35.281
E2 - מקצועית בינונית
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן,פער
1,22,לוי יונתן,5:26.772,5:25.937,5:19.649,5:15.934,5:16.611,5:24.858,32:09.761,
2,299,חמו נמרוד,5:33.032,5:32.094,5:24.587,5:19.794,5:22.997,5:19.718,32:32.222,22.461
3,4,כהן דרור,5:49.509,5:43.332,5:31.631,5:35.872,5:38.880,5:37.036,33:56.260,1:46.499
E3 - מקצועית פתוחה
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן,פער
1,94,נוב בר,5:53.197,5:42.167,5:32.691,5:32.513,5:35.299,5:37.375,33:53.242,
2,10,זיו נתנאל,5:53.301,5:46.915,5:42.438,5:42.895,5:46.618,5:39.073,34:31.240,37.998
3,25,שמש תומר,5:54.926,5:55.206,5:45.417,5:44.626,5:38.486,5:36.430,34:35.091,41.849

C1 - עממית קטנה
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,68,"יעקובוביץ"" ירון",6:18.031,6:09.590,6:13.670,6:08.702,6:10.146,31:00.139,
2,800,שלו זאב,6:29.878,6:21.970,6:11.415,6:08.278,6:07.137,31:18.678,18.539
3,19,כספי אמיר,6:42.670,6:31.474,6:11.601,6:18.680,6:14.362,31:58.787,58.648
4,79,שטרן עמית,6:44.298,6:32.231,6:26.123,6:24.994,6:25.217,32:32.863,1:32.724
5,95,יעקב גל,6:30.339,6:33.816,6:29.004,7:00.120,6:24.336,32:57.615,1:57.476
6,101,וייס דן,11:23.904,6:22.403,6:24.276,6:23.347,6:24.596,36:58.526,5:58.387
C2 - עממית בינונית
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,161,איזנבנד טל,6:23.242,6:02.862,6:09.123,5:57.258,5:59.705,30:32.190,
2,65,קבסא רפאל,6:16.811,6:11.458,6:07.021,6:06.583,6:10.546,30:52.419,20.229
3,69,אורן יאיר,6:22.067,6:10.286,6:06.363,6:08.439,6:08.367,30:55.522,23.332
4,29,בן - גיגי צחי,6:38.520,6:22.394,6:17.430,6:10.036,6:15.761,31:44.141,1:11.951
5,17,שינו עידו,8:57.517,6:51.872,6:47.553,7:31.197,7:01.813,37:09.952,6:37.762
לא סיים - הקפה 2 - DNF
,44,סבי מעין,8:03.214,,,,,,
C3 - עממית פתוחה
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,82,מסיקה עמרי,6:47.420,6:31.947,6:28.284,6:37.162,6:25.126,32:49.939,
2,80,לוי עדי,7:04.022,6:33.815,6:29.499,6:25.060,6:34.872,33:07.268,17.329
3,55,ברלה אייל,6:37.277,6:43.041,6:46.506,6:45.607,6:42.974,33:35.405,45.466
סניורים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,41,לוגסי נדב,6:16.124,6:19.413,6:22.642,6:17.897,6:22.987,31:39.063,
2,45,קלנר איציק,6:24.304,6:42.432,6:34.828,6:32.509,6:19.675,32:33.748,54.685
3,42,קיסוס שי,11:32.948,7:35.845,7:28.559,7:35.752,7:38.442,41:51.546,10:12.483

מתחילים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,903,דוד הדר,6:43.369,6:49.337,6:35.394,6:46.544,26:54.644,
2,904,דדיה יעקב,7:01.372,6:56.274,6:47.676,6:35.101,27:20.423,25.779
3,5,לויתן מור,7:25.170,6:47.340,6:58.638,6:43.367,27:54.515,59.871
4,998,קדוש נוי,6:58.528,7:09.212,7:08.326,7:07.071,28:23.137,1:28.493
5,77,שינו יוני,8:15.524,7:05.246,6:53.153,6:59.598,29:13.521,2:18.877
6,905,ירום אלי,7:37.948,7:16.519,7:17.912,7:14.413,29:26.792,2:32.148
7,147,למברוזו איציק,7:24.778,7:20.048,7:29.647,7:24.593,29:39.066,2:44.422
8,901,מור דורון,7:16.346,7:37.389,7:35.427,7:20.238,29:49.400,2:54.756
9,950,זמל נימרוד,7:53.298,7:27.625,7:42.793,7:36.974,30:40.690,3:46.046
10,902,זמירי עומר,11:53.714,7:52.420,7:36.748,7:32.957,34:55.839,8:01.195

J2 - נוער
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,47,סלע גב,7:07.266,6:45.520,6:43.675,6:39.969,27:16.430,
2,21,בירנבאום טל,6:55.722,7:16.560,6:57.841,7:18.420,28:28.543,1:12.113
3,57,שני איתמר,8:25.703,7:23.850,7:16.034,7:31.551,30:37.138,3:20.708

J1 - ילדים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,33,זרקו גיל,8:58.366,8:43.952,8:43.028,26:25.346,
2,58,סלע סוף,8:49.358,8:27.684,22:09.586,39:26.628,13:01.282
