S8 4X4
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,30,חמאדה עודה,2:34.746,,2:35.295,,2:34.039,3.000,2:34.746,
2,23,אל האדי חוסאם עבד,2:36.167,,2:35.931,3.000,2:46.749,,2:36.167,1.421
3,14,בן ארי אייל,2:37.099,,2:41.886,,2:44.752,,2:37.099,2.353
4,31,כהן קובי,2:37.352,,2:53.934,,2:35.947,6.000,2:37.352,2.606
5,37,בן ארי ניר,2:39.335,,2:40.092,,2:37.525,,2:37.525,2.779
6,13,אברבוך רונן,2:37.740,,,,,,2:37.740,2.994
7,25,בריל איציק,2:38.267,,2:35.745,6.000,2:37.354,3.000,2:38.267,3.521
8,27,לביא אהוד,2:40.319,,2:41.363,,2:44.357,,2:40.319,5.573
9,24,ברמלי אמיר,2:51.891,,2:54.003,,2:53.002,,2:51.891,17.145
לא סיים - מקצה 3 - DNF
,28,ירון נדב,,,,,,,,
,32,שוכטוביץ רמי,,,,,,,,
S7 CUP
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,21,גדיר רמי,2:46.928,,2:49.396,,2:48.741,,2:46.928,
2,15,בוזגלו גבי,3:09.640,,3:00.383,3.000,2:59.121,,2:59.121,12.193
3,19,קוחניצקי ויקטור,3:02.330,,3:03.206,,3:05.189,3.000,3:02.330,15.402
S6 2X4
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,33,חלווה אלון,2:44.523,,2:47.200,,,,2:44.523,
2,5,לוי ניצן,2:54.002,,2:51.117,,2:50.972,,2:50.972,6.449
3,4,כהן אורי,3:02.321,,,,2:58.288,,2:58.288,13.765
4,18,בורשטיין טוני,2:58.302,,2:57.670,3.000,3:51.321,3.000,2:58.302,13.779
5,7,בן ארי לירון,3:01.307,,3:00.340,,2:59.361,,2:59.361,14.838
6,3,בורשטיין איתי,3:24.361,,3:05.797,,3:05.505,,3:05.505,20.982
לא סיים - מקצה 4 - DNF
,4,כהן אורי,3:02.321,,,,2:58.288,,,
RZR
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,22,בריל תום,2:39.021,,2:35.204,,2:35.012,,2:35.012,
2,40,פישמן רוני,2:42.483,,2:43.804,,2:43.450,,2:42.483,7.471
3,17,מזרחי שחף,2:43.160,,2:46.197,3.000,2:43.670,,2:43.160,8.148
4,16,פרל עומר,2:45.462,,2:43.325,,2:43.852,,2:43.325,8.313
5,1,פרל דני,2:48.677,,2:48.529,,2:45.772,,2:45.772,10.760
6,2,חסיד אבישי,2:48.362,,2:47.033,,2:48.030,,2:47.033,12.021
RZR CUP
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,8,מזרחי רפאל,2:47.780,,2:46.678,,2:47.756,,2:46.678,
2,11,מלמד אדר,2:48.624,,2:45.672,3.000,2:46.162,3.000,2:48.624,1.946
3,9,ביתן גדי,2:52.363,,2:52.632,,2:53.832,,2:52.363,5.685
4,10,מגידיש מור,2:54.035,,2:54.376,,2:52.688,3.000,2:54.035,7.357
4x4 רכבי שטח
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,26,שחם גל,2:47.498,,2:46.606,,2:46.911,,2:46.606,
2,12,שפרונץ דדי,2:58.100,,2:57.347,,3:00.055,,2:57.347,10.741
