E1
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,16,תומר שפירא,6,5:40.500,5:41.012,5:38.919,5:41.740,5:51.975,6:00.702,00:34:34.848,-
2,6,רון שטפל,6,6:03.329,5:52.654,5:56.394,6:00.101,6:09.539,6:30.685,00:36:32.702,1:57.854
3,84,סער יעקב,6,6:03.524,6:07.067,6:53.861,6:11.944,6:04.716,6:41.671,00:38:02.783,3:27.935
4,100,גיל קינן,6,6:19.796,6:18.588,6:23.509,6:18.945,6:24.582,6:38.411,00:38:23.831,3:48.983
5,121,אוריה כרמלי,6,6:17.537,6:27.840,6:14.792,6:13.343,6:22.510,6:57.573,00:38:33.595,3:58.747
E2
מקום,מספר,שם,מספר הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,22,יונתן לוי,6,5:36.317,5:38.131,5:35.025,5:32.362,5:47.988,5:47.907,00:33:57.730,-
2,5,זיו    כרמי,6,5:47.116,5:43.103,5:40.653,5:39.514,5:42.107,5:58.327,00:34:30.820,33.090
3,299,נמרוד חמו,6,5:54.587,5:46.577,6:28.144,5:48.086,5:54.150,5:57.387,00:35:48.931,1:51.201
4,4,דרור כהן,6,6:01.194,5:57.521,6:01.924,6:14.253,6:02.950,6:29.081,00:36:46.923,2:49.193
E3
מקום,מספר,שם,מספר הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,25,תומר שמש,6,5:55.812,5:53.953,5:54.797,5:55.157,5:57.862,6:17.827,00:35:55.408,-
2,94,בר נוב,6,6:02.489,6:04.214,5:58.564,6:17.445,6:13.038,6:11.938,00:36:47.688,52.280
3,199,אורי כרמל,6,6:54.214,6:40.213,6:38.086,6:35.398,6:26.568,6:40.942,P 43:55.421,8:00.013
4,48,שי עבדי,1,8:17.817,-,-,-,-,-,00:08:17.817,5  הקפות
C1
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,68,ירון יעקובוביץ",5,6:30.607,6:42.255,6:51.152,6:35.780,6:49.584,-,00:33:29.378,-
2,767,יואב שפירא,5,6:28.967,6:24.622,6:35.949,6:50.175,7:56.763,-,00:34:16.476,47.098
3,76,עמרי מסיקה,5,6:42.457,6:45.343,6:56.437,6:50.851,7:05.122,-,00:34:20.210,50.832
4,10,דן  וייס,5,6:38.743,6:40.240,6:48.682,7:00.483,7:21.022,-,00:34:29.170,59.792
5,51,אושר בושרי,5,6:46.245,6:50.373,6:48.208,6:54.459,7:17.813,-,00:34:37.098,1:07.720
6,903,הדר דוד,5,7:11.184,7:04.853,7:33.487,6:59.638,7:44.211,-,00:36:33.373,3:03.995
7,147,איציק למברוזו,5,8:18.939,8:13.911,7:42.678,8:21.854,8:48.768,-,P 47:26.150,13:56.772
8,888,דניאל ליטווק,2,7:24.328,7:54.355,-,-,-,-,00:15:18.683,3  הקפות
9,217,מוש כהן,2,8:36.865,7:39.986,-,-,-,-,00:16:16.851,3  הקפות
C2
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,616,טל איזנבנד,5,6:45.413,6:27.640,6:26.711,6:30.676,6:29.179,-,00:32:39.619,-
2,65,רפאל קבסא,5,6:36.625,6:39.856,6:43.175,6:53.375,6:40.970,-,00:33:34.001,54.382
3,24,אלון איסטון,5,6:51.342,7:05.663,6:39.995,6:55.592,7:08.211,-,00:34:40.803,2:01.184
4,69,יאיר אורן,5,6:37.714,6:57.389,7:55.979,6:44.889,6:45.557,-,00:35:01.528,2:21.909
5,922,דודי דדון,5,7:25.317,6:56.166,7:04.769,7:01.928,7:14.705,-,00:35:42.885,3:03.266
6,23,נימרוד איסטון,5,7:18.019,7:09.980,7:19.675,7:03.979,7:13.263,-,00:36:04.916,3:25.297
7,200,יעקב  דדיה,5,8:29.266,7:44.966,8:06.912,7:48.095,8:15.927,-,00:40:25.166,7:45.547
8,2,מור לויתן,5,13:25.233,7:23.010,7:33.596,7:31.533,7:28.675,-,00:43:22.047,10:42.428
9,44,מעין  סבי,3,17:29.913,7:58.141,6:57.343,-,-,-,00:32:25.397,2  הקפות
10,29,צחי  בן גיגי,1,7:15.474,-,-,-,-,-,00:07:15.474,4  הקפות
C3
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,80,עדי לוי,5,7:02.782,7:09.328,7:06.121,7:19.371,7:43.535,-,00:36:21.137,-
2,17,קובי צדף,5,8:14.386,7:33.144,7:20.262,7:25.966,7:44.696,-,00:38:18.454,1:57.317
3,55,אייל בן יוסף,5,8:39.620,7:40.593,9:09.836,7:18.250,7:32.029,-,00:40:20.328,3:59.191
4,63,שגיא שוורץ,5,7:26.420,8:07.551,9:09.131,9:58.702,7:41.527,-,P 48:23.331,12:02.194
מתחילים
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,111,יפתח פרנקו,4,7:20.223,7:09.982,7:11.665,7:20.720,-,-,00:29:02.590,-
2,112,יואב מאור,4,7:24.234,7:29.400,7:24.689,7:44.107,-,-,00:30:02.430,59.840
3,905,אלי ירום,4,8:06.905,8:12.614,8:00.178,8:05.902,-,-,00:32:25.599,3:23.009
4,915,אריק פופוביץ,4,8:01.266,8:08.999,8:29.955,8:37.044,-,-,00:33:17.264,4:14.674
5,567,אבירם אלון,4,7:54.797,7:54.354,9:12.871,8:34.120,-,-,00:33:36.142,4:33.552
6,77,יוני שינו,4,8:27.932,8:16.879,8:39.416,9:08.681,-,-,00:34:32.908,5:30.318
7,604,נדב השמשוני,4,9:56.470,9:34.533,11:25.128,9:23.969,-,-,00:40:20.100,11:17.510
8,912,אלירן ברכה,4,12:38.804,11:31.742,12:07.627,9:27.099,-,-,00:45:45.272,16:42.682
9,910,דורון מור,2,9:55.400,9:28.109,-,-,-,-,P 23:23.509,2  הקפות
10,88,דני קושמרו,,-,-,-,-,-,-,-,4  הקפות
סניורים
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
