אנדורו
מרוץ 6 עונת 2014 - place: נעורה - 24-05-2014
E1
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער,עונשין-זמן
1,16,תומר שפירא,6,7:09.109,6:55.822,7:18.146,6:53.021,6:57.501,7:16.542,42:30.141,-,-
2,84,סער יעקב,5,7:43.257,7:34.397,7:29.995,7:31.938,7:58.791,-,38:18.378,1 הקפה,-
3,68,ירון יעקובוביץ",4,8:06.346,8:05.754,7:58.693,8:23.549,-,-,32:34.342,2 הקפות,-
4,6,רון שטפל,3,1:21:03.682,7:50.261,7:55.535,-,-,-,1:36:49.478,3 הקפות,-
5,121,אוריה כרמלי,1,8:39.141,-,-,-,-,-,08:39.141,5 הקפות,-
E2
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער,עונשין-זמן
1,299,נמרוד חמו,6,7:21.644,7:18.475,7:02.237,7:03.181,7:17.132,7:30.865,43:33.534,-,-
2,4,דרור כהן,6,7:28.866,7:25.457,7:18.688,7:22.270,7:25.296,7:51.909,44:52.486,1:18.952,-
3,22,יונתן לוי,6,7:17.688,6:58.748,6:54.086,7:00.588,6:55.842,7:07.245,P 51:14.197,7:40.663,9:00.000
4,234,אסי זעמן,6,9:34.922,11:29.682,9:34.987,9:58.329,9:33.992,9:48.819,P 1:06:00.731,22:27.197,6:00.000
E3
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער,עונשין-זמן
1,25,תומר שמש,6,7:22.005,7:27.193,7:20.134,7:16.722,7:39.552,7:40.859,44:46.465,-,-
2,94,בר נוב,1,8:31.242,-,-,-,-,-,08:31.242,5 הקפות,-
C1
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער,עונשין-זמן
1,10,דן וייס,5,8:42.652,8:41.522,8:47.596,8:24.301,8:45.283,-,P 54:21.354,-,11:00.000
2,903,דוד הדר,5,8:39.470,8:24.408,9:12.506,9:09.342,8:58.275,-,P 58:24.001,4:02.647,14:00.000
3,767,יואב שפירא,5,9:02.890,8:51.032,8:58.107,9:47.180,9:13.100,-,P 59:52.309,5:30.955,14:00.000
4,76,עמרי מסיקה,5,8:52.113,8:43.470,9:01.048,8:50.807,9:58.500,-,P 1:01:25.938,7:04.584,16:00.000
5,79,עמית שטרן,5,8:54.633,9:02.225,9:25.200,9:09.469,9:13.640,-,P 1:01:45.167,7:23.813,16:00.000
6,800,זאב שלו,5,8:48.262,9:00.289,8:55.619,9:09.726,9:33.845,-,P 1:31:27.741,37:06.387,46:00.000
7,499,רז ידן,5,10:15.267,10:09.177,8:59.929,8:22.800,8:23.596,-,P 1:33:10.769,38:49.415,47:00.000
,81,מרדכי חי שלומי,,-,-,-,-,-,-,-,5 הקפות,-
,444,אלעד ששון,,-,-,-,-,-,-,-,-,-
    <td colspan="99" class="subtitle_font">נפסל - DSQ
,111,יפתח פרנקו,5,8:38.892,8:50.406,8:52.910,9:05.002,10:57.022,-,46:24.232,-,-
,217,מוש כהן,4,14:27.785,22:59.696,11:55.639,9:15.384,-,-,58:38.504,1 הקפה,-
C2
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער,עונשין-זמן
1,616,טל איזנבנד,5,9:47.557,7:45.514,8:11.835,8:31.957,8:39.019,-,42:55.882,-,-
2,65,רפאל קבסא,5,9:24.694,9:16.653,8:56.830,8:36.457,8:55.766,-,P 49:10.400,6:14.518,4:00.000
3,933,אריה ברנשטיין,5,10:21.449,10:19.091,10:09.985,9:49.964,10:14.542,-,P 2:25:55.031,1:42:59.149,1:35:00.000
4,9,עדן לוי,2,11:37.899,12:56.870,-,-,-,-,24:34.769,3 הקפות,-
5,5,מור לויטן,1,11:00.637,-,-,-,-,-,11:00.637,4 הקפות,-
C3
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער,עונשין-זמן
1,63,שגיא שוורץ,5,9:58.645,9:36.948,9:37.168,9:43.576,9:50.256,-,P 1:06:46.593,-,18:00.000
2,80,עדי לוי,5,9:57.060,10:33.353,9:33.527,9:38.842,9:57.779,-,P 1:19:40.561,12:53.968,30:00.000
3,55,אייל ברלה,5,11:02.957,10:34.723,10:15.438,10:25.841,11:14.648,-,P 1:38:33.607,31:47.014,45:00.000
מתחילים
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער,עונשין-זמן
1,7,יובל גוטמן,4,12:13.265,10:25.653,10:13.370,10:39.127,-,-,P 53:31.415,-,10:00.000
2,112,יואב מאור,4,9:26.844,9:54.103,10:09.822,9:30.590,-,-,P 56:01.359,2:29.944,17:00.000
3,23,רותם אפלבאום,4,13:13.634,11:55.300,12:00.074,11:58.871,-,-,P 1:18:07.879,24:36.464,29:00.000
4,910,דורון מור,4,13:16.295,12:20.180,12:42.608,11:17.597,-,-,P 1:22:36.680,29:05.265,33:00.000
5,567,אבירם אלון,4,13:35.890,13:57.411,11:50.444,11:09.126,-,-,P 1:33:32.871,40:01.456,43:00.000
6,77,דורון ברבי,3,11:28.976,15:39.448,11:55.905,-,-,-,39:04.329,1 הקפה,-
,3,אילן עזרא,,-,-,-,-,-,-,-,-,-
,101,אוריה פרנקו,,-,-,-,-,-,-,-,-,-
,951,עומר זמירי,,-,-,-,-,-,-,-,-,-
,999,אוהד רביד,,-,-,-,-,-,-,-,-,-
,952,שי קליינהאוז,,-,-,-,-,-,-,-,-,-
,172,אורן בן-קיקי,,-,-,-,-,-,-,-,-,-
,555,ישי ויקרוביצקי,,-,-,-,-,-,-,-,-,-
,74,בר בריל,,-,-,-,-,-,-,-,-,-
,88,דני קושמרו,,-,-,-,-,-,-,-,-,-
נפסל - DSQ
,915,אריק פופוביץ,4,10:13.865,10:12.808,10:35.603,11:09.853,-,-,42:12.129,-,-
,99,אלדר ג"ובני,4,13:30.350,9:58.665,9:30.253,9:45.040,-,-,42:44.308,-,-
סניורים
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער,עונשין-זמן
1,41,נדב לוגסי,5,9:25.354,9:03.500,8:51.365,10:57.442,8:58.158,-,47:15.819,-,-
2,901,עמית גול,5,9:04.098,9:03.007,9:01.486,8:50.239,9:26.664,-,P 48:25.494,1:09.675,3:00.000
3,940,צחי ידן,5,8:40.843,8:51.458,8:26.655,9:02.182,8:52.136,-,P 53:53.274,6:37.455,10:00.000
4,45,איציק קלנר,5,10:02.844,10:31.795,9:02.566,9:12.019,9:33.009,-,P 1:02:22.233,15:06.414,14:00.000
5,71,ברק דודאי,4,9:07.268,9:50.915,10:20.609,10:49.822,-,-,40:08.614,1 הקפה,-
נפסל - DSQ
,700,יוסי גוטמן,5,9:12.761,8:49.906,9:03.432,9:03.199,9:04.571,-,45:13.869,-,-
הקפה מהירה: 6:53.021 (16) תומר שפירא
J1
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן כולל,פער
1,33,גיל זרקו,4,2:57.663,2:57.933,2:56.305,3:04.576,-,11:56.477,-
2,30,יובל פינק רייזמן,4,2:48.354,4:02.250,3:01.545,2:53.971,-,12:46.120,49.643
3,1,סוף סלע,4,3:01.372,3:15.982,3:17.102,3:19.540,-,12:53.996,57.519
4,40,רז עידן,4,3:27.300,3:17.733,3:19.576,3:59.354,-,14:03.963,2:07.486
5,99,אריאל קסורלה,4,3:25.843,3:19.751,3:57.945,3:48.912,-,14:32.451,2:35.974
