ג'ימקאנה
עונת 2014 - משמר דוד 1 - 12-12-2014
הנעה קדמית
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,11,אברג'יל עידן,פיג'ו 106,37.080,36.944,39.042,36.944,
2,10,מי פז ניר,רנו מגאן RS,38.196,38.001,37.343,37.343,0.399
3,9,אמודי גיא,מיני קופר S,38.026,37.450,37.635,37.450,0.506
4,16,,,,37.752,40.298,37.752,0.808
5,8,רוזין פיליפ,פיג'ו 306,37.782,38.910,38.337,37.782,0.838
6,14,אליאסי לירון,פיג'ו 306,38.817,39.162,38.167,38.167,1.223
7,20,פיסטינר דני,גולף GTI,39.124,38.782,40.128,38.782,1.838
8,5,ריימונד משה,סיאט קופרה,39.569,38.992,40.713,38.992,2.048
9,13,כהן אלון,סוזוקי סוויפט,40.065,39.118,39.277,39.118,2.174
10,12,,,39.279,,,39.279,2.335
11,15,אלחנטי נדה,סיאט איביזה,40.230,39.481,42.994,39.481,2.537
12,4,סוריאנו אורן,פולקסוואגן קוראדו,40.677,40.905,39.764,39.764,2.820
13,7,תמם שחר,פיאט בראבה,43.497,49.473,40.017,40.017,3.073
14,17,ברמן גיא,אאודי TT RS,40.619,40.647,41.371,40.619,3.675
15,6,זוהר עידן,הונדה סיויק,40.938,,40.895,40.895,3.951
16,2,אנגלברג משה,פיג'ו 106,43.651,42.832,41.035,41.035,4.091
17,1,כרמי אייל,פג'ו 106,42.714,41.237,,41.237,4.293
נפסל - הקפה 3 - DSQ
,3,בלגיל חיים,פיג'ו 106,,,,,
,16,,,,37.752,40.298,,
,18,מזור אורן,פיג'ו 106,,,,,
נפסל - הקפה 4 - DSQ
,3,בלגיל חיים,פיג'ו 106,,,,,
,6,זוהר עידן,הונדה סיויק,40.938,,40.895,,
,12,,,39.279,,,,
,18,מזור אורן,פיג'ו 106,,,,,
נפסל - הקפה 5 - DSQ
,1,כרמי אייל,פג'ו 106,42.714,41.237,,,
,3,בלגיל חיים,פיג'ו 106,,,,,
,12,,,39.279,,,,
,18,מזור אורן,פיג'ו 106,,,,,
הנעה אחורית
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,41,תייר ירון,הונדה S2000,37.340,36.073,39.278,36.073,
2,48,רפאל עזרא,הונדה S2000,37.572,,36.483,36.483,0.410
3,32,ספיבק שרון,מאזדה MX5,,38.414,36.686,36.686,0.613
4,37,שביב שלומי,BMW M135,39.205,37.357,37.622,37.357,1.284
5,31,נער דקל,הונדה S2000,38.380,37.845,38.126,37.845,1.772
6,42,סוולקין איליה,פורשה קאררה S,39.400,,37.954,37.954,1.881
7,46,אלון איתי,מאזדה MX5,39.129,38.287,38.076,38.076,2.003
8,40,,מאזדה MX5,42.426,39.385,38.742,38.742,2.669
9,34,סורוצ'אן גנאדי,פורשה בוקסטר S,38.865,39.240,38.863,38.863,2.790
10,50,סאסי פיליפ,BMW M3,39.666,40.926,39.449,39.449,3.376
11,51,,BMW M135,,,40.448,40.448,4.375
12,49,ירון נדב,סובארו BRZ,41.686,41.388,43.607,41.388,5.315
נפסל - הקפה 3 - DSQ
,32,ספיבק שרון,מאזדה MX5,,38.414,36.686,,
,51,,BMW M135,,,40.448,,
נפסל - הקפה 4 - DSQ
,42,סוולקין איליה,פורשה קאררה S,39.400,,37.954,,
,48,רפאל עזרא,הונדה S2000,37.572,,36.483,,
,51,,BMW M135,,,40.448,,
הנעה כפולה
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,43,ששון שירן,סובארו B3 STI,36.772,36.409,36.446,36.409,
2,39,איטח דודי,סובארו B3 STI,37.122,,36.739,36.739,0.330
3,38,בקשי אמיר,ניסן GTR,37.301,37.620,36.928,36.928,0.519
4,44,יריצ'ובר פנחס,אימפרזה WRX,,40.313,37.747,37.747,1.338
5,30,גולברג סטס,אימפרזה WRX,39.332,38.756,38.174,38.174,1.765
6,35,בובילוב אלכסנדר,אימפרזה STI,,38.610,39.591,38.610,2.201
נפסל - הקפה 3 - DSQ
,35,בובילוב אלכסנדר,אימפרזה STI,,38.610,39.591,,
נפסל - הקפה 4 - DSQ
,39,איטח דודי,סובארו B3 STI,37.122,,36.739,,
פתוחה
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,36,קאשי עופר,מיצובישי איוו,37.826,37.369,37.512,37.369,
2,47,גומר ערן,מיצובישי איוו,37.632,39.974,37.503,37.503,0.134
3,52,נתן מוטי,ניסן Z370,37.662,,37.624,37.624,0.255
נפסל - הקפה 4 - DSQ
,52,נתן מוטי,ניסן Z370,37.662,,37.624,,
