הנעה כפולה
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,30,ששון שירן,סובארו B3 STI,52.415,56.836,51.091,51.091,
2,26,בקשי אמיר,ניסן GTR,52.619,54.041,52.102,52.102,1.011
3,18,איטח דודי,סובארו B3 STI,54.195,55.308,54.233,54.195,3.104
4,20,בובילב אלכס,סובארו STI,55.906,56.418,55.394,55.394,4.303
5,32,דהרי אורון,סובארו STI,,1:00.335,,1:00.335,9.244
נפסל - הקפה 3 - DSQ
,32,דהרי אורון,סובארו STI,,1:00.335,,,
נפסל - הקפה 5 - DSQ
,32,דהרי אורון,סובארו STI,,1:00.335,,,
הנעה אחורית
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,21,תייר ירון,הונדה S2000,,51.556,53.291,51.556,
2,25,שביב שלומי,BMW M135,52.278,52.731,52.230,52.230,0.674
3,12,ספיבק שרון,מזדה MX5,52.779,,52.319,52.319,0.763
4,19,רפאל עזרא,הונדה S2000,54.290,52.540,,52.540,0.984
5,10,סוולקין אלכס,פורשה קאררה S,53.951,54.914,52.679,52.679,1.123
6,23,סוולקין איליה,פורשה קאררה S,57.815,54.881,53.287,53.287,1.731
7,8,דקל נער,הונדה S2000,,55.208,53.494,53.494,1.938
8,35,אייזנשטיין אורי,ניסן Z370,56.058,58.797,56.220,56.058,4.502
9,15,סאסי פיליפ,BMW M3,1:07.038,1:20.731,1:00.690,1:00.690,9.134
נפסל - הקפה 3 - DSQ
,8,דקל נער,הונדה S2000,,55.208,53.494,,
,21,תייר ירון,הונדה S2000,,51.556,53.291,,
נפסל - הקפה 4 - DSQ
,12,ספיבק שרון,מזדה MX5,52.779,,52.319,,
נפסל - הקפה 5 - DSQ
,19,רפאל עזרא,הונדה S2000,54.290,52.540,,,
הנעה קדמית
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,31,אברג'יל עידן,פיג'ו 106,52.291,52.154,51.881,51.881,
2,5,מי פז ניר,רנו מגאן RS,53.235,53.401,52.105,52.105,0.224
3,11,אמודי גיא,מיני קופר S,53.224,,53.175,53.175,1.294
4,6,רוזין פיליפ,פיג'ו 306,54.621,53.876,53.227,53.227,1.346
5,24,פלג עופר,מיני קופר S,55.281,54.646,54.307,54.307,2.426
6,4,אלחנטי נדב,סיאט איביזה,55.633,55.534,54.466,54.466,2.585
7,34,סוריאנו אורן,פולקסוואגן קוראדו,1:12.088,57.845,54.717,54.717,2.836
8,7,אליאסי לירון,פיג'ו 306,55.544,55.462,55.137,55.137,3.256
9,33,פיסטינר דני,גולף GTI,58.826,55.860,,55.860,3.979
10,1,כהן אלון,סוזוקי סוויפט,56.294,58.390,56.640,56.294,4.413
11,2,ריימונד משה,סיאט קופרה,57.993,56.470,1:00.970,56.470,4.589
12,17,מזור אורן,פיג'ו 106,57.274,,,57.274,5.393
13,13,זוהר עידן,הונדה סיויק,58.522,57.555,58.861,57.555,5.674
14,14,אוזרן דניאל,סיטרואן C2,1:00.942,59.530,58.218,58.218,6.337
15,3,אנגלברג משה,פיג'ו 106,1:02.893,1:01.149,1:28.346,1:01.149,9.268
נפסל - הקפה 4 - DSQ
,11,אמודי גיא,מיני קופר S,53.224,,53.175,,
,17,מזור אורן,פיג'ו 106,57.274,,,,
נפסל - הקפה 5 - DSQ
,17,מזור אורן,פיג'ו 106,57.274,,,,
,33,פיסטינר דני,גולף GTI,58.826,55.860,,,
פתוחה
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,29,נתן מוטי,ניסן Z370,52.592,51.218,51.168,51.168,
2,27,קאשי עופר,מיצובישי איוו,53.192,1:00.831,51.708,51.708,0.540
3,28,גומר ערן,מיצובישי איוו,56.976,55.070,51.771,51.771,0.603
4,16,חיגאזי איברהים,אאודי,55.001,57.204,54.168,54.168,3.000
5,22,קרונין גידי,סיטרואן ראלי AX,54.443,56.318,,54.443,3.275
6,9,לוי ניצן,סיטרואן ראלי AX,,58.530,,58.530,7.362
נפסל - הקפה 3 - DSQ
,9,לוי ניצן,סיטרואן ראלי AX,,58.530,,,
נפסל - הקפה 5 - DSQ
,9,לוי ניצן,סיטרואן ראלי AX,,58.530,,,
,22,קרונין גידי,סיטרואן ראלי AX,54.443,56.318,,,
