ראלי ספרינט
מרוץ 1 עונת 2014 - מצפה רמון - 26-12-2014

2X4
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,9,אלון חליווה,4:00.831,3:59.568,3:54.827,3:54.827,
2,3,אהוד לביא,4:09.145,4:06.159,3:58.760,3:58.760,3.933
3,10,ניצן לוי,4:16.483,4:03.676,4:02.434,4:02.434,7.607
4,8,דב וורנר,4:22.648,4:26.139,4:19.058,4:19.058,24.231
N
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,5,רמי שחטוביץ,3:39.423,3:30.550,3:44.044,3:30.550,
2,7,ג'קי זית,4:01.204,,,4:01.204,30.654
נפסל - מקצה 4 - DSQ
,7,ג'קי זית,4:01.204,,,,
לא התחיל - מקצה 5 - DNS
,7,ג'קי זית,4:01.204,,,,
RZR
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,2,שחף מזרחי,,3:32.409,3:30.075,3:30.075,
2,11,עומר פרל,3:37.375,3:30.479,3:34.231,3:30.479,0.404
3,1,דני פרל,3:36.158,3:36.452,3:34.586,3:34.586,4.511
4,12,אבישי חסידי,3:49.980,3:47.282,3:44.446,3:44.446,14.371
נפסל - מקצה 3 - DSQ
,2,שחף מזרחי,,3:32.409,3:30.075,,
T2
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,4,רועי שפירא,3:53.641,3:56.409,3:53.371,3:53.371,
2,14,דדי שפרונץ,4:00.408,3:56.180,3:59.975,3:56.180,2.809

© כל הזכויות שמורות לתנועה מדידת זמנים
