ג'ימקאנה
עונת 2014 - משמר דוד 3 - 27-12-2014

הנעה אחורית
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,40,ספיבק שרון,מזדה MX5,37.355,37.413,36.985,36.850,
2,30,סורוצאן גנאדי,מזדה MX5,38.527,37.731,37.552,37.552,0.702
3,45,רפאל עזרא,הונדה S2000,38.192,37.687,38.382,37.687,0.837
4,48,שביב שלומי,BMW M135,38.266,38.068,37.781,37.781,0.931
5,43,סוולקין איליה,פורשה 911 S,38.544,38.508,38.512,38.508,1.658
6,52,קרונין גידי,ניסן Z370,39.072,,38.647,38.647,1.797
7,46,אלון איתי,מזדה MX5,39.108,38.700,38.949,38.700,1.850
8,47,אלחנטי אופיר,מזדה MX5,39.414,38.737,39.432,38.737,1.887
9,39,אייזנשטיין אורי,ניסן Z370,39.312,39.519,38.782,38.782,1.932
10,33,תייר ירון,הונדה S2000,39.108,38.904,,38.904,2.054
11,32,סוולקין אלכס,פורשה 911 S,39.033,42.666,,39.033,2.183
12,37,צליח כפיר,BMW M135,39.495,39.407,39.899,39.407,2.557
13,36,אשכנזי מוטי,אינפיניטי G37S,42.833,44.142,40.945,40.945,4.095
14,41,דויטש עירד,פונטיאק סולסטיס,43.215,44.488,44.388,43.215,6.365
15,42,דקל נער,הונדה S2000,46.381,,,46.381,9.531
16,31,דויטש אלפרד,פונטיאק סולסטיס,49.628,48.700,46.657,46.657,9.807
נפסל - הקפה 4 - DSQ
,42,דקל נער,הונדה S2000,46.381,,,,
,52,קרונין גידי,ניסן Z370,39.072,,38.647,,
נפסל - הקפה 5 - DSQ
,32,סוולקין אלכס,פורשה 911 S,39.033,42.666,,,
,33,תייר ירון,הונדה S2000,39.108,38.904,,,
,42,דקל נער,הונדה S2000,46.381,,,,
פתוחה
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,50,נתן מוטי,ניסן Z370,36.919,,,36.919,
2,51,אברג'יל עידן,פיז'ו 106 ראלי,,36.997,,36.997,0.078
3,35,קאשי עופר,מיצובישי EVO 8,40.519,38.349,39.955,38.349,1.430
4,44,בקשי אמיר,ניסן GTR,38.379,,44.210,38.379,1.460
5,38,אלבינצר שי,ניסן GTR,40.029,41.577,42.054,40.029,3.110
6,34,אשרי איתן,קדילאק CTS-V,,42.242,,42.242,5.323
נפסל - הקפה 3 - DSQ
,34,אשרי איתן,קדילאק CTS-V,,42.242,,,
,49,גומר ערן,מיצובישי EVO 9,,,,,
,51,אברג'יל עידן,פיז'ו 106 ראלי,,36.997,,,
נפסל - הקפה 4 - DSQ
,44,בקשי אמיר,ניסן GTR,38.379,,44.210,,
,50,נתן מוטי,ניסן Z370,36.919,,,,
נפסל - הקפה 5 - DSQ
,34,אשרי איתן,קדילאק CTS-V,,42.242,,,
,50,נתן מוטי,ניסן Z370,36.919,,,,
,51,אברג'יל עידן,פיז'ו 106 ראלי,,36.997,,,
הנעה קדמית
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,16,אמודי גיא,מיני קופר S,37.851,37.905,38.122,37.851,
2,18,רבינוביץ' איליה,אאודי A3,38.379,38.073,,38.073,0.222
3,1,רוזין פיליפ,פיג'ו 306,39.148,38.514,38.216,38.216,0.365
4,19,איסק עידו,רנו מגאן RS,39.060,,38.910,38.910,1.059
5,5,פלג עופר,רנו קליאו ספורט,45.476,39.433,,39.433,1.582
6,11,חגאזי איברהים,אאודי TT,,39.453,40.490,39.453,1.602
7,3,סוריאנו אורן,פולקסוואגן קוראדו,40.465,39.607,39.709,39.607,1.756
8,17,זאבי אדם,מיני קופר S,40.414,39.975,,39.975,2.124
9,10,ריימונד משה,סיאט קופרה,40.081,,42.113,40.081,2.230
10,7,כרמי אייל,פיג'ו 106 ראלי,40.405,41.294,40.605,40.405,2.554
11,20,צפריר שחף,פולקסוואגן גולף GTI,41.299,40.581,40.448,40.448,2.597
12,23,פיסטינר דני,גולף GTI,,40.829,41.908,40.829,2.978
13,14,זוהר עידן,הונדה סיויק,,42.233,41.821,41.821,3.970
14,8,אנגלברג משה,פיג'ו 106 ראלי,43.692,42.872,41.894,41.894,4.043
15,6,פטנט יבגני,פיאט אבארט 500,,44.276,43.724,43.724,5.873
16,15,ספקטור דימיטרי,רנו מגאן קופה,47.442,,45.323,45.323,7.472
17,4,אבל ניר,פיג'ו 106 ראלי,52.056,52.970,49.042,49.042,11.191
נפסל - הקפה 3 - DSQ
,6,פטנט יבגני,פיאט אבארט 500,,44.276,43.724,,
,9,מי פז ניר,רנו מגאן RS,,,,,
,11,חגאזי איברהים,אאודי TT,,39.453,40.490,,
,14,זוהר עידן,הונדה סיויק,,42.233,41.821,,
,23,פיסטינר דני,גולף GTI,,40.829,41.908,,
נפסל - הקפה 4 - DSQ
,9,מי פז ניר,רנו מגאן RS,,,,,
,10,ריימונד משה,סיאט קופרה,40.081,,42.113,,
,15,ספקטור דימיטרי,רנו מגאן קופה,47.442,,45.323,,
,19,איסק עידו,רנו מגאן RS,39.060,,38.910,,
נפסל - הקפה 5 - DSQ
,5,פלג עופר,רנו קליאו ספורט,45.476,39.433,,,
,9,מי פז ניר,רנו מגאן RS,,,,,
,17,זאבי אדם,מיני קופר S,40.414,39.975,,,
,18,רבינוביץ' איליה,אאודי A3,38.379,38.073,,,
הנעה כפולה
מקום,מספר,שם,רכב,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,12,אלישקוב סימון,סובארו אימפרזה STI,38.026,37.792,37.203,37.203,
2,27,ששון שירן,סובארו אימפרזה STI,37.648,39.602,,37.648,0.445
3,2,אלישקוב פיני,סובארו אימפרזה STI,39.646,37.815,37.735,37.735,0.532
4,13,איטח דודי,סובארו אימפרזה STI,37.818,37.963,39.807,37.818,0.615
5,26,דאי אלון,פולקסוואגן גולף R,38.742,38.113,39.095,38.113,0.910
6,25,בובילב אלכס,סובארו אימפרזה STI,39.042,39.175,38.938,38.938,1.735
7,24,גולברג סטס,סובארו אימפרזה WRX,39.447,,,39.447,2.244
8,21,הרט רז,מיצובישי EVO 9,41.553,40.811,41.036,40.811,3.608
נפסל - הקפה 4 - DSQ
,24,גולברג סטס,סובארו אימפרזה WRX,39.447,,,,
נפסל - הקפה 5 - DSQ
,24,גולברג סטס,סובארו אימפרזה WRX,39.447,,,,
,27,ששון שירן,סובארו אימפרזה STI,37.648,39.602,,,

© כל הזכויות שמורות לתנועה מדידת זמנים
