אנדורו - היירסקרמבל
מרוץ 2 עונת 2015 - כפר כמא - 28-03-2015
E1
מקום,מספר,שם,הקפות,זמן כולל,פער
1,8,נמרוד חמו,14,02:04:44.770,-
2,84,סער יעקב,13,02:01:20.365,1 הקפה
3,94,בר נוב,13,02:02:43.007,1 הקפה
4,62,טל איזנבד,13,02:06:24.677,1 הקפה
5,68,ירון יעקובוביץ,13,02:07:36.595,1 הקפה
6,60,ניר שחם,12,02:03:47.799,2 הקפות
E2
מקום,מספר,שם,הקפות,זמן כולל,פער
1,22,יונתן לוי,14,02:06:57.434,-
2,5,זיו כרמי,13,02:00:50.893,1 הקפה
3,10,נתנאל זיו,13,02:01:11.951,1 הקפה
4,4,דרור כהן,12,02:04:26.217,2 הקפות
5,29,צחי בן גיגי,1,12:03.015,13 הקפות
E3
מקום,מספר,שם,הקפות,זמן כולל,פער
1,25,תומר שמש,13,02:01:10.692,-
2,33,גיל קינן,13,02:03:21.522,2:10.830
C1
מקום,מספר,שם,הקפות,זמן כולל,פער
1,767,יואב שפירא,11,01:33:23.822,-
2,111,יפתח פרנקו,11,01:37:17.991,3:54.169
3,43,נמרוד רוימי,10,01:33:32.907,1 הקפה
4,95,גל יעקובי,10,01:34:48.834,1 הקפה
5,217,מוש כהן,10,01:37:44.336,1 הקפה
6,904,יעקב דדיה,9,01:30:23.633,2 הקפות
7,910,דורון מור,9,01:31:36.426,2 הקפות
8,147,איציק למברוזו,9,01:34:27.344,2 הקפות
9,50,עמית הראל,1,16:54.014,10 הקפות
10,88,מעיין לביא,,-,-
11,199,גל מלאכי,,-,-
C2
מקום,מספר,שם,הקפות,זמן כולל,פער
1,27,אלון איסטון,11,01:36:37.366,-
2,76,עמרי מסיקה,11,01:36:43.230,5.864
3,79,עמית שטרן,10,01:31:49.620,1 הקפה
4,164,עמית מלכא,10,01:33:06.556,1 הקפה
5,24,נמרוד איסטון,10,01:35:08.124,1 הקפה
6,100,דוד דדון,10,01:35:09.699,1 הקפה
7,35,אריה ברנשטיין,10,01:36:40.278,1 הקפה
8,576,יוסי מאיר,8,01:32:21.663,3 הקפות
9,70,אלירן סבג,8,01:41:29.076,3 הקפות
10,15,עדי ישראל,8,01:09:22.196,3 הקפות
11,905,אלי ירום,,-,-
12,65,רפאל קבסה,,-,-
C3
מקום,מספר,שם,הקפות,זמן כולל,פער
1,17,קובי צדף,10,01:32:53.706,-
2,301,חיים פרנסי,10,01:33:12.012,18.306
3,19,אריק פופוביץ,10,01:37:13.811,4:20.105
4,98,נוי קדוש,9,01:32:42.178,1 הקפה
5,80,עדי לוי,4,01:33:42.900,6 הקפות
סניורים
מקום,מספר,שם,הקפות,זמן כולל,פער
1,247,אמיר קינן,11,01:37:45.941,-
2,28,רונן כהן,11,01:38:14.555,28.614
3,700,יוסי גוטמן,10,01:30:17.698,1 הקפה
4,901,עמית גול,10,01:31:46.990,1 הקפה
5,71,ברק דודאי,10,01:33:51.032,1 הקפה
6,11,רונן מדיאל,9,01:37:02.443,2 הקפות
7,40,זוהר גלילי,1,11:49.876,10 הקפות
מתחילים
מקום,מספר,שם,הקפות,זמן כולל,פער
1,811,אלון גרינברג,6,01:02:03.816,-
2,77,דורון ברבי,6,01:03:18.964,1:15.148
3,16,אייל אהרון ידיד,6,01:03:36.792,1:32.976
4,869,דניאל ליזרוביץ,5,01:00:30.065,1 הקפה
5,99,אוהד רביד,5,01:03:06.610,1 הקפה
6,64,דודי גולן,4,59:13.384,2 הקפות
7,53,עומר עפרוני,,-,-
ג'וניורס
מקום,מספר,שם,הקפות,זמן כולל,פער
1,47,סוף סלע,18,01:02:09.611,-
2,222,נועם דדון,18,01:02:23.228,13.617
3,70,צוק סלע,17,01:02:05.433,1 הקפה
4,41,איתי דב,16,01:01:31.883,2 הקפות
5,33,גיל זרקו,16,01:02:02.471,2 הקפות
6,100,רן יוחאי,15,01:03:38.949,3 הקפות
7,1025,אמיר אילון,12,01:00:47.697,6 הקפות
סופר ג'וניורס
מקום,מספר,שם,הקפות,זמן כולל,פער
1,140,רז עידן,11,45:41.790,-
2,2,אריאל קסורלה,11,46:35.274,53.484
3,66,אור זרקו,10,48:14.407,1 הקפה
