ג'ימקאנה
עונת 2015 - משמר דוד 2 - 27-11-2015

הנעה אחורית
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,27,דקל נער,38.394,,40.419,2.000,40.260,2.000,38.394,
2,1,שרון ספיבק,40.267,,39.846,,39.029,,39.029,0.635
3,6,דני גלטר,41.288,,40.654,,40.523,,40.523,2.129
4,15,אולג וסיליקוב,40.735,,40.585,,45.013,5.000,40.585,2.191
5,17,אבי שימשילשווילי,44.762,2.000,,5.000,41.492,,41.492,3.098
6,33,עמית בק,44.131,2.000,42.341,,41.559,,41.559,3.165
7,32,פיליפ סאסי,42.498,,41.745,,42.254,,41.745,3.351
8,5,מור מוסקוביץ,43.032,,41.926,,41.780,,41.780,3.386
9,26,תומר אוואט,43.103,,41.828,,41.830,,41.828,3.434
10,12,יוגב כץ,42.839,,,,,,42.839,4.445
נפסל - מקצה 4 - DSQ
,12,יוגב כץ,42.839,,,,,,,
,17,אבי שימשילשווילי,44.762,2.000,,5.000,41.492,,,
נפסל - מקצה 5 - DSQ
,12,יוגב כץ,42.839,,,,,,,
הנעה כפולה
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,30,דודי איטח,39.558,,39.274,,44.964,5.000,39.274,
פתוחה
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,29,כפיר צליח,39.851,,39.557,,39.177,,39.177,
2,3,יואב פז,39.885,,39.769,,39.319,,39.319,0.142
3,4,שירן ששון,44.281,2.000,,,39.876,,39.876,0.699
4,25,מוטי נתן,39.911,,,,,,39.911,0.734
5,13,איברהים חיגזי,43.640,2.000,41.773,,41.202,,41.202,2.025
6,11,מוחמד אטרש,43.002,,43.224,,42.980,,42.980,3.803
נפסל - מקצה 4 - DSQ
,4,שירן ששון,44.281,2.000,,,39.876,,,
,25,מוטי נתן,39.911,,,,,,,
נפסל - מקצה 5 - DSQ
,25,מוטי נתן,39.911,,,,,,,
הנעה קדמית
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,22,גיא אמודי,,,39.498,,40.105,,39.498,
2,35,גידי קרונין,39.904,,40.076,,40.094,,39.904,0.406
3,9,פיליפ רוזין,40.882,,40.996,,39.945,,39.945,0.447
4,21,קובי כהן,41.294,,40.039,,40.245,,40.039,0.541
5,7,איליה רובינוב,40.215,,44.840,5.000,40.144,,40.144,0.646
6,23,ליאור מויאל,43.150,,42.160,,40.377,,40.377,0.879
7,28,אורון סוריאנו,,,41.211,,40.544,,40.544,1.046
8,18,עידן אברג'יל,40.633,,40.659,,40.584,,40.584,1.086
9,14,דניאל אוזרן,40.626,,40.926,,,,40.626,1.128
10,34,אלדד אהרוני,42.361,,43.145,,41.232,,41.232,1.734
11,36,בוריס סטרוסלסקי,42.171,,41.399,,44.613,4.000,41.399,1.901
12,19,טל פרומצ'נקו,43.083,,41.565,,43.469,2.000,41.565,2.067
13,2,משה ריימונד,42.977,2.000,41.613,,42.437,2.000,41.613,2.115
14,31,ניצן לוי,,,42.351,,41.624,,41.624,2.126
15,24,ירון ביטון,43.018,,,,42.404,,42.404,2.906
16,16,שמעון קליין,42.787,,42.438,,42.836,,42.438,2.940
17,37,איגור יעקובסון,46.900,4.000,42.792,,42.604,,42.604,3.106
18,20,רז גבריאלי,43.736,,43.018,,47.819,5.000,43.018,3.520
19,8,משה באשר,,,43.901,,44.048,,43.901,4.403
20,38,משה אנגלברג,44.128,,44.586,,44.095,,44.095,4.597
21,10,אמיל סמעאן,44.179,,,,45.650,,44.179,4.681
נפסל - מקצה 3 - DSQ
,8,משה באשר,,,43.901,,44.048,,,
,22,גיא אמודי,,,39.498,,40.105,,,
,28,אורון סוריאנו,,,41.211,,40.544,,,
,31,ניצן לוי,,,42.351,,41.624,,,
נפסל - מקצה 4 - DSQ
,10,אמיל סמעאן,44.179,,,,45.650,,,
,24,ירון ביטון,43.018,,,,42.404,,,
נפסל - מקצה 5 - DSQ
,14,דניאל אוזרן,40.626,,40.926,,,,,

הנעה אחורית
מקום,מספר,שם,מקצה 6,עונשין,מקצה 7,עונשין,מקצה 8,עונשין,זמן,פער
1,27,דקל נער,38.875,,37.833,,37.734,,37.734,
2,1,שרון ספיבק,38.467,,38.159,,38.063,,38.063,0.329
3,15,אולג וסיליקוב,40.900,,39.496,,39.276,,39.276,1.542
4,6,דני גלטר,40.251,,42.984,,39.874,,39.874,2.140
5,17,אבי שימשילשווילי,40.851,,40.266,,46.129,5.000,40.266,2.532
הנעה כפולה
מקום,מספר,שם,מקצה 6,עונשין,מקצה 7,עונשין,מקצה 8,עונשין,זמן,פער
1,30,דודי איטח,38.999,,38.641,,40.635,2.000,38.641,
פתוחה
מקום,מספר,שם,מקצה 6,עונשין,מקצה 7,עונשין,מקצה 8,עונשין,זמן,פער
1,4,שירן ששון,38.298,,38.732,,38.038,,38.038,
2,3,יואב פז,39.039,,38.597,,38.693,,38.597,0.559
3,25,מוטי נתן,44.037,5.000,39.061,,42.253,4.000,39.061,1.023
