ראלי
עונת 2015 - ערד - 11-12-2015

4X2
מקום,מספר,שם,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,פער
1,6,איתי בורשטיין,4:34.131,,4:04.638,,4:00.258,10.000,3:59.821,,16:48.848,
2,7,טוני בורשטיין,4:14.427,,4:03.710,,4:33.242,,3:57.837,,16:49.216,0.368
N
מקום,מספר,שם,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,פער
1,18,אייל בן ארי,3:29.031,,3:18.921,,3:19.646,,3:13.119,,13:20.717,
2,50,אדר מלמד,3:26.913,,3:23.276,,3:14.509,,3:15.435,20.000,13:40.133,19.416
3,34,נדב ירון,3:35.204,,3:28.107,,3:22.150,,3:19.408,,13:44.869,24.152
4,25,רונן אברבוך,3:43.978,,3:38.126,,3:21.987,,3:26.126,,14:10.217,49.500
5,41,אהוד לביא,3:41.463,,3:31.755,,3:32.166,,3:28.441,,14:13.825,53.108
6,45,רמי שוחטוביץ,3:55.891,,3:27.108,,3:22.682,,3:20.379,10.000,14:16.060,55.343
7,40,תום בריל,3:53.453,10.000,3:21.755,10.000,3:18.069,10.000,3:14.226,,14:17.503,56.786
8,16,איציק בריל,4:04.152,10.000,3:36.475,,3:29.571,,3:33.286,,14:53.484,1:32.767
לא התחיל - הקפה 2 - DNS
,15,אלעד כהן,4:29.200,10.000,,,,,,,,
SUBARU CUP
מקום,מספר,שם,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,פער
1,42,רמי גדיר,3:44.180,,3:30.762,,3:25.447,,3:23.932,,14:04.321,
2,46,שי שמעוני,3:47.244,,3:40.421,,3:34.091,,3:32.644,,14:34.400,30.079
3,44,רפי מזרחי,3:53.264,,3:49.541,,3:56.949,,3:45.339,,15:25.093,1:20.772
T3
מקום,מספר,שם,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,פער
1,31,אלירן יפרח,3:28.086,,3:23.609,,3:23.084,,3:20.252,,13:35.031,
2,57,עומר פרל,3:33.429,,3:28.969,,3:24.312,,3:21.466,,13:48.176,13.145
3,56,דני פרל,3:37.153,,3:29.795,,3:28.085,10.000,3:29.447,,14:14.480,39.449
