ראלי
עונת 2015 - ערד 2 - 08-01-2016
2x4
מקום,מספר,נהג,נווט,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,עונשין,פער
1,5,ניצן לוי,,4:01.436,20.000,3:46.387,,3:45.892,,3:57.412,,15:51.127,20.000,
2,7,טוני בורשטיין,,4:08.231,20.000,4:00.131,,3:50.390,,3:55.230,,16:13.982,20.000,22.855
3,6,איתי בורשטיין,,4:29.439,,4:07.470,,4:12.234,,4:02.107,,16:51.250,,1:00.123
4,8,מוטי נתן,,4:07.379,,12:18.300,,3:51.255,,5:31.522,,25:48.456,,9:57.329
N
מקום,מספר,נהג,נווט,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,עונשין,פער
1,40,תום בריל,אופיר ליפז,3:23.697,,3:16.210,,3:13.948,,3:13.556,,13:07.411,,
2,18,אייל בן ארי,דובי מילר,3:25.993,,3:16.808,,3:12.135,,3:13.006,,13:07.942,,0.531
3,50,אדר מלמד,מאי מלמד,3:28.924,,3:18.551,,3:21.718,,3:09.370,,13:18.563,,11.152
4,34,נדב ירון,ניר ירון,3:29.130,,3:21.699,,3:15.761,,3:13.346,,13:19.936,,12.525
5,25,רונן אברבוך,,3:38.666,,3:25.887,,3:22.782,,3:17.756,,13:45.091,,37.680
6,14,חמאדה עודה,,3:31.219,30.000,3:50.902,,3:14.675,,3:12.222,,14:19.018,30.000,1:11.607
7,33,קובי כהן,שי אסרף,3:42.004,,3:25.992,,4:08.531,,3:19.728,,14:36.255,,1:28.844
8,16,איציק בריל,אלכסיי וייסנבלום,3:52.624,,3:35.677,,3:32.807,,3:37.954,,14:39.062,,1:31.651
T3
מקום,מספר,נהג,נווט,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,עונשין,פער
1,57,עומר פרל,,3:29.974,,3:21.870,,3:19.488,,3:19.799,,13:31.131,,
2,56,דני פרל,,3:45.450,,3:29.323,,3:29.764,,3:24.207,,14:08.744,,37.613
3,42,שחף מזרחי,,3:51.605,,3:30.203,,3:25.723,,3:24.401,,14:11.932,,40.801
4,55,רוני פישמן,,3:41.706,,3:37.659,,3:33.151,,3:30.749,,14:23.265,,52.134
5,48,רז גבריאלי,,3:59.560,,3:55.022,,3:50.867,,3:49.759,,15:35.208,,2:04.077
SUBARU CUP
מקום,מספר,נהג,נווט,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,עונשין,פער
1,26,איתי אלון,,3:44.117,,3:28.185,,3:33.157,,3:16.149,,14:01.608,,
2,44,רפי מזרחי,,3:46.224,20.000,3:40.824,,3:27.896,,3:30.782,,14:45.726,20.000,44.118
3,22,ויקטור קוחניצקי,סטאס גולדברג,3:55.778,40.000,3:44.862,,3:32.073,,3:29.634,,15:22.347,40.000,1:20.739
T2
מקום,מספר,נהג,נווט,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,עונשין,פער
1,23,דדי שפרונץ,,4:04.399,,3:49.832,,3:49.742,,3:43.920,,15:27.893,,
OP
מקום,מספר,נהג,נווט,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,עונשין,פער
1,31,אלירן יפרח,,3:17.497,,3:16.321,,3:15.291,,3:11.683,,13:00.792,,
ELBAG
מקום,מספר,נהג,נווט,הקפה 1,עונשין,הקפה 2,עונשין,הקפה 3,עונשין,הקפה 4,עונשין,זמן,עונשין,פער
לא סיים - הקפה 4 - DNF
,69,אלי אלבג,,3:40.010,,3:23.017,,3:24.491,,,,,,
