MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,108,קורי נאמט,12,11:19.416,,51.023,
2,32,אורן חסון,12,11:53.493,34.077,53.655,25
3,238,איוב שוגן,12,11:57.054,37.638,54.527,22
4,5,זיו כרמי,12,12:05.006,45.590,54.114,20
5,22,יוני לוי,11,11:26.484,1 הקפה,56.117,18
6,103,יוסף תכאוכו,11,11:31.188,1 הקפה,57.044,16
7,8,נמרוד דור,11,11:34.641,1 הקפה,56.203,15
8,49,קוגאן נאפסו,11,11:35.506,1 הקפה,55.172,14
9,7,איוב אבוכף,10,11:56.989,2 הקפות,1:02.223,13
הקפה מהירה: (108) קורי נאמט - 51.023
MX1 - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,108,קורי נאמט,12,11:26.220,,51.384,
2,32,אורן חסון,12,11:51.426,25.206,53.318,25
3,238,איוב שוגן,12,12:04.143,37.923,53.870,22
4,5,זיו כרמי,12,12:08.785,42.565,54.620,20
5,103,יוסף תכאוכו,12,12:13.374,47.154,55.589,18
6,49,קוגאן נאפסו,12,12:15.066,48.846,55.578,16
7,22,יוני לוי,12,12:18.538,52.318,55.495,15
8,8,נמרוד דור,11,12:12.085,1 הקפה,55.637,14
9,7,איוב אבוכף,10,12:08.561,2 הקפות,1:04.092,13
הקפה מהירה: (108) קורי נאמט - 51.384
MX2 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,100,אליקו אוחנה,12,11:52.952,,53.503,25
2,6,דן מאיה,12,11:54.954,2.002,54.038,22
3,25,דור עטיה,12,11:56.003,3.051,53.971,20
4,146,רוני רגף,12,12:09.280,16.328,54.465,18
5,47,גב סלע,12,12:30.038,37.086,54.429,16
6,5,תומר שמש,11,11:57.418,1 הקפה,57.490,15
7,3,אלירן קידר,11,12:21.239,1 הקפה,55.339,14
8,111,דר כהן,11,12:41.736,1 הקפה,56.406,13
9,75,נתיב סרוסי,10,12:06.137,2 הקפות,1:00.033,12
10,46,צח שוקרון,10,12:25.129,2 הקפות,1:02.789,11
הקפה מהירה: (100) אליקו אוחנה - 53.503
MX2 - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,25,דור עטיה,12,11:02.389,,53.590,25
2,100,אליקו אוחנה,12,11:06.109,3.720,53.794,22
3,6,דן מאיה,12,11:07.079,4.690,53.847,20
4,47,גב סלע,12,11:16.224,13.835,54.506,18
5,3,אלירן קידר,12,11:50.623,48.234,56.852,16
6,146,רוני רגף,12,11:54.564,52.175,54.655,15
7,5,תומר שמש,11,11:11.905,1 הקפה,58.645,14
8,111,דר כהן,11,11:15.962,1 הקפה,58.492,13
9,75,נתיב סרוסי,11,12:00.488,1 הקפה,1:02.253,12
10,46,צח שוקרון,10,11:23.052,2 הקפות,1:02.980,11
הקפה מהירה: (25) דור עטיה - 53.590
MX3 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,22,אריאל דדיה,12,9:20.933,,54.936,25
2,15,גיא אליתים,12,9:27.165,6.232,53.871,22
3,5,מתן ניר,12,9:28.483,7.550,56.534,20
4,32,גל חסון,12,9:29.118,8.185,55.899,18
5,55,אלרואי פוריאן,12,9:44.646,23.713,57.093,16
6,19,ליעד לב,12,9:56.624,35.691,58.323,15
7,35,אברהים אלחמידי,12,10:07.158,46.225,59.382,14
8,51,עומר חג'ג',12,10:21.180,1:00.247,1:01.111,13
9,20,בן אשמי,12,10:21.649,1:00.716,1:00.793,12
10,69,מוטי אלקיים,11,9:24.438,1 הקפה,58.816,11
11,100,חיים אוחנה,11,9:34.053,1 הקפה,55.944,10
12,,עידן קליין,11,9:38.860,1 הקפה,56.879,9
13,18,אילן יפרח,11,10:03.533,1 הקפה,1:04.477,8
14,47,צוק סלע,10,10:10.049,2 הקפות,59.162,7
הקפה מהירה: (15) גיא אליתים - 53.871
MX3 - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,22,אריאל דדיה,12,12:27.883,,56.061,25
2,15,גיא אליתים,12,12:31.225,3.342,56.369,22
3,32,גל חסון,12,12:33.288,5.405,56.553,20
4,5,מתן ניר,12,12:49.447,21.564,57.296,18
5,,עידן קליין,12,12:50.177,22.294,57.384,16
6,100,חיים אוחנה,12,13:00.272,32.389,56.407,15
7,55,אלרואי פוריאן,12,13:00.650,32.767,57.782,14
8,19,ליעד לב,12,13:03.841,35.958,58.763,13
9,47,צוק סלע,12,13:06.545,38.662,58.741,12
