אינדורו פרו
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
1,5,בן קדמי ,3:23.488,3:23.477,3:15.940,10:02.905,
2,1,יונתן יתום ,3:28.503,3:19.480,3:19.101,10:07.084,4.179
3,4,תמיר זינגר ,3:31.882,3:23.681,3:26.257,10:21.820,18.915
4,6,יונתן מעיין ,3:28.871,3:28.600,3:29.362,10:26.833,23.928
5,3,דימה רפקין ,3:57.901,3:20.887,3:17.300,10:36.088,33.183
6,2,גיא בר ,4:04.899,3:20.053,3:15.054,10:40.006,37.101
7,7,ניר ביבאס ,3:44.251,3:43.781,6:14.856,13:42.888,3:39.983
8,8,טל אורן ,3:26.039,10:43.009,5:10.954,19:20.002,9:17.097
נשים
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,12,יוליה רפקין ,4:10.227,4:05.731,,8:15.958,
2,13,יסמין עדל רפת ,5:14.319,5:49.638,,11:03.957,2:47.999
3,14,לינדה דברת ,5:54.763,5:36.484,,11:31.247,3:15.289
אינדורו צ'אלנג' 14-15
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,30,תומר מלאכי ,3:32.643,3:33.085,,7:05.728,
2,36,גיא סגל ,3:45.013,3:47.008,,7:32.021,26.293
3,41,רועי קינן ,3:49.446,3:51.428,,7:40.874,35.146
4,48,יואב משה ,4:11.358,4:11.306,,8:22.664,1:16.936
5,54,דורון מדובר ,4:15.300,4:16.293,,8:31.593,1:25.865
6,87,תומר זליג ,4:22.806,4:18.287,,8:41.093,1:35.365
7,62,תומר קיפר ,4:22.676,4:26.530,,8:49.206,1:43.478
8,61,ניב אתר ,4:29.466,4:30.401,,8:59.867,1:54.139
9,60,מתן ארמוזה ,4:21.216,4:52.881,,9:14.097,2:08.369
10,85,שיר גנון ,4:47.039,4:51.709,,9:38.748,2:33.020
11,37,אור גולן ,3:59.750,16:59.732,,20:59.482,13:53.754
לא סיים - מקצה 2 - DNF
,44,עומר אביתר ,4:08.804,,,,
אינדורו צ'אלנג' 16-19
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,22,לאי זכור ,3:25.640,3:27.123,,6:52.763,
2,21,דולב גלעדי ,3:34.827,3:41.002,,7:15.829,23.066
3,27,נועם אביתר ,3:37.908,3:41.449,,7:19.357,26.594
4,26,מאור גולד ,3:37.755,3:36.504,20.000,7:34.259,41.496
5,33,עומר מוהר ,3:49.595,3:46.870,,7:36.465,43.702
6,84,רועי כהן ,4:35.757,4:15.351,,8:51.108,1:58.345
7,83,שביט שמחי ,4:36.415,4:26.165,,9:02.580,2:09.817
8,47,נמרוד זילכה ,4:58.545,4:11.034,,9:09.579,2:16.816
9,57,מהדי כליבאת ,4:53.246,4:33.541,,9:26.787,2:34.024
10,50,עמר נאמן ,5:51.731,4:09.535,,10:01.266,3:08.503
11,86,ניתאי עצמון ,4:59.691,5:43.100,,10:42.791,3:50.028
אינדורו צ'אלנג' 20-29
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,20,ניסן ג'רבי ,3:38.667,3:39.247,,7:17.914,
2,89,מרגלית מטר ,4:14.526,3:51.867,,8:06.393,48.479
3,52,מאור רביב ,4:14.163,4:06.269,,8:20.432,1:02.518
4,34,אסף הירשברג ,4:24.470,3:57.999,,8:22.469,1:04.555
5,59,איגור סורוקין ,4:20.195,4:15.644,,8:35.839,1:17.925
6,40,יאיר בר ,4:02.224,4:34.773,,8:36.997,1:19.083
אינדורו צ'אלנג' 30-39
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,29,דן דורון ,3:30.603,3:30.064,,7:00.667,
2,82,עידו קלדרון ,3:36.537,3:34.897,,7:11.434,10.767
3,23,שלומי אברג'יל ,3:30.446,3:44.457,,7:14.903,14.236
4,31,עמרי צ'פניק ,3:48.108,3:48.561,,7:36.669,36.002
5,46,גל בן יעקב ,3:44.858,3:52.219,,7:37.077,36.410
6,78,אור בלדב ,3:50.697,3:49.409,,7:40.106,39.439
7,43,נמרוד בר לוין ,4:01.798,4:01.089,,8:02.887,1:02.220
8,28,מקס אוטייבסקי ,3:59.961,4:05.232,,8:05.193,1:04.526
9,90,שוקי אהרון ,4:01.229,4:08.168,,8:09.397,1:08.730
10,45,נמרוד נחמיאס ,4:11.508,4:05.387,,8:16.895,1:16.228
11,80,נדב ברונשטיין ,4:14.353,4:17.742,,8:32.095,1:31.428
12,74,ליאור ירון בנימין ,4:19.808,4:27.546,,8:47.354,1:46.687
13,81,יבגני אובודנקו ,4:28.308,4:26.605,,8:54.913,1:54.246
14,91,דורון יפתח ,4:26.499,4:30.317,,8:56.816,1:56.149
15,75,סבסטיאן ריי ,8:57.718,4:51.652,,13:49.370,6:48.703
לא סיים - מקצה 2 - DNF
,32,ברק זוהר ,4:11.063,,,,
אינדורו צ'אלנג' 39-49
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,25,זהר גלילי ,3:54.309,3:41.090,,7:35.399,
2,69,אריק אבגי ,3:51.499,3:49.835,,7:41.334,5.935
3,72,אריה זאוברמן  ,3:51.685,3:50.892,,7:42.577,7.178
4,49,ליאור כהן ,3:53.979,3:54.026,,7:48.005,12.606
5,35,גיל שריבמן ,3:56.900,3:52.243,,7:49.143,13.744
6,88,קובי מורבינסקי ,3:57.885,4:02.617,,8:00.502,25.103
7,66,ניר שלנגר ,4:05.190,3:57.065,,8:02.255,26.856
8,65,דני לוי ,4:04.788,4:00.315,,8:05.103,29.704
9,73,אסף ספקטור ,4:11.255,4:10.040,,8:21.295,45.896
10,68,איציק קלנר ,4:19.486,4:14.609,,8:34.095,58.696
11,56,מיקי פלג ,4:16.820,5:23.653,,9:40.473,2:05.074
12,67,רונן כהן ,4:48.728,4:43.486,10:00.000,19:32.214,11:56.815
אינדורו צ'אלנג' 50+
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,42,ערן דייגו ,3:59.060,3:59.636,,7:58.696,
2,64,אסף לביא ,4:33.151,4:19.785,,8:52.936,54.240
3,58,יהונתן שאול ,4:31.533,4:28.953,,9:00.486,1:01.790
4,63,עידו אלון ,4:50.090,4:53.308,,9:43.398,1:44.702
5,53,דן יותם ,4:27.108,4:22.848,2:30.000,11:19.956,3:21.260
בנות 10-13
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,15,ירדן בראל ,4:44.899,4:41.872,,4:41.872,
2,131,כרסטינה גייסינסקי ,7:24.093,7:53.331,,7:24.093,2:42.221
3,127,נעה בגים ,8:04.524,7:43.396,,7:43.396,3:01.524
4,141,רונה סיידה ,8:26.497,8:24.938,,8:24.938,3:43.066
ספרינט נשים
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,16,מיכל רייס סהר ,4:42.271,4:33.002,,4:33.002,
2,17,ליאת סידס שוחט ,4:51.902,4:39.781,,4:39.781,6.779
ספרינט 8-9
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,208,בעז כהן ,5:28.422,5:13.526,,5:13.526,
2,207,יובל סגל ,5:18.099,5:14.902,,5:14.902,1.376
3,209,Beniamin Veizman ,5:48.138,5:24.262,,5:24.262,10.736
4,211,עופר גל שנהב ,5:54.678,5:47.575,,5:47.575,34.049
5,214,עמרי דנון ,6:45.874,6:24.427,,6:24.427,1:10.901
6,218,איתי יבלונקה ,7:44.561,6:33.662,,6:33.662,1:20.136
7,210,הלל שרר ,7:45.394,8:34.068,,7:45.394,2:31.868
8,215,אלון גלעדי ,8:13.112,8:20.469,,8:13.112,2:59.586
9,213,אופק דין בינימין ,9:25.675,9:17.006,,9:17.006,4:03.480
10,212,רם לסקי ,10:31.377,10:20.780,,10:20.780,5:07.254
ספרינט 10-11
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,111,ערן כהן - סולל עמר ,4:49.609,4:18.687,,4:18.687,
2,112,רון גולדנברג ,4:35.075,4:36.779,,4:35.075,16.388
3,110,תומר ישעיה ,4:42.555,4:36.687,,4:36.687,18.000
4,117,עמית שדמי ,4:58.564,4:37.883,,4:37.883,19.196
5,123,עידו מנגד ,4:47.370,,,4:47.370,28.683
6,113,איתי פורתי ,4:57.099,4:48.660,,4:48.660,29.973
7,120,עירד דלויה ,4:58.258,4:51.409,,4:51.409,32.722
8,115,רואי אוסטפלד ,5:03.158,4:52.389,,4:52.389,33.702
9,119,איתי פרץ ,5:10.941,4:59.052,,4:59.052,40.365
10,116,אורי קורן ,5:08.065,5:03.785,,5:03.785,45.098
11,219,שגיב מנחם ,5:51.200,5:07.076,,5:07.076,48.389
12,126,גור ברון ,5:30.122,5:30.937,,5:30.122,1:11.435
13,121,עידו גל שנהב ,8:05.825,6:05.348,,6:05.348,1:46.661
14,129,נועם אידו ,6:20.266,6:10.700,,6:10.700,1:52.013
15,128,ארז שטרייכמן ,6:32.741,6:11.688,,6:11.688,1:53.001
16,122,רון קרן ,6:15.273,6:27.947,,6:15.273,1:56.586
17,132,שגיא הרניק ,6:31.536,6:17.835,,6:17.835,1:59.148
18,130,אביעד שרם ,6:44.393,6:49.337,,6:44.393,2:25.706
19,118,יובל צור ,7:13.691,8:14.463,,7:13.691,2:55.004
20,124,אור סוג'ז ,7:34.828,7:30.798,,7:30.798,3:12.111
לא סיים - מקצה 2 - DNF
,123,עידו מנגד ,4:47.370,,,,
ספרינט 12-13
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,135,יואב רפפורט ,4:03.164,4:03.477,,4:03.164,
2,134,יובל ניר ,4:11.340,4:04.308,,4:04.308,1.144
3,142,חגי צבי לגמן ,4:41.180,4:27.302,,4:27.302,24.138
4,138,גיא אוחנה ,4:33.448,4:29.450,,4:29.450,26.286
5,143,טל שפירא ,4:54.525,4:37.787,,4:37.787,34.623
6,137,יאיר ליננברג ,4:51.802,4:50.691,,4:50.691,47.527
7,140,יובל סרוסי ,4:55.607,5:31.087,,4:55.607,52.443
8,144,גיל זרקו ,5:04.774,4:56.791,,4:56.791,53.627
9,145,אלישע לוי ,10:51.588,,,10:51.588,6:48.424
ספרינט 14-15
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,148,יובל סוייבלמן ,3:51.729,3:44.756,,3:44.756,
2,149,שחר פלג ,3:47.051,3:48.735,,3:47.051,2.295
3,133,אורי שמבן ,4:00.813,3:56.551,,3:56.551,11.795
4,154,יותם צור ,3:56.841,3:57.474,,3:56.841,12.085
5,175,ניב אטיאס ,4:08.091,3:57.883,,3:57.883,13.127
6,152,רז סימסון ,4:00.674,3:58.205,,3:58.205,13.449
7,155,תומר סטרדינר ,4:09.510,4:02.055,,4:02.055,17.299
8,153,דן סמירנוב ,4:04.473,10:04.221,,4:04.473,19.717
9,162,הילאי שרון ,4:17.499,4:09.664,,4:09.664,24.908
10,166,עדי בן הרוש ,4:19.711,4:10.583,,4:10.583,25.827
11,150,עומר קלנר ,4:13.023,4:20.109,,4:13.023,28.267
12,160,יהונתן טמיר ,4:19.623,4:15.870,,4:15.870,31.114
13,171,מוחמד חוגיראת ,4:26.137,4:16.623,,4:16.623,31.867
14,157,דור כרמל ,4:16.687,7:25.932,,4:16.687,31.931
15,151,ארז לוי ,4:52.159,4:17.731,,4:17.731,32.975
16,158,שגיא שוורץ ,4:22.266,4:22.682,,4:22.266,37.510
17,167,עדי שוחט ,4:33.767,4:23.880,,4:23.880,39.124
18,156,אביב צמח ,4:39.580,4:27.282,,4:27.282,42.526
19,159,עומרי סלע ,12:55.281,4:33.739,,4:33.739,48.983
20,163,עדן אפרים ,5:20.802,4:35.249,,4:35.249,50.493
21,170,מארק גייסינסקי ,4:44.002,4:41.876,,4:41.876,57.120
22,173,אביב לרר ,4:50.084,4:44.798,,4:44.798,1:00.042
23,168,יניר הראל ,4:48.506,27:29.100,,4:48.506,1:03.750
24,169,גלעד שגב ,18:16.906,4:52.361,,4:52.361,1:07.605
25,174,עידו סויסה ,5:08.468,5:26.793,,5:08.468,1:23.712
26,161,יריב רון ,5:11.702,5:14.570,,5:11.702,1:26.946
27,172,אהוד חמו ,5:26.287,5:15.550,,5:15.550,1:30.794
ספרינט 16-19
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,147,נדב דוברת ,3:34.338,3:33.801,,3:33.801,
2,179,נדב שפירא ,3:50.900,3:38.596,,3:38.596,4.795
3,181,דניאל נדב ,3:47.155,3:38.948,,3:38.948,5.147
4,176,רון פרידריך ,3:46.335,3:41.009,,3:41.009,7.208
5,180,עומר הרשקו ,3:45.529,3:41.826,,3:41.826,8.025
6,177,אסף גורפינקל ,3:56.213,3:51.036,,3:51.036,17.235
7,183,יובל קרון ,4:04.026,3:52.786,,3:52.786,18.985
8,185,שי כהן סולל עמר ,3:59.139,3:55.947,,3:55.947,22.146
9,216,גל אברהמי ,4:09.023,3:58.102,,3:58.102,24.301
10,192,יאן בן ברוך ,4:01.542,,,4:01.542,27.741
11,189,יאיר אוחיון ,4:06.838,6:13.495,,4:06.838,33.037
12,186,עומר קזס ,22:47.799,4:11.906,,4:11.906,38.105
13,191,יניב בן נפתלי ,4:43.647,4:33.552,,4:33.552,59.751
14,190,ארד ואתורי ,4:38.340,4:48.408,,4:38.340,1:04.539
15,188,יאיר לדיזינסקי ,5:22.287,,,5:22.287,1:48.486
16,184,עופרי פוזנר ,23:25.170,,,23:25.170,19:51.369
17,178,אוהד נחום ,29:42.436,,,29:42.436,26:08.635
לא סיים - מקצה 1 - DNF
,187,עדי ספירשטיין ,,,,,
לא סיים - מקצה 2 - DNF
,184,עופרי פוזנר ,23:25.170,,,,
,192,יאן בן ברוך ,4:01.542,,,,
ספרינט 20-29
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,194,גל שטמלר ,3:39.381,3:37.414,,3:37.414,
2,193,יונתן לוי ,3:41.728,3:40.191,,3:40.191,2.777
3,195,אבי עיני ,4:11.492,4:11.700,,4:11.492,34.078
4,197,רותם שרגא ,5:54.629,8:05.808,,5:54.629,2:17.215
ספרינט 30-39
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,200,יוגב טימזיט ,3:50.024,3:53.755,,3:50.024,
2,205,אסף סיני ,4:02.822,3:52.612,,3:52.612,2.588
3,199,אורן אליתים ,4:20.768,3:57.751,,3:57.751,7.727
4,206,מורן קאבסה ,4:13.815,4:08.035,,4:08.035,18.011
5,203,ליאור מטודי ,4:22.059,4:33.312,,4:22.059,32.035
6,202,אסף רסיס ,4:25.979,,,4:25.979,35.955
7,204,יניב חדד ,4:43.827,4:30.201,,4:30.201,40.177
ספרינט 40-49
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,109,יניב דהן ,3:47.444,3:45.193,,3:45.193,
2,105,ירון רפפורט ,4:20.328,3:49.899,,3:49.899,4.706
3,103,ירון דותן ,4:03.126,4:00.981,,4:00.981,15.788
4,217,אוהד מורדי ,4:13.573,4:04.876,,4:04.876,19.683
5,108,אהרון סרוסי  ,4:17.848,4:15.171,,4:15.171,29.978
לא סיים - מקצה 1 - DNF
,106,דרור גרד ,,,,,
ספרינט 50+
מקום,מספר,שם,מקצה 1,מקצה 2,עונשין,זמן,פער
1,102,רוני מזרחי ,3:58.387,4:15.023,,3:58.387,
2,101,מנחם בן נון ,4:01.755,4:13.496,,4:01.755,3.368
3,100,רונן רמתי ,4:14.334,4:15.332,,4:14.334,15.947
