ראלי ספרינט
מרוץ 1 עונת 2016 - מכורה - 25-03-2016

2X4
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,עונשין,זמן,פער
1,7,טוני בורשטיין,,3:32.599,3:22.606,3:39.670,,3:22.606,
2,5,ניצן לוי,גידי קרונין,5:10.342,,,,5:10.342,1:47.736
GT WRX CUP
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,עונשין,זמן,פער
1,26,איתי אלון,,2:57.610,2:59.707,3:01.879,,2:57.610,
2,22,ויקטור קוחניצקי,סטאס גולדברג,3:10.933,3:11.254,,,3:10.933,13.323
3,6,רפי מזרחי,,3:12.931,3:12.910,3:14.445,,3:12.910,15.300
לא סיים - מקצה 5 - DNF
,22,ויקטור קוחניצקי,סטאס גולדברג,3:10.933,3:11.254,,,,
Group N
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,עונשין,זמן,פער
1,50,אדר מלמד,יובל מלמד,2:54.331,2:50.265,2:52.986,,2:50.265,
2,75,איל בן ארי,,3:00.394,,2:55.474,,2:55.474,5.209
3,21,נדב ירון,ניר ירון,3:00.575,2:58.200,3:14.353,,2:58.200,7.935
4,3,קובי כהן,שי אשרף,2:59.485,2:59.459,2:59.345,,2:59.345,9.080
5,9,ניר בן ארי,,,,3:06.176,,3:06.176,15.911
לא סיים - מקצה 3 - DNF
,9,ניר בן ארי,,,,3:06.176,,,
T1
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,עונשין,זמן,פער
1,40,תום בריל,אופיר ליפז,3:02.540,3:00.451,2:59.140,10.000,3:00.451,
T2
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,עונשין,זמן,פער
1,23,דדי שפרונץ,,3:26.649,3:26.602,3:24.607,,3:24.607,
T3
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,עונשין,זמן,פער
1,2,עומר פרל,,3:00.431,3:00.472,3:01.132,,3:00.431,
2,42,שחף מזרחי,,3:10.134,3:08.917,3:05.230,,3:05.230,4.799
3,55,רוני פישמן,,3:14.358,3:11.050,3:09.431,,3:09.431,9.000
4,4,דני פרל,,3:15.541,3:13.800,3:13.198,,3:13.198,12.767
OP
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,עונשין,זמן,פער
1,1,אלירן יפרח,,3:04.754,3:02.551,3:02.690,,3:02.551,
לא מדורג
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,עונשין,זמן,פער
1,69,אלי אלבג,,3:54.244,,,,3:54.244,

© כל הזכויות שמורות לתנועה מדידת זמנים
