אינדורו פרו
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
1,1,בן קדמי ,2:42.596,2:38.326,2:44.558,8:05.480,
2,6,טל אורן ,2:43.219,2:39.565,2:44.307,8:07.091,1.611
3,10,אבנר שפיר ,2:44.728,2:43.544,2:48.637,8:16.909,11.429
4,9,יואב דרור ,2:41.966,2:41.869,3:01.417,8:25.252,19.772
5,42,מקס אוטייבסקי ,3:15.582,3:12.032,3:21.002,9:48.616,1:43.136
אינדורו נשים
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
1,20,יוליה רפקין ,3:22.437,3:13.644,3:22.597,9:58.678,
2,22,נועה לוריה ,3:56.312,3:41.908,3:54.113,11:32.333,1:33.655
אינדורו צ'אלנג' 12-13
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
1,84,סער אילן ,3:19.569,3:09.287,3:16.914,9:45.770,
2,130,בן ולנסי ,3:30.116,3:28.769,3:25.739,10:24.624,38.854
3,89,נטע שהרבני ,3:57.863,3:46.809,4:06.651,11:51.323,2:05.553
אינדורו צ'אלנג' 14-15
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
1,36,תומר מלאכי ,2:54.593,2:56.813,2:54.967,8:46.373,
2,44,גיא סגל ,3:04.498,3:09.705,2:57.551,9:11.754,25.381
3,90,נדב עמר ,3:10.854,3:19.926,2:58.644,9:29.424,43.051
4,59,יואב משה ,3:09.123,3:13.942,3:09.483,9:32.548,46.175
5,68,דורון מדובר ,3:12.134,3:24.899,3:12.676,9:49.709,1:03.336
6,213,תומר זליג ,3:17.984,3:19.188,3:13.929,9:51.101,1:04.728
7,92,דרור גרייצר ,3:21.867,3:14.260,3:15.974,9:52.101,1:05.728
8,78,ניב אתר ,3:27.082,3:23.192,3:08.078,9:58.352,1:11.979
9,86,יובל ברמן ,3:29.419,3:27.199,3:19.434,10:16.052,1:29.679
10,298,איתמר שיק ,3:30.496,3:33.081,3:22.634,10:26.211,1:39.838
11,74,תומר קיפר ,3:45.732,3:35.633,3:22.571,10:43.936,1:57.563
12,82,אורי לוריה ,4:00.209,3:56.783,3:47.262,11:44.254,2:57.881
אינדורו צ'אלנג' 16-17
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
1,33,לאי זכור ,2:47.272,2:44.547,2:52.775,8:24.594,
2,39,מאור גולד ,3:05.156,3:00.858,2:53.746,8:59.760,35.166
3,228,נעם אביתר ,3:02.473,2:58.161,3:07.617,9:08.251,43.657
4,50,שי כהן סולל עמר ,3:08.531,3:06.885,3:09.040,9:24.456,59.862
5,211,אור גולן ,3:14.755,3:06.186,3:03.546,9:24.487,59.893
6,64,עמר נאמן ,3:15.593,3:05.803,3:12.011,9:33.407,1:08.813
7,217,רון קדשאי ,3:18.815,3:02.733,3:14.562,9:36.110,1:11.516
8,58,נמרוד זילכה ,3:18.608,3:09.923,3:11.005,9:39.536,1:14.942
9,65,עומר קזס ,3:19.676,3:06.477,3:14.499,9:40.652,1:16.058
10,94,סלע נבות ,3:20.507,3:11.268,3:12.582,9:44.357,1:19.763
11,215,ניתאי עצמון ,3:25.143,3:16.235,3:23.440,10:04.818,1:40.224
לא סיים - מקצה 1 - DNF
,77,מהדי כליבאת ,,,3:01.666,,
לא סיים - מקצה 2 - DNF
,77,מהדי כליבאת ,,,3:01.666,,
אינדורו צ'אלנג' 20-29
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
1,38,ניסן ג'רבי ,3:06.784,2:57.968,3:08.795,9:13.547,
2,93,דולב בר און ,3:11.498,2:59.736,3:11.009,9:22.243,8.696
3,48,אסף הירשברג ,3:17.586,2:58.863,3:11.186,9:27.635,14.088
4,96,אלעד חיימוביץ ,3:31.811,3:25.784,3:30.118,10:27.713,1:14.166
5,61,מאור רביב ,4:00.326,3:15.381,3:34.326,10:50.033,1:36.486
אינדורו צ'אלנג' 30-39
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
