  מקצועית E1 
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,94,בר נוב ,21,02:01:59.292,,5:31.332
2,25,תומר שמש ,21,02:03:08.387,1:09.095,5:37.299
3,19,יפתח פרנקו ,20,02:05:12.766,1 הקפה,5:48.404
4,36,יואב שפירא ,20,02:05:43.940,1 הקפה,5:44.739
5,15,עדי ישראל ,20,02:06:56.735,1 הקפה,6:01.947
6,26,הדר עציוני ,19,02:00:35.164,2 הקפות,5:58.320
7,747,גב סלע ,19,02:03:58.729,2 הקפות,5:54.703
 הקפה מהירה: (94)  בר נוב  - 5:31.332
  מקצועית E2 
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,8,נמרוד חמו ,21,02:01:38.152,,5:32.675
2,5,זיו כרמי ,21,02:03:57.335,2:19.183,5:38.212
3,22,יוני לוי ,21,02:05:40.172,4:02.020,5:21.659
4,4,תובל דובדבני ,20,02:00:25.976,1 הקפה,5:36.293
5,84,סהר יעקב ,20,02:01:17.885,1 הקפה,5:38.000
6,2,טל איזנבנד ,20,02:02:40.990,1 הקפה,5:48.027
7,68,ירון יעקובוביץ ,9,02:02:29.069,12 הקפות,5:51.374
 הקפה מהירה: (22)  יוני לוי  - 5:21.659
  מקצועית E3 
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,3,גיל קינן ,19,02:00:31.548,,6:03.753
2,29,צחי בן גיגי ,19,02:04:44.399,4:12.851,6:04.046
3,85,חיים פרנסי ,16,02:00:05.874,3 הקפות,6:14.443
4,102,אליקו אוחנה ,12,02:01:47.644,7 הקפות,6:13.094
5,217,מוש כהן ,6,02:01:23.004,13 הקפות,7:20.482
 הקפה מהירה: (3)  גיל קינן  - 6:03.753
  סניורים 
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,125,רונן מדיאל ,13,01:35:56.378,,6:56.946
2,20,אמיר קינן ,12,01:33:18.390,1 הקפה,7:08.588
3,23,אריק פופוביץ ,12,01:34:10.103,1 הקפה,7:12.575
4,71,ברק דודאי ,12,01:35:55.834,1 הקפה,7:13.478
5,82,אריה ברנשטיין ,11,01:30:04.984,2 הקפות,7:18.695
6,131,צדוק רדקר ,9,01:30:22.117,4 הקפות,7:31.686
 הקפה מהירה: (125)  רונן מדיאל  - 6:56.946
  עממית C1 
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,61,רון קדשאי ,14,01:31:45.992,,6:09.378
2,247,צוק סלע ,14,01:36:12.176,4:26.184,6:28.441
3,222,נועם דדון ,13,01:30:18.922,1 הקפה,6:22.926
4,456,דוד ארד ,12,01:31:29.990,2 הקפות,6:12.773
5,7,אלירן קדק ,2,15:47.629,12 הקפות,6:46.194
 הקפה מהירה: (61)  רון קדשאי  - 6:09.378
  עממית C2 
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,350,רון חמדי ,14,01:36:29.098,,6:14.621
2,103,ברק פולקנר ,13,01:31:28.456,1 הקפה,6:30.508
3,91,עידן כהן ,13,01:31:36.719,1 הקפה,6:42.484
4,79,עמית שטרן ,13,01:33:20.552,1 הקפה,6:42.460
5,100,דודי דדון ,13,01:36:05.626,1 הקפה,6:31.636
6,65,רפאל קבסה ,12,01:36:34.711,2 הקפות,6:38.227
7,676,דוד וקנין ,11,01:30:22.581,3 הקפות,7:10.889
 הקפה מהירה: (350)  רון חמדי  - 6:14.621
  עממית C3 
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,130,אדי קלדס ,13,01:33:05.807,,6:43.862
2,111,יוסי גוטמן ,13,01:34:03.177,57.370,6:42.348
3,28,צחי בני ,13,01:37:00.745,3:54.938,6:57.146
4,616,ירון גולדשטיין ,12,01:33:17.954,1 הקפה,7:15.899
5,127,רונן זיסו ,12,01:33:50.145,1 הקפה,7:08.413
6,500,זאב שלו ,7,01:30:15.824,6 הקפות,9:26.819
 הקפה מהירה: (111)  יוסי גוטמן  - 6:42.348
  מתחילים 
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,777,אורן זכור ,9,01:06:21.743,,6:34.388
2,78,זוהר ראובני ,8,01:00:43.722,1 הקפה,6:44.543
3,83,שי דרוק ,8,01:04:25.975,1 הקפה,7:40.763
4,34,מיכאל ריבסקי ,8,01:06:44.788,1 הקפה,7:32.233
5,92,אופיר בנימין ,7,01:00:06.083,2 הקפות,7:04.339
6,212,אמיר ויצמן ,7,01:00:06.854,2 הקפות,7:35.225
7,825,סוף סלע ,7,01:00:48.999,2 הקפות,7:16.141
8,276,אהרון כץ ,7,01:06:20.787,2 הקפות,7:50.122
9,191,איציק ביטון ,6,01:05:20.909,3 הקפות,9:51.796
