ג'ימקאנה
מרוץ 1 עונת 2016 - בית שאן - 08-09-2016

4X4
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,14,רז הרט,54.110,* 53.508,53.508,
2,55,אלכסנדר בובליל,54.532,* 54.250,54.250,0.742
הנעה אחורית
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,22,מור מוסקוביץ,52.589,* 52.470,52.470,
2,12,עזרא רפאל,,* 53.091,53.091,0.621
3,42,שרון ספיבק,* 53.422,,53.422,0.952
4,18,אפיק קשקש,57.313,* 56.363,56.363,3.893
5,6,משה באשר,57.389,* 56.687,56.687,4.217
6,33,תומר אוואט,* 58.420,,58.420,5.950
7,7,יחיאל רוט,* 59.631,,59.631,7.161
8,50,אלכסנדר שטירמר,* 1:01.121,1:01.654,1:01.121,8.651
9,10,גורן טלשקוביץ,1:02.117,* 1:01.852,1:01.852,9.382
נפסל - מקצה 1 - DSQ
,12,עזרא רפאל,,* 53.091,,
נפסל - מקצה 2 - DSQ
,7,יחיאל רוט,* 59.631,,,
,33,תומר אוואט,* 58.420,,,
,42,שרון ספיבק,* 53.422,,,
פתוחה
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,25,עידן אברגיל,53.420,* 53.067,53.067,
2,2,עופר פלג,,* 53.643,53.643,0.576
3,44,רובי שאמיה,* 55.713,,55.713,2.646
4,69,האני שאמיה,* 56.054,1:28.230,56.054,2.987
5,35,עמית בק,56.766,* 56.261,56.261,3.194
נפסל - מקצה 2 - DSQ
,44,רובי שאמיה,* 55.713,,,
הנעה קדמית
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,38,קובי כהן,54.312,* 53.141,53.141,
2,34,אדיר שי,54.685,* 53.910,53.910,0.769
3,5,ציון מסיקה,55.542,* 55.088,55.088,1.947
4,3,רז גבריאל,,* 56.589,56.589,3.448
5,46,דביר בר,* 56.664,,56.664,3.523
6,8,אלחי דהן,58.406,* 56.690,56.690,3.549
7,48,יוליה מוריסי,1:02.851,* 1:02.640,1:02.640,9.499
נפסל - מקצה 1 - DSQ
,3,רז גבריאל,,* 56.589,,
נפסל - מקצה 2 - DSQ
,46,דביר בר,* 56.664,,,

4X4
מקום,מספר,שם,מקצה 3,מקצה 4,זמן,פער
1,14,רז הרט,53.635,* 53.424,53.424,
2,55,אלכסנדר בובליל,* 53.457,,53.457,0.033
נפסל - מקצה 4 - DSQ
,55,אלכסנדר בובליל,* 53.457,,,
הנעה אחורית
מקום,מספר,שם,מקצה 3,מקצה 4,זמן,פער
1,22,מור מוסקוביץ,* 51.932,,51.932,
2,12,עזרא רפאל,* 52.051,52.125,52.051,0.119
3,42,שרון ספיבק,* 52.149,52.421,52.149,0.217
4,18,אפיק קשקש,,* 55.560,55.560,3.628
5,6,משה באשר,* 57.485,,57.485,5.553
נפסל - מקצה 3 - DSQ
,18,אפיק קשקש,,* 55.560,,
נפסל - מקצה 4 - DSQ
,6,משה באשר,* 57.485,,,
,22,מור מוסקוביץ,* 51.932,,,
פתוחה
מקום,מספר,שם,מקצה 3,מקצה 4,זמן,פער
1,2,עופר פלג,* 52.466,52.514,52.466,
2,25,עידן אברגיל,53.111,* 52.545,52.545,0.079
3,44,רובי שאמיה,,* 54.662,54.662,2.196
4,35,עמית בק,* 54.816,54.922,54.816,2.350
5,69,האני שאמיה,* 55.787,,55.787,3.321
נפסל - מקצה 3 - DSQ
,44,רובי שאמיה,,* 54.662,,
נפסל - מקצה 4 - DSQ
,69,האני שאמיה,* 55.787,,,
הנעה קדמית
מקום,מספר,שם,מקצה 3,מקצה 4,זמן,פער
1,38,קובי כהן,* 53.255,,53.255,
2,34,אדיר שי,,* 53.845,53.845,0.590
3,46,דביר בר,* 54.453,54.547,54.453,1.198
4,5,ציון מסיקה,* 55.731,55.887,55.731,2.476
5,3,רז גבריאל,56.455,* 55.913,55.913,2.658
נפסל - מקצה 3 - DSQ
,34,אדיר שי,,* 53.845,,
נפסל - מקצה 4 - DSQ
,38,קובי כהן,* 53.255,,,

מקום,מספר,שם,קטגוריה,זמן,פער
1,2,עופר פלג,פתוחה,52.446,
2,14,רז הרט,4X4,53.257,0.811
3,38,קובי כהן,הנעה קדמית,53.918,1.472
נפסל - מקצה 5 - DSQ
,22,מור מוסקוביץ,הנעה אחורית,,
