  CUP  
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,26,איתי אלון,שלומי בקיש,8:21.685,8:19.883,7:59.893,8:10.941,32:52.402,
2,22,ויקטור קוחניצקי,סטסאס גולדברג,8:41.370,8:21.584,8:21.418,8:27.221,33:51.593,59.191
  Group N  
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,46,איל בן ארי,אופיר ליפז,7:51.276,7:45.330,7:37.779,7:35.673,30:50.058,
2,50,אדר מלמד,אלכסיי וייסנבלום,7:49.482,7:46.209,8:39.475,7:56.144,32:11.310,1:21.252
3,25,רונן אברבוך,ריימונד סרנו,8:43.737,8:22.589,8:05.082,8:03.406,33:14.814,2:24.756
לא התחיל - הקפה 4 - DNS
,100,יובל מלמד,מיקי יוחאי,7:55.612,8:09.995,9:15.710,,,
	<td colspan="99" class="title_font">  T3  
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,94,שגיא בורשטיין,,7:45.111,7:39.533,7:41.111,7:32.586,30:38.341,
2,55,רוני פישמן,,7:59.470,7:45.826,7:37.337,7:36.437,30:59.070,20.729
3,20,דני פרל,,8:19.727,8:32.664,8:06.275,8:15.653,33:14.319,2:35.978
לא התחיל - הקפה 2 - DNS
,95,שחף מזרחי,,7:49.605,,,,,
