אנדורו
מרוץ 1 עונת 2017 - אום זוקא - 31-12-2016
E1
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
1,25,תומר שמש,10,2:06:31.442,,11:33.748,
2,88,דן מיה,10,2:06:44.415,12.973,11:45.424,
3,844,סער יעקב,10,2:10:50.477,4:19.035,12:01.429,2:00.000
4,19,יפתח פרנקו,10,2:11:27.999,4:56.557,12:28.072,
5,767,יואב שפירא,10,2:15:07.360,8:35.918,12:19.933,1:00.000
6,61,רון קדשאי,9,2:03:41.021,1 הקפה,13:16.477,
7,355,נועם דדון,9,2:05:26.539,1 הקפה,13:03.356,
8,247,צוק סלע,9,2:08:05.832,1 הקפה,13:13.818,2:00.000
9,60,ניר שחם,9,2:08:30.185,1 הקפה,13:30.433,
10,146,רוני רגף,8,2:15:40.619,2 הקפות,15:04.439,
11,222,אריאל דדיה,8,2:16:05.208,2 הקפות,15:43.434,1:00.000
לא סיים - DNF
,217,מוש כהן,4,59:14.348,6 הקפות,13:40.250,1:00.000
הקפה מהירה: (25) תומר שמש - 11:33.748
E2
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
1,22,יונתן לוי,10,2:04:37.279,,12:05.806,
2,5,זיו כרמי,10,2:07:23.188,2:45.909,11:57.447,1:00.000
3,94,בר נוב,10,2:09:07.776,4:30.497,11:31.360,1:00.000
4,4,דרור כהן,10,2:10:26.661,5:49.382,11:45.457,2:00.000
5,18,תובל דובדבני,10,2:13:19.261,8:41.982,12:03.051,
6,7,ירון יעקובוביץ,9,2:08:36.939,1 הקפה,13:31.059,
לא סיים - DNF
,8,נמרוד חמו,6,1:21:11.458,4 הקפות,12:12.430,1:00.000
,224,אפי שטינבוים,5,1:38:06.877,5 הקפות,16:22.500,2:00.000
הקפה מהירה: (94) בר נוב - 11:31.360
E3
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
1,2,טל אייזנבנד,9,2:04:57.782,,13:07.111,3:00.000
2,3,גיל קינן,9,2:04:57.812,0.030,13:05.950,3:00.000
3,100,אליקו אוחנה,9,2:06:51.403,1:53.621,13:37.755,
4,9,צחי בן גיגי,9,2:16:24.767,11:26.985,14:00.902,3:00.000
5,85,חיים פרנסי,8,2:03:49.471,1 הקפה,14:50.623,
לא סיים - DNF
,30,אורי גרינשטיין,6,1:57:02.551,3 הקפות,13:37.251,
הקפה מהירה: (3) גיל קינן - 13:05.950
C1
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
1,144,מעין סבי,6,1:31:08.908,,13:42.903,
2,95,גל יעקב,6,1:33:35.212,2:26.304,14:34.802,
3,555,גל דרורי,6,1:35:11.794,4:02.886,14:10.776,1:00.000
4,212,אמיר ויצמן,6,1:35:40.382,4:31.474,13:59.162,
5,447,סוף סלע,6,1:37:17.503,6:08.595,14:19.873,1:00.000
6,392,שגיא צרפתי,6,1:38:24.906,7:15.998,13:52.428,
7,86,ארד דוד,6,1:39:03.091,7:54.183,15:14.700,2:00.000
8,17,הראל הימן,6,1:45:38.580,14:29.672,15:25.374,2:00.000
9,26,שי בר זאב,6,1:46:29.249,15:20.341,16:35.267,
10,904,יעקב דדיה,6,1:47:24.869,16:15.961,15:39.744,3:00.000
11,71,הראל מלמן,5,1:31:13.953,1 הקפה,16:37.810,
12,45,שי אביגדור,5,1:31:34.460,1 הקפה,16:07.449,
13,910,דורון מור,5,1:33:31.040,1 הקפה,15:34.469,
14,147,איציק למברוזו,5,1:38:01.451,1 הקפה,16:35.453,1:00.000
15,262,אופק קיסוס,5,1:55:22.106,1 הקפה,18:01.126,
16,164,איתי דוב,4,1:38:01.661,2 הקפות,21:57.524,
17,151,איציק יצחקי,4,1:47:46.333,2 הקפות,21:23.096,1:00.000
לא סיים - DNF
,869,דניאל לזרוביץ,1,23:38.465,5 הקפות,,
הקפה מהירה: (144) מעין סבי - 13:42.903
C2
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
1,103,ברק פולקמר,6,1:31:05.900,,14:24.138,
2,135,ג'קי שושן,6,1:33:13.990,2:08.090,14:20.626,
3,89,גיל סנש,6,1:33:36.905,2:31.005,14:41.202,
4,123,גיל לוי,6,1:34:37.656,3:31.756,14:42.532,1:00.000
5,91,עידן כהן,6,1:35:54.986,4:49.086,14:59.936,
6,79,עמית שטרן,6,1:36:16.057,5:10.157,14:57.209,
