ראלי
עונת 2017 - חצרים - 06-01-2017

Group N
מקום,מספר,נהג,נווט,הקפה 1,הקפה 3,הקפה 4,זמן,פער
1,50,אדר מלמד,אלכסיי וייסנבלום,8:07.750,7:58.774,7:32.741,23:39.265,
2,46,איל בן ארי,דובי מילר,8:18.958,7:50.218,7:45.275,23:54.451,15.186
3,54,נדב ירון,ניר ירון,8:19.336,8:11.528,7:58.685,24:29.549,50.284
Group N cup
מקום,מספר,נהג,נווט,הקפה 1,הקפה 3,הקפה 4,זמן,פער
1,26,איתי אלון,שלמה בקיש,8:34.572,8:21.049,8:23.555,25:19.176,
2,52,רפי מזרחי,,9:10.713,8:21.024,8:14.302,25:46.039,26.863
3,22,ויקטור קוחניצקי,סטאס גולברג,9:01.374,8:28.974,8:40.395,26:10.743,51.567
4,53,ניצן לוי,קובי כהן,9:58.649,10:11.335,9:08.369,29:18.353,3:59.177
לא התחיל - הקפה 3 - DNS
,51,מרק קרייצמן,יבגני איבשין,9:56.578,,10:03.099,,
OPEN
מקום,מספר,נהג,נווט,הקפה 1,הקפה 3,הקפה 4,זמן,פער
1,99,אלירן יפרח,,7:42.467,7:24.926,7:24.358,22:31.751,
לא סיים - הקפה 1 - DNF
,98,אמיר אבו מוך,,,7:46.228,7:28.915,,
T3
מקום,מספר,נהג,נווט,הקפה 1,הקפה 3,הקפה 4,זמן,פער
1,97,שגיא בורשטיין,,7:47.651,7:33.861,7:31.800,22:53.312,
2,55,רוני פישמן,,8:00.092,7:46.751,7:43.681,23:30.524,37.212
3,64,דני פרל,,8:22.621,8:21.600,8:18.972,25:03.193,2:09.881
4,5,אורי אייזנשטיין,רז גבריאלי,8:51.689,8:39.698,8:23.733,25:55.120,3:01.808
באחה
מקום,מספר,נהג,נווט,הקפה 1,הקפה 3,הקפה 4,זמן,פער
1,23,דדי שפרונץ,עופר שוורץ,9:05.461,8:51.241,8:45.396,26:42.098,

© כל הזכויות שמורות לתנועה מדידת זמנים
