אנדורו
מרוץ 2 עונת 2017 - כפר יחזקאל - 08-07-2017

E1
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן,פער
1,25,שמש תומר,10:17.304,10:00.958,9:49.882,9:44.996,9:38.922,9:40.520,59:12.582,
2,171,שפירא יואב,10:11.306,9:48.585,10:29.479,9:55.944,9:45.557,9:48.707,59:59.578,46.996
3,88,מיה דן,10:16.926,9:58.419,9:56.644,10:01.397,10:02.457,10:24.704,1:00:40.547,1:27.965
4,94,נוב בר,10:39.120,10:01.196,10:21.202,9:58.122,9:58.242,10:09.194,1:01:07.076,1:54.494
5,250,הראל תומר,11:23.958,10:17.553,10:12.015,10:10.054,10:43.210,10:15.648,1:03:02.438,3:49.856
6,355,דדון נועם,10:38.208,10:55.047,10:21.244,10:25.890,10:22.401,10:23.237,1:03:06.027,3:53.445
7,53,ניר מתן,11:16.926,11:47.690,10:50.984,11:07.145,10:41.209,11:15.180,1:06:59.134,7:46.552
8,36,ולנטין ג'ורג,11:56.761,10:41.377,11:46.781,10:57.745,10:46.646,10:56.873,1:07:06.183,7:53.601
9,61,קדשאי רון,11:29.298,11:11.965,11:37.802,10:58.950,11:26.068,11:49.891,1:08:33.974,9:21.392
10,222,דדיה אריאל,13:16.754,13:27.457,13:24.838,13:49.624,13:51.472,14:31.154,1:22:21.299,23:08.717
E2
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן,פער
1,5,כרמי זיו,9:34.593,9:25.547,9:19.339,9:23.285,9:20.727,9:29.411,56:32.902,
2,22,לוי יוני,9:43.794,9:25.417,9:23.959,9:21.792,9:26.583,9:23.423,56:44.968,12.066
3,4,כהן דרור,10:23.834,9:55.176,9:55.741,9:59.416,9:57.968,10:13.614,1:00:25.749,3:52.847
4,84,יעקב סער,10:52.024,10:12.626,10:14.143,10:03.937,9:52.246,9:46.457,1:01:01.433,4:28.531
5,8,חמו נמרוד,9:59.177,9:48.783,10:53.295,11:06.172,10:09.969,10:13.967,1:02:11.363,5:38.461
6,52,בלולו שחר,11:14.356,11:31.201,10:43.371,10:36.954,10:42.905,10:35.235,1:05:24.022,8:51.120
7,6,יעקובוביץ ירון,11:14.346,11:00.164,10:39.019,10:40.802,11:21.730,10:38.769,1:05:34.830,9:01.928
8,224,שטינבוים אפי,11:57.327,11:49.528,12:03.011,13:08.751,12:40.023,12:25.879,1:14:04.519,17:31.617
לא סיים - DNF
,37,עטיה דור,11:35.499,10:49.495,,,,,,
E3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן,פער
1,2,אייזנבנד טל,10:48.163,10:42.032,10:40.645,10:29.950,10:23.088,10:44.814,1:03:48.692,
2,100,אוחנה אליקו,11:02.815,10:46.177,10:37.284,10:49.115,10:40.899,10:45.349,1:04:41.639,52.947
3,217,כהן מוש,12:04.071,11:05.002,11:22.925,10:44.339,11:09.973,10:52.973,1:07:19.283,3:30.591
4,9,בן גיגי צחי,11:42.131,12:09.972,11:08.929,11:17.892,11:06.129,11:21.154,1:08:46.207,4:57.515
5,175,בן שטרית ניצן,11:28.035,11:12.950,11:29.581,11:48.587,11:34.930,11:41.297,1:09:15.380,5:26.688
6,85,פרנסי חיים,12:16.151,11:49.581,11:44.354,11:56.997,11:48.975,11:51.650,1:11:27.708,7:39.016

C1
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,עונשין,פער
1,212,ויצמן אמיר,11:16.804,10:56.728,10:51.974,10:58.662,10:50.935,54:55.103,,
2,702,בן דוד גן,11:26.785,11:29.791,10:57.623,10:57.863,10:51.922,55:43.984,,48.881
3,392,צרפתי שגיא,11:31.678,11:20.262,10:59.081,11:22.900,11:14.367,56:28.288,,1:33.185
4,96,קריצמן איתי,12:02.970,12:13.580,11:40.681,11:34.265,11:25.840,58:57.336,,4:02.233
