MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,10,דור עטיה,17,16:03.488,59.163,-
2,12,שחר בלולו,17,16:04.662,58.813,1.876
3,21,תומר הראל,17,16:17.815,59.402,20.405
4,3,אלירן קדר,16,16:42.844,1:03.799,1 הקפה
5,32,גל  חסון,15,15:55.902,1:04.966,2 הקפות
הקפה מהירה: (12) שחר בלולו - 58.813
MX1 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,12,שחר בלולו,17,16:26.029,59.003,-
2,21,תומר הראל,17,16:33.788,1:00.330,8.525
3,10,דור עטיה,17,16:53.415,1:00.859,48.156
4,3,אלירן קדר,17,17:30.818,1:02.477,1:08.979
5,32,גל  חסון,14,16:35.511,1:05.841,3 הקפות
הקפה מהירה: (12) שחר בלולו - 59.003
MX2 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,88,דן מיה,17,16:43.308,1:00.322,-
2,100,אליקו אוחנה,17,16:45.138,1:01.731,5.300
3,146,רוני רגף,17,16:45.418,1:01.322,5.804
4,15,גל  דרורי,17,16:46.859,1:01.275,8.692
5,77,רועי קליין,17,17:03.374,1:01.878,20.600
6,561,רוני שמיר,16,16:07.122,1:02.530,1 הקפה
7,7,שי  מנצור,16,16:38.190,1:04.503,1 הקפה
8,22,אריאל דדיה,15,15:56.968,1:03.289,2 הקפות
9,262,אופק קיסוס,15,16:50.411,1:04.317,2 הקפות
הקפה מהירה: (88) דן מיה - 1:00.322
MX2 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,88,דן מיה,17,16:48.513,1:00.724,-
2,15,גל  דרורי,17,17:12.416,1:02.519,26.505
3,146,רוני רגף,17,17:29.434,1:00.981,39.433
4,100,אליקו אוחנה,17,17:10.815,1:02.007,43.309
5,22,אריאל דדיה,16,16:23.846,1:03.653,1 הקפה
6,7,שי  מנצור,16,16:41.518,1:05.097,1 הקפה
7,262,אופק קיסוס,16,17:09.984,1:04.861,1 הקפה
8,77,רועי קליין,15,16:26.277,1:02.432,2 הקפות
הקפה מהירה: (88) דן מיה - 1:00.724
עממית - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,213,אלי  אמנה,10,10:14.371,1:06.142,-
2,56,לי ארביב,10,10:12.026,1:04.348,1.947
3,839,טוני סיבשווילי,10,10:17.430,1:05.779,4.389
4,189,בן  חביב,10,10:22.708,1:01.263,12.130
5,57,עומרי יהב,10,10:26.397,1:07.190,16.697
6,33,לידור חן,10,10:39.374,1:06.663,38.070
7,46,יצחק צח שוקרון,10,11:01.712,1:07.149,53.025
8,44,אוהד תמיר,9,10:41.452,1:07.534,1 הקפה
9,10,אהוד  גנון,9,10:42.539,1:19.413,1 הקפה
10,24,יובל בנאי,9,11:04.200,1:14.879,1 הקפה
11,93,גיא  בן סרדס,8,10:54.104,1:27.865,2 הקפות
12,21,נטע שמידוב,7,10:43.841,1:17.677,3 הקפות
13,6,רז כהן,7,10:38.840,1:34.513,3 הקפות
,81,אור  פרישתא,4,5:06.286,1:10.620,6 הקפות
הקפה מהירה: (189) בן  חביב - 1:01.263
עממית - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,56,לי ארביב,10,10:07.953,1:05.820,-
2,81,אור  פרישתא,10,10:09.960,1:07.010,0.965
3,189,בן  חביב,10,10:21.960,1:07.826,17.889
4,46,יצחק צח שוקרון,10,10:28.743,1:07.840,24.198
5,44,אוהד תמיר,10,10:27.635,1:07.098,25.458
6,57,עומרי יהב,10,10:33.656,1:08.424,27.252
7,839,טוני סיבשווילי,10,10:45.397,1:07.990,43.628
8,213,אלי  אמנה,10,10:04.554,1:06.003,49.591
9,33,לידור חן,10,11:26.943,1:07.505,1:24.008
10,24,יובל בנאי,9,10:14.400,1:15.251,1 הקפה
11,10,אהוד  גנון,9,10:52.289,1:18.830,1 הקפה
12,21,נטע שמידוב,8,10:04.409,1:18.965,2 הקפות
,93,גיא  בן סרדס,4,5:01.761,1:38.231,6 הקפות
הקפה מהירה: (56) לי ארביב - 1:05.820
סניורים - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,74,מאור  אברהם,15,15:32.161,1:01.309,-
2,100,חיים  אוחנה,14,15:14.530,1:02.805,1 הקפה
3,169,רמי ברנס,14,15:31.913,1:08.908,1 הקפה
4,35,אברהים אל חמידי,14,15:40.468,1:09.697,1 הקפה
5,26,אילן יפרח,14,15:50.170,1:11.395,1 הקפה
6,69,רובי  מיכאלי,13,15:03.618,1:10.111,2 הקפות
7,5,יריב לוי,13,15:37.193,1:13.382,2 הקפות
הקפה מהירה: (74) מאור  אברהם - 1:01.309
סניורים - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,74,מאור  אברהם,15,15:28.449,1:02.812,-
2,100,חיים  אוחנה,14,15:13.640,1:03.776,1 הקפה
3,169,רמי ברנס,14,15:20.773,1:09.691,1 הקפה
4,35,אברהים אל חמידי,14,15:45.253,1:07.477,1 הקפה
5,26,אילן יפרח,13,15:04.349,1:11.105,2 הקפות
6,5,יריב לוי,13,15:56.394,1:14.106,2 הקפות
הקפה מהירה: (74) מאור  אברהם - 1:02.812
רוקיס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,7,הראל מלמן,15,14:59.206,1:02.886,-
2,22,איתי דב,15,14:58.489,1:02.818,1.342
3,392,שגיא  צרפתי,15,15:04.433,1:01.799,9.827
4,17,הראל הימן,15,15:53.520,1:01.308,1:00.932
5,777,מתן צפר,13,14:57.245,1:04.619,2 הקפות
6,55,מתניה אסייג,13,15:26.200,1:14.740,2 הקפות
7,229,עמית צרפתי,13,14:40.938,1:02.254,2 הקפות
הקפה מהירה: (17) הראל הימן - 1:01.308
רוקיס - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,392,שגיא  צרפתי,15,15:02.227,1:01.539,-
2,22,איתי דב,15,15:07.233,1:02.827,6.251
3,7,הראל מלמן,15,15:13.580,1:03.231,18.771
4,17,הראל הימן,15,15:39.468,1:04.346,41.744
5,777,מתן צפר,14,15:11.571,1:08.115,1 הקפה
הקפה מהירה: (392) שגיא  צרפתי - 1:01.539
סופר ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,100,אוראן אוחנה,7,8:40.053,1:24.875,-
2,2,דודי שמואלי,7,8:53.256,1:27.905,11.216
3,6,אלעד צפר,7,9:06.161,1:29.560,24.874
4,48,שי אשכנזי,7,9:20.199,1:28.625,41.580
5,3,עופר בנימין,7,9:27.079,1:26.118,43.788
הקפה מהירה: (100) אוראן אוחנה - 1:24.875
סופר ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,2,דודי שמואלי,7,8:50.177,1:26.818,-
2,48,שי אשכנזי,7,9:10.036,1:29.166,20.688
