ראלי רייד
מרוץ 2 עונת 2017 - חצרים - 25-08-2017

OP3000
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,10,אילן פטורי,3:09:55.193,1:35:55.872,1:33:59.321,-
לא סיים - DNF
,8,דני גולן,-,-,-,2 הקפות
הקפה מהירה: (10) אילן פטורי - 1:33:59.321
T1
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,19,רז הימן,2:21:16.663,1:10:11.489,1:11:05.174,-
2,7,עובד ארזי,3:05:27.113,1:33:31.848,1:31:55.265,44:10.450
הקפה מהירה: (19) רז הימן - 1:10:11.489
T2
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,3,רועי שפירא,3:26:44.812,1:35:41.818,1:51:02.994,-
2,24,דדי שפרונץ,3:36:48.085,1:48:07.816,1:48:40.269,10:03.273
הקפה מהירה: (3) רועי שפירא - 1:35:41.818
T3
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,20,דני פרל,2:40:34.859,1:19:26.767,1:21:08.092,-
2,1,שלמה עייני,3:05:25.913,1:20:17.824,1:45:08.089,24:51.054
הקפה מהירה: (20) דני פרל - 1:19:26.767
T3 טורבו
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,15,אלירן יפרח,2:23:12.256,1:11:36.111,1:11:36.145,-
2,6,אמיר אבו מוך,2:28:01.048,1:09:29.964,1:18:31.084,4:48.792
3,13,זיו כרמי,2:32:57.337,1:23:21.857,1:09:35.480,9:45.081
4,2,שגיא בורנשטיין,2:36:56.818,1:07:24.138,1:29:32.680,13:44.562
5,14,מור מגידיש,2:52:27.537,1:27:17.822,1:25:09.715,29:15.281
6,12,רז יידן,3:10:10.113,1:22:57.446,1:47:12.667,46:57.857
7,18,עזר חי,3:18:27.546,1:30:19.040,1:48:08.506,55:15.290
8,17,גבי אברגיל,3:28:55.212,1:23:22.867,2:05:32.345,1:05:42.956
לא סיים - DNF
,41,שגיא נוי,1:16:36.098,1:16:36.098,-,1 הקפה
,11,רוני פישמן,-,-,-,2 הקפות
הקפה מהירה: (2) שגיא בורנשטיין - 1:07:24.138
TT
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,4,טל וינברג,2:20:27.175,1:06:20.192,1:14:06.983,-
2,9,ירון כהן,2:28:43.997,1:16:21.691,1:12:22.306,8:16.822
לא סיים - DNF
,36,עידו כהן,-,-,-,2 הקפות
הקפה מהירה: (4) טל וינברג - 1:06:20.192
אופנועים כללי
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,57,ליאור שוורץ,2:59:05.282,1:26:04.581,1:33:00.701,-
2,80,איתמר מלכה,3:07:38.421,1:32:52.899,1:34:45.522,8:33.139
3,16,שירן פרוחי,3:27:55.525,1:44:10.313,1:43:45.212,28:50.243
הקפה מהירה: (57) ליאור שוורץ - 1:26:04.581
אופנועים מקצועי
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,52,יוני לוי,2:10:06.769,1:05:47.766,1:04:19.003,-
הקפה מהירה: (52) יוני לוי - 1:04:19.003
אופנועים סניורים
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,78,צליל וונדרהורן,3:16:52.706,1:30:24.884,1:46:27.822,-
הקפה מהירה: (78) צליל וונדרהורן - 1:30:24.884
אופנועים עד 250
מקום,מספר,שם,זמן,הקפה 1,הקפה 2,פער
1,51,נפתלי דהן,2:55:21.088,1:22:02.930,1:33:18.158,-
הקפה מהירה: (51) נפתלי דהן - 1:22:02.930
