מוטוקרוס
מרוץ 4 עונת 2017 - וינגייט - 02-09-2017

MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,12,שחר בלולו,16,17:21.522,59.494,-
2,21,תומר הראל,16,17:24.805,1:00.366,3.283
3,10,דור עטיה,16,17:26.501,59.583,4.979
4,5,זיו כרמי,16,17:44.816,1:01.446,23.294
5,3,אלירן קדר,15,17:27.160,1:01.912,1 הקפה
6,32,גל חסון,14,17:33.246,1:04.985,2 הקפות
הקפה מהירה: (12) שחר בלולו - 59.494

MX1 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,10,דור עטיה,16,17:09.167,58.296,-
2,12,שחר בלולו,16,17:11.590,59.543,2.423
3,21,תומר הראל,16,17:26.889,58.690,17.722
4,5,זיו כרמי,16,17:41.865,1:01.926,32.698
5,3,אלירן קדר,15,17:35.247,1:01.471,1 הקפה
6,32,גל חסון,14,17:55.483,1:07.296,2 הקפות
הקפה מהירה: (10) דור עטיה - 58.296

MX2 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,146,רוני רגף,16,17:46.791,1:01.589,-
2,88,דן מיה,16,17:58.335,1:02.198,11.544
3,100,אליקו אוחנה,16,18:16.391,1:01.418,29.600
4,15,גל דרורי,16,18:36.396,1:02.365,49.605
5,22,אריאל דדיה,15,17:48.471,1:02.993,1 הקפה
6,7,שי מנצור,15,17:53.687,1:05.048,1 הקפה
הקפה מהירה: (100) אליקו אוחנה - 1:01.418

MX2 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,15,גל דרורי,16,17:42.292,58.934,-
2,88,דן מיה,16,17:44.146,1:01.919,1.854
3,100,אליקו אוחנה,16,17:59.921,1:01.945,17.629
4,22,אריאל דדיה,16,18:03.492,1:02.062,21.200
5,7,שי מנצור,15,17:51.278,1:04.786,1 הקפה
6,146,רוני רגף,7,18:19.464,1:02.341,9 הקפות
הקפה מהירה: (15) גל דרורי - 58.934

עממית - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,94,דודו עטר,9,10:53.660,1:04.348,-
2,44,אוהד תמיר,9,11:10.474,1:05.768,16.814
3,18,אילי גלם,9,11:10.500,1:05.105,16.840
4,69,מוטי אלקיים,9,11:19.458,1:07.340,25.798
5,7,שגיב נגרקר,9,11:19.459,1:08.376,25.799
6,189,בן חביב,9,11:27.106,1:06.947,33.446
7,6,ירון יעקובוביץ,9,11:28.534,1:06.502,34.874
8,46,יצחק צח שוקרון,9,11:34.710,1:08.239,41.050
9,81,אור פרישתא,9,11:35.437,1:07.286,41.777
10,56,לי ארביב,9,11:44.667,1:08.386,51.007
11,175,ניצן בן שטרית,9,12:05.268,1:10.672,1:11.608
12,74,אמיר ג'רסי,8,10:54.078,1:12.536,1 הקפה
13,77,איוב אבוכף,8,11:14.988,1:11.504,1 הקפה
14,54,בר אברגיל,8,11:57.781,1:12.368,1 הקפה
15,2,רם מוספי,8,12:00.682,1:11.614,1 הקפה
16,222,עידו כהן,8,12:23.421,1:13.226,1 הקפה
17,22,אמיר אלון,7,11:36.575,1:22.198,2 הקפות
18,19,רוי חודרוב,6,11:11.361,1:19.963,3 הקפות
לא סיים - DNF
,84,אבי חיון,8,10:35.964,1:10.452,1 הקפה
,4,מאור חגאי,8,10:43.904,1:08.836,1 הקפה
הקפה מהירה: (94) דודו עטר - 1:04.348

עממית - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,94,דודו עטר,9,10:59.908,1:05.241,-
2,6,ירון יעקובוביץ,9,11:13.247,1:06.751,13.339
3,7,שגיב נגרקר,9,11:18.673,1:07.179,18.765
4,189,בן חביב,9,11:21.049,1:07.733,21.141
5,44,אוהד תמיר,9,11:21.326,1:05.824,21.418
6,18,אילי גלם,9,11:29.690,1:06.946,29.782
7,56,לי ארביב,9,11:31.838,1:09.126,31.930
8,81,אור פרישתא,9,11:36.789,1:08.926,36.881
9,84,אבי חיון,9,11:50.504,1:09.428,50.596
10,46,יצחק צח שוקרון,9,11:53.403,1:10.061,53.495
11,175,ניצן בן שטרית,9,12:06.185,1:10.208,1:06.277
12,2,רם מוספי,9,12:09.911,1:10.610,1:10.003
13,4,מאור חגאי,8,11:00.989,1:10.587,1 הקפה
14,74,אמיר ג'רסי,8,11:07.744,1:13.411,1 הקפה
15,69,מוטי אלקיים,8,11:30.468,1:06.811,1 הקפה
16,222,עידו כהן,8,11:31.102,1:14.097,1 הקפה
17,19,רוי חודרוב,7,11:29.013,1:18.408,2 הקפות
18,54,בר אברגיל,6,12:03.439,1:18.259,3 הקפות
19,77,איוב אבוכף,4,12:01.699,1:13.043,5 הקפות
לא סיים - DNF
,22,אמיר אלון,5,8:13.802,1:22.944,4 הקפות
הקפה מהירה: (94) דודו עטר - 1:05.241

סניורים - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,100,חיים אוחנה,12,14:20.836,1:04.346,-
2,72,רמי צמח,12,14:31.423,1:06.571,10.587
3,74,מאור אברהם,12,14:42.838,1:04.668,22.002
4,169,רמי ברנס,12,15:06.722,1:05.622,45.886
5,69,רובי מיכאלי,11,14:16.164,1:10.734,1 הקפה
6,26,אילן יפרח,11,14:24.621,1:10.626,1 הקפה
7,35,אברהים אל חמידי,11,14:35.063,1:11.978,1 הקפה
8,43,עמית בן עזר,11,14:36.045,1:11.274,1 הקפה
9,5,יריב לוי,11,15:12.573,1:14.445,1 הקפה
10,20,רמי צרפתי,10,14:06.612,1:10.765,2 הקפות
לא סיים - DNF
,910,דורון מור,9,13:12.127,1:11.219,3 הקפות
הקפה מהירה: (100) חיים אוחנה - 1:04.346

סניורים - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,74,מאור אברהם,12,14:24.147,1:05.597,-
2,100,חיים אוחנה,12,14:37.546,1:04.772,13.399
3,72,רמי צמח,12,14:42.572,1:06.424,18.425
4,169,רמי ברנס,11,14:20.042,1:06.646,1 הקפה
5,69,רובי מיכאלי,11,14:22.955,1:07.145,1 הקפה
6,20,רמי צרפתי,11,14:45.427,1:07.663,1 הקפה
7,43,עמית בן עזר,11,14:45.756,1:12.733,1 הקפה
8,26,אילן יפרח,11,14:59.125,1:12.391,1 הקפה
9,35,אברהים אל חמידי,11,15:19.713,1:09.344,1 הקפה
10,910,דורון מור,10,14:01.527,1:13.045,2 הקפות
11,5,יריב לוי,10,14:17.880,1:14.838,2 הקפות
הקפה מהירה: (100) חיים אוחנה - 1:04.772

רוקיז - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,22,איתי דב,12,14:00.578,1:03.601,-
