אנדורו - היירסקרמבל
מרוץ 3 עונת 2017 - יער כרמים - 16-09-2017
E1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,25,תומר שמש,10,12:09.821,2:09:27.093,-
2,88,דן מיה,9,12:45.774,2:00:07.738,1 הקפה
3,94,בר נוב,9,12:48.058,2:01:30.086,1 הקפה
4,61,רון קדשאי,9,13:54.637,2:14:33.307,1 הקפה
5,47,סוף סלע,8,13:24.314,2:01:57.717,2 הקפות
6,222,אריאל דדיה,7,15:42.648,2:00:59.878,3 הקפות
הקפה מהירה: (25) תומר שמש - 12:09.821
E2
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,22,יוני לוי,10,12:08.720,2:05:41.573,-
2,5,זיו כרמי,10,12:03.660,2:06:57.161,1:15.588
3,84,סער יעקב,9,12:00.357,2:01:03.080,1 הקפה
4,8,נמרוד חמו,9,12:54.349,2:01:26.240,1 הקפה
5,122,דניס פורמנוב,9,13:04.377,2:06:24.779,1 הקפה
6,6,ירון יעקובוביץ,9,13:24.372,2:09:08.503,1 הקפה
7,224,אפי שטינבוים,5,15:22.210,2:07:17.944,5 הקפות
הקפה מהירה: (84) סער יעקב - 12:00.357
E3
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,2,טל אייזנבנד,9,12:40.391, P 2:03:50.483,-
2,9,צחי בן גיגי,9,12:59.688,2:04:11.260,20.777
3,3,גיל קינן,9,12:47.619,2:04:24.292,33.809
4,247,צוק סלע,9,13:14.756,2:06:13.365,2:22.882
5,217,מוש כהן,9,13:39.631,2:11:16.999,7:26.516
6,85,חיים פרנסי,9,14:01.479,2:13:01.243,9:10.760
7,100,אליקו אוחנה,3,15:22.092,2:04:00.457,6 הקפות
הקפה מהירה: (2) טל אייזנבנד - 12:40.391
C1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,212,אמיר ויצמן,6,14:02.582,1:31:45.659,-
2,44,מעין סבי,6,14:54.952,1:37:25.914,5:40.255
3,45,שי אביגדור,6,15:26.442,1:42:06.404,10:20.745
4,20,גיא אוחנה,6,15:38.224,1:42:08.539,10:22.880
5,392,שגיא צרפתי,6,14:45.484,1:42:47.374,11:01.715
6,17,הראל הימן,5,15:37.757,1:40:21.281,1 הקפה
7,7,הראל מלמן,5,19:13.410,1:47:49.676,1 הקפה
8,164,איתי דוב,4,19:21.514,1:31:25.465,2 הקפות
לא סיים - DNF
,95,גל יעקב,1,-,29:19.706,5 הקפות
הקפה מהירה: (212) אמיר ויצמן - 14:02.582
C2
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,49,שגיב נגרקר,6,14:01.513,1:30:29.412,-
2,65,רפאל קבסה,6,15:11.344,1:38:33.886,8:04.474
3,103,ברק פילקמר,6,15:55.477,1:47:29.668,17:00.256
4,104,טדי הרוש,5,17:31.836,1:36:55.225,1 הקפה
5,69,אלעד ששון,5,15:56.685,1:37:01.430,1 הקפה
6,226,נדב קרקליס,5,17:36.884,1:41:53.900,1 הקפה
7,42,אסף שטרית,5,17:00.391,1:46:41.758,1 הקפה
8,92,עידן עטיה,5,18:36.940,1:47:00.831,1 הקפה
