סופרבייק
מרוץ 9 עונת 2017 - פצאל - 10-10-2017
מקצועית
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,11,אלמוג מנגד,30,19:50.497,38.921,-
2,82,נביל שפסו,30,19:52.281,38.995,1.784
3,17,חיים זנדברג,29,20:12.738,40.362,1 הקפה
4,95,אלי חן,29,20:15.530,40.663,1 הקפה
5,43,תובל ארד,29,20:47.554,41.071,1 הקפה
6,41,ליאור ברמי,28,20:20.359,41.039,2 הקפות
7,19,ליעד לב,24,20:13.177,40.343,6 הקפות
הקפה מהירה: (11) אלמוג מנגד - 38.921
עממית - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,65,דני ליאור,15,10:40.685,41.319,-
2,41,ליאור ברמי,15,10:43.698,41.319,3.013
3,44,יגאל חי,15,10:53.787,42.289,13.102
4,33,עמית פוקס,15,11:12.932,43.580,32.247
5,10,רומן פוטחין,14,10:43.105,44.099,1 הקפה
6,5,מיכאל וולוב,14,10:45.809,44.200,1 הקפה
7,1,יוסי עמר,14,11:03.675,46.258,1 הקפה
8,919,שאול צוקר,14,11:19.826,46.453,1 הקפה
9,8,ג'וליאן נוביקוב,13,10:56.753,47.033,2 הקפות
לא סיים - DNF
10,93,שקד יפרח,9,6:51.664,43.497,6 הקפות
הקפה מהירה: (65) דני ליאור - 41.319
עממית - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,65,דני ליאור,15,10:34.069,41.088,-
2,44,יגאל חי,15,10:39.436,41.743,5.367
3,33,עמית פוקס,15,11:04.118,43.190,30.049
4,10,רומן פוטחין,15,11:11.483,43.464,37.414
5,5,מיכאל וולוב,14,10:42.572,44.630,1 הקפה
6,1,יוסי עמר,14,10:54.779,45.632,1 הקפה
7,919,שאול צוקר,14,11:05.326,46.316,1 הקפה
8,8,ג'וליאן נוביקוב,13,11:07.964,46.535,2 הקפות
הקפה מהירה: (65) דני ליאור - 41.088
300
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,46,יוסי ביבר,13,12:08.053,50.767,-
2,7,אלון ברנע,13,12:09.721,50.412,1.668
3,2,אסף חייבי,13,12:39.387,52.152,31.334
4,27,דוד שמיילוב,12,12:18.454,50.651,1 הקפה
5,11,ניב מורן רבין,12,12:21.377,54.780,1 הקפה
6,13,ליאון חפץ,12,12:28.539,55.289,1 הקפה
7,66,חנה רוטמן,12,12:53.645,56.949,1 הקפה
8,26,מיכאל אבוחצירא,11,12:20.570,58.042,2 הקפות
9,45,אבי איברגימוב,11,12:59.199,55.408,2 הקפות
10,44,סימונה זדא,10,13:05.093,1:09.276,3 הקפות
לא סיים - DNF
11,55,ניר כחלון,12,11:18.467,50.570,1 הקפה
הקפה מהירה: (7) אלון ברנע - 50.412
