סופרמוטו
מרוץ 3 עונת 2017 - פצאל - 10-10-2017

S1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,696,לי ברדה,14,10:22.642,43.165,-
2,46,דורון לסטון,14,10:38.868,44.596,16.226
3,14,אליאור אטיאס,14,10:39.835,44.365,17.193
4,9,גיא יצחק לריאה,14,10:45.480,45.560,22.838
5,64,יניב פורמה,14,10:46.855,44.968,24.213
6,44,יוחאי חכם,14,10:51.995,45.772,29.353
7,93,יובל שרון,13,10:25.367,46.227,1 הקפה
8,29,דניאל קרייזמן,13,10:29.876,47.346,1 הקפה
9,47,אילן ברוורמן,13,10:30.852,47.051,1 הקפה
הקפה מהירה: (696) לי ברדה - 43.165

S1 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,696,לי ברדה,15,11:14.994,43.443,-
2,46,דורון לסטון,15,11:33.368,44.050,18.374
3,9,גיא יצחק לריאה,15,11:34.375,45.340,19.381
4,14,אליאור אטיאס,15,11:35.333,43.967,20.339
5,93,יובל שרון,15,11:37.054,45.465,22.060
6,44,יוחאי חכם,15,11:37.833,42.247,22.839
7,64,יניב פורמה,15,11:45.839,45.632,30.845
8,29,דניאל קרייזמן,14,11:24.723,46.265,1 הקפה
9,47,אילן ברוורמן,14,11:26.052,46.337,1 הקפה
הקפה מהירה: (44) יוחאי חכם - 42.247

S2 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,22,אריאל דדיה,12,9:33.589,47.139,-
2,442,שון בינימין,12,9:33.937,46.954,0.348
3,5,שירן ששון,12,9:34.361,46.770,0.772
4,100,רן יוחאי,12,9:47.518,47.588,13.929
5,37,לורן שייפר,12,9:51.123,48.254,17.534
6,77,ליאור מג׳ר,12,10:02.283,48.979,28.694
7,609,שחר עמרמי,12,10:03.124,49.074,29.535
8,33,אלעד שחר,12,10:11.957,49.066,38.368
9,69,מושיק מימון,12,10:34.837,50.526,1:01.248
10,72,טל זהבי,11,9:57.174,48.719,1 הקפה
11,61,יוחנן רזניק,11,9:57.521,53.086,1 הקפה
הקפה מהירה: (5) שירן ששון - 46.770

S2 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,5,שירן ששון,12,9:41.500,46.738,-
2,442,שון בינימין,12,9:43.994,45.789,2.494
3,22,אריאל דדיה,12,9:46.588,47.645,5.088
4,100,רן יוחאי,12,9:46.980,46.973,5.480
5,37,לורן שייפר,12,9:57.410,48.298,15.910
6,609,שחר עמרמי,12,10:06.322,49.131,24.822
7,33,אלעד שחר,12,10:07.422,49.196,25.922
8,72,טל זהבי,12,10:07.813,48.075,26.313
9,77,ליאור מג׳ר,12,10:12.008,49.015,30.508
10,69,מושיק מימון,12,10:36.379,48.983,54.879
11,61,יוחנן רזניק,11,10:05.307,52.943,1 הקפה
הקפה מהירה: (442) שון בינימין - 45.789
