אנדורו
מרוץ 5 עונת 2017 - יער צרעה - 10-11-2017
E1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,25,תומר שמש,10,12:38.941,2:11:20.310,-
2,88,דן מיה,9,12:45.104,2:03:35.708,1 הקפה
3,61,רון קדשאי,9,13:05.014,2:03:44.331,1 הקפה
4,94,בר נוב,9,13:25.414,2:11:11.409,1 הקפה
5,355,נועם דדון,9,13:53.126,2:13:09.096,1 הקפה
6,47,סוף סלע,8,13:53.508,2:02:59.593,2 הקפות
7,146,רוני רגף,7,14:57.026,2:00:00.479,3 הקפות
8,39,שחף מגל,7,16:41.423,2:07:32.635,3 הקפות
9,222,אריאל דדיה,2,1:31:26.268,2:01:59.617,8 הקפות
הקפה מהירה: (25) תומר שמש - 12:38.941
E2
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,5,זיו כרמי,10,12:51.147,2:12:43.979,-
2,22,יוני לוי,9,12:41.927,2:00:53.285,1 הקפה
3,8,נמרוד חמו,9,13:03.517,2:01:16.966,1 הקפה
4,4,דרור כהן,9,12:55.935,2:08:29.313,1 הקפה
5,84,סער יעקב,9,12:46.411,2:08:36.111,1 הקפה
6,6,ירון יעקובוביץ,8,14:21.610,2:02:55.520,2 הקפות
7,49,שגיב נגרקר,7,15:26.210,2:00:02.272,3 הקפות
הקפה מהירה: (22) יוני לוי - 12:41.927
E3
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,2,טל אייזנבנד,9,13:15.309,2:04:20.448,-
2,3,גיל קינן,9,13:34.664,2:08:27.026,4:06.578
3,9,צחי בן גיגי,9,14:39.419,2:14:30.697,10:10.249
4,217,מוש כהן,8,14:38.875,2:03:55.028,1 הקפה
5,30,אורי גרינשטיין,8,14:42.643,2:04:04.533,1 הקפה
6,85,חיים פרנסי,7,15:07.705,2:00:33.963,2 הקפות
לא התחיל - DNS
,102,אליקו אוחנה,,-,-,-
הקפה מהירה: (2) טל אייזנבנד - 13:15.309
C1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,212,אמיר ויצמן,6,14:27.979,1:32:38.946,-
2,95,גל יעקב,6,15:17.254,1:37:56.991,5:18.045
3,800,דניאל ליטווק,6,15:11.395,1:40:45.840,8:06.894
4,20,גיא אוחנה,5,16:37.632,1:30:21.490,1 הקפה
5,444,טל מאיה,5,16:26.944,1:32:52.603,1 הקפה
6,45,שי אביגדור,5,16:59.266,1:40:10.146,1 הקפה
7,253,נועם שלו,4,16:40.721,1:31:24.837,2 הקפות
8,602,רועי רן,4,23:47.678,1:50:09.309,2 הקפות
לא סיים - DNF
,505,אלעד גבאי,4,17:45.033,1:22:18.679,2 הקפות
,44,מעין סבי,2,17:20.523,35:37.733,4 הקפות
