ראלי ספרינט
מרוץ 4 עונת 2017 - ערד - 22-12-2017

2X4
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,13,עופר שוורץ,,2:25.424,2:21.632,2:23.211,2:21.632,-
2,82,ניצן לוי,,2:39.095,P 2:46.663,P 2:35.620,P 2:35.620,13.988
CUP
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,17,רמי גדיר,בוריס סטלוסבסקי,2:11.643,2:08.849,2:08.824,2:08.824,-
2,98,אלעד הדר,סרגיי ליטבק,2:15.264,2:18.037,2:14.083,2:14.083,5.259
3,22,ויקטור קוחניצקי,אמיר גמליאל,P 2:27.531,2:19.742,2:17.962,2:17.962,9.138
4,96,עמית ניב,,2:30.605,2:22.593,2:27.433,2:22.593,13.769
5,94,טל ניב,,2:28.593,2:33.829,2:31.334,P 2:28.593,19.769
Gr N
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,83,קובי כהן,,2:06.832,2:03.119,2:20.574,2:03.119,-
2,7,חמאדה עודה,,2:05.395,2:06.519,2:03.248,2:03.248,0.129
3,5,אדר מלמד,דן יוחאי,2:05.143,2:13.109,2:42.474,2:05.143,2.024
4,54,נדב ירון,,2:12.712,2:08.318,2:05.216,2:05.216,2.097
5,46,אייל בן ארי,דובי מילר,2:07.871,2:10.289,2:05.617,2:05.617,2.498
T2
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,24,דוד שפורנץ,שגיא שוורץ,2:33.026,2:31.998,2:30.908,2:30.908,-
T3
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,99,רז גבריאלי,,2:18.950,2:29.270,2:16.567,2:16.567,-
2,40,עומר פרל,,2:25.665,2:22.999,2:24.189,2:22.999,6.432
T3 OP
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,10,יובל שרון,,2:08.255,2:07.005,2:07.746,2:07.005,-
2,1,אלירן יפרח,,2:08.048,2:08.344,2:07.110,2:07.110,0.105
3,2,יונתן רווה,,2:12.467,2:07.368,2:08.565,2:07.368,0.363
4,181,שגיא בורשטיין,,2:12.394,2:11.461,2:09.229,2:09.229,2.224
5,97,צחי כפרי,,2:09.293,2:09.333,2:09.881,2:09.293,2.288
6,41,שגיא נוי,בן גלעדי,2:12.227,2:10.819,2:10.008,2:10.008,3.003
7,55,רוני פישמן,,2:13.098,2:12.170,2:11.869,2:11.869,4.864
8,8,רפי מזרחי,,2:24.837,2:15.240,2:13.843,2:13.843,6.838
9,60,גבי אברגיל,,2:17.971,2:16.957,2:17.460,2:16.957,9.952
10,4,שי חכמון,,-,2:21.213,6:49.024,2:21.213,14.208

© כל הזכויות שמורות לתנועה מדידת זמנים
