אנדורו - היירסקרמבל
מרוץ 1 עונת 2018 - משאבי שדה - 26-01-2018
מקצועית E1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,25,תומר שמש,6,20:44.291,2:07:34.824,-
2,47,סוף סלע,6,21:11.654,2:14:15.725,6:40.901
3,61,רון קדשאי,6,21:50.175,2:15:05.313,7:30.489
4,320,אורן חסון,6,21:50.352,2:15:41.185,8:06.361
5,15,אריאל שלי,6,22:22.772,2:16:00.873,8:26.049
6,355,נועם דדון,6,21:38.637,2:16:05.283,8:30.459
7,94,בר נוב,6,21:18.401,2:30:02.346,22:27.522
8,212,אמיר וייצמן,5,22:36.249,2:03:08.483,1 הקפה
9,88,דן מיה,5,21:44.480,P 2:05:15.720,1 הקפה
10,20,גיא אוחנה,5,24:41.238,2:14:33.132,1 הקפה
11,11,גיא נורסלע,5,26:11.490,2:15:51.214,1 הקפה
12,39,שחף מגל,5,26:46.553,2:17:31.939,1 הקפה
13,45,שי אביגדור,4,27:43.444,2:00:10.452,2 הקפות
לא סיים - DNF
,222,אריאל דדיה,1,-,27:15.659,5 הקפות
הקפה מהירה: (25) תומר שמש - 20:44.291
מקצועית E2
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,8,נמרוד חמו,6,19:41.635,2:03:14.545,-
2,4,דרור כהן,6,21:53.792,2:13:50.296,10:35.751
3,5,זיו כרמי,6,20:06.617,2:15:03.939,11:49.394
4,84,סער יעקוב,6,21:47.078,2:21:04.465,17:49.920
5,315,דודי דדון,5,24:42.131,2:07:09.956,1 הקפה
6,103,ברק פולקמר,5,29:14.032,2:35:26.219,1 הקפה
הקפה מהירה: (8) נמרוד חמו - 19:41.635
מקצועית E3
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,2,טל איזנבנד,6,21:20.649,2:16:25.869,-
2,512,שרון נגר,5,24:30.687,2:04:17.720,1 הקפה
3,117,חביאר אלחנדרו,5,24:55.436,2:07:32.464,1 הקפה
4,707,צוק סלע,5,25:00.751,2:08:51.244,1 הקפה
5,14,ירון לוגסי,5,26:01.067,2:09:47.442,1 הקפה
לא סיים - DNF
,122,דניס פורמנוב,3,22:29.143,1:08:40.595,3 הקפות
,9,צחי בן גיגי,3,23:27.667,1:10:05.952,3 הקפות
הקפה מהירה: (2) טל איזנבנד - 21:20.649
עממית C1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,74,נוף נקב,4,22:57.446,1:36:15.609,-
2,33,גיל זרקו,4,23:46.513,1:40:38.317,4:22.708
3,702,גן בן דוד,4,24:40.583,1:43:56.863,7:41.254
4,149,עמרי בשור,4,24:29.470,1:44:03.565,7:47.956
5,270,איתי קריצמן,4,23:52.730,1:44:26.451,8:10.842
6,37,גל מיה,4,24:57.755,1:47:04.503,10:48.894
7,444,טל מיה,4,26:04.094,1:51:45.217,15:29.608
8,21,יהב פייגין,4,26:32.633,1:52:00.644,15:45.035
9,110,איתי גרואג,4,26:09.215,1:53:34.146,17:18.537
10,75,יובל גוטמן,4,26:41.737,1:54:37.990,18:22.381
לא סיים - DNF
,180,עוז שמשון,3,23:30.420,1:18:43.968,1 הקפה
הקפה מהירה: (74) נוף נקב - 22:57.446
עממית C2
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,44,מעין סבי,4,23:07.016,1:37:54.935,-
2,101,ניר דוד,4,25:27.026,1:47:01.558,9:06.623
3,229,אוהד אביטבול,4,24:35.717,1:47:02.275,9:07.340
4,700,יוסי בן שטרית,4,26:11.172,1:49:47.968,11:53.033
5,304,אסף ויסבקר,4,26:01.182,1:50:16.339,12:21.404
6,353,חן כהן,4,24:43.637,1:50:18.422,12:23.487
7,53,אסף אביטל,4,28:32.378,2:01:40.016,23:45.081
8,508,ערן אדיר,3,30:41.407,1:33:52.782,1 הקפה
9,70,אלירן סבג,3,32:20.230,1:41:02.563,1 הקפה
לא סיים - DNF
,28,צחי בני,3,25:46.028,1:25:45.325,1 הקפה
,888,מיכאל יפרח,2,26:15.730,55:24.589,2 הקפות
נפסל - DSQ
,69,אלעד ששון,4,26:36.289,1:51:58.314,14:03.379
הקפה מהירה: (44) מעין סבי - 23:07.016
עממית C3
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,517,שלומי אסרף,4,24:04.830,1:43:55.529,-
2,98,דורון שלומי,3,29:14.198,1:32:14.914,1 הקפה
3,42,אסף שטרית,3,28:37.079,1:33:09.593,1 הקפה
הקפה מהירה: (517) שלומי אסרף - 24:04.830
מתחילים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,179,אורי פרג רואי,3,25:35.633,1:22:33.031,-
2,32,מוחמד כרמוואי,3,27:15.960,1:25:57.063,3:24.032
3,252,אמיר אילון,3,26:38.430,1:26:03.817,3:30.786
4,142,צח תורגמן,2,29:46.614,1:02:13.303,1 הקפה
5,139,עבד אלגני אחמד,2,29:38.743,1:02:15.564,1 הקפה
6,722,אייל רחימה,2,30:12.854,1:04:32.677,1 הקפה
7,66,יונתן ויסמן,2,38:37.691,1:18:11.923,1 הקפה
8,59,עומר זוהר,2,39:41.883,1:20:41.532,1 הקפה
9,202,אסף אדום,2,39:03.494,1:24:14.617,1 הקפה
10,326,עידו וולף,2,39:39.971,1:25:47.367,1 הקפה
לא סיים - DNF
,89,ישראל בוזגלו,2,27:42.982,58:05.820,1 הקפה
,113,אודי בני,1,-,41:05.532,2 הקפות
הקפה מהירה: (179) אורי פרג רואי - 25:35.633
סופר סניורים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,747,דניאל עמר,3,28:24.684,1:31:01.807,-
2,414,אמיר שטיימן,2,41:31.134,1:41:25.603,1 הקפה
3,501,נתן פרי טל נאור,2,52:00.079,1:41:56.078,1 הקפה
לא סיים - DNF
,230,עדו גביש,2,38:57.235,1:23:28.613,1 הקפה
,168,משה ארד,2,40:37.758,1:28:07.703,1 הקפה
הקפה מהירה: (747) דניאל עמר - 28:24.684
סניורים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,111,יוסי גוטמן,4,24:42.893,1:41:22.904,-
2,121,אוריה כרמלי,4,24:13.966,1:42:40.129,1:17.225
3,130,אדי קלדס,4,24:28.876,1:42:57.002,1:34.098
4,745,שאולי חמוי,4,25:06.389,1:45:00.730,3:37.826
5,901,עמית גול,4,25:49.663,1:46:37.590,5:14.686
6,71,ברק דודאי,4,25:03.139,1:46:39.770,5:16.866
7,72,רמי צמח,4,25:07.178,1:47:56.328,6:33.424
8,56,איציק קלנר,4,25:54.589,1:51:42.937,10:20.033
9,519,דרור כהן,4,27:24.087,1:53:08.183,11:45.279
10,930,יעקב כהן,4,27:29.838,1:55:58.500,14:35.596
11,680,שי מגן,3,28:10.521,1:31:30.127,1 הקפה
12,125,רונן מדיאל,3,26:03.844,1:33:01.624,1 הקפה
13,771,אלעד שחל,3,27:10.566,1:35:30.845,1 הקפה
14,317,ארז זנדברג,3,31:10.054,1:37:11.205,1 הקפה
הקפה מהירה: (121) אוריה כרמלי - 24:13.966
ג'וניור מקצועית
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,108,שי ספקטור,4,26:34.243,1:53:52.526,-
2,40,רז עידן,3,28:16.283,1:30:08.607,1 הקפה
3,460,ענבר זלינגר,3,33:04.409,1:54:37.106,1 הקפה
4,440,ניב סבן,2,32:09.255,1:30:51.718,2 הקפות
5,114,אלון יוסף,2,1:08:39.297,2:30:03.500,2 הקפות
הקפה מהירה: (108) שי ספקטור - 26:34.243
ג'וניור מתחילים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,321,מעין חמוי,2,59:43.695,2:21:05.273,-
הקפה מהירה: (321) מעין חמוי - 59:43.695
סופר ג'וניור מתחילים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,26,עומר רוזנבלום,10,3:52.356,40:21.980,-
2,8,שקד כהן,10,3:56.717,42:18.666,1:56.686
3,66,אור זרקו,10,4:00.715,42:33.044,2:11.064
4,77,ארז מלמן,10,4:13.819,43:43.317,3:21.337
5,67,ירין כהן,9,4:05.450,42:24.537,1 הקפה
6,228,עידו כהן,9,4:33.280,44:19.420,1 הקפה
7,115,מעיין עוזיאל,9,4:42.942,45:02.339,1 הקפה
8,10,בועז סאסי,9,4:05.551,P 47:13.633,1 הקפה
9,45,רועי שטרן,8,4:05.288,P 40:16.426,2 הקפות
10,321,מעין חמוי,8,4:38.074,40:31.664,2 הקפות
11,55,גיא צמח,8,4:55.217,41:36.965,2 הקפות
12,119,ניב הימן,7,4:59.824,40:44.100,3 הקפות
הקפה מהירה: (26) עומר רוזנבלום - 3:52.356
סופר ג'וניור מקצועית
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,27,אופיר קייסי צמח,10,4:00.114,43:41.163,-
2,1,בן אלמגור,9,4:17.412,42:45.078,1 הקפה
3,888,יותם עוזיאל,8,5:09.376,43:55.256,2 הקפות
4,11,איתי שחל,7,5:14.035,40:58.353,3 הקפות
5,72,רועי צמח,7,5:39.463,43:07.280,3 הקפות
6,109,איתי וינברג,6,5:10.121,41:53.789,4 הקפות
7,48,שי אשכנזי,2,36:26.905,44:12.198,8 הקפות
הקפה מהירה: (27) אופיר קייסי צמח - 4:00.114
