סופרבייק
מרוץ 2 עונת 2018 - דלתון - 23-03-2018
מקצועית 1000
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,11,אלמוג מנגד,22,47.078,17:27.242,-
2,73,אבי אלבז,22,46.741,17:27.527,0.285
3,94,אדמוז הרון,22,47.115,17:57.149,29.907
4,27,אלי מאירי,22,48.935,18:13.592,46.350
5,7,שון בן יקר,19,52.478,18:12.642,3 הקפות
לא התחיל - DNS
,67,אורן דהרי,,-,-,-
,43,תובל ארד,,-,-,-
הקפה מהירה: (73) אבי אלבז - 46.741
מקצועית 600
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,77,יוגב הרוש,18,47.387,14:23.745,-
2,82,נביל שפסו,18,46.813,14:26.131,2.386
3,19,ליעד לב,18,47.153,14:26.479,2.734
4,95,אלי חן,18,47.538,14:30.799,7.054
5,1,חיים זנדברג,18,50.118,15:14.878,51.133
6,34,משה מנצור,17,50.490,14:39.384,1 הקפה
7,24,סאקר טריף,17,50.948,14:43.412,1 הקפה
8,5,מיכאל וולוב,17,52.769,15:13.806,1 הקפה
9,84,ניר ישראל,17,52.455,15:15.056,1 הקפה
10,8,גוליאן נוביקוב,16,55.381,15:11.667,2 הקפות
11,45,עופר איתח,12,48.648,14:51.935,6 הקפות
הקפה מהירה: (82) נביל שפסו - 46.813
מקצועית 300
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,800,בר לוי,15,54.298,13:47.635,-
2,17,חיים זנדברג,15,54.585,13:49.987,2.352
3,888,לוי שמואל,15,54.322,13:50.190,2.555
4,777,אלי כרמל,15,50.975,14:11.983,24.348
5,8,ג'וליאן נוביקוב,15,57.387,14:40.223,52.588
6,55,יניב חדד,15,56.614,14:40.453,52.818
7,6,ניר מרגוליס,15,57.800,14:42.501,54.866
8,14,אליעד בן שטרית,14,55.905,14:07.684,1 הקפה
9,93,בן ברנשטיין,14,58.167,14:20.895,1 הקפה
10,123,רוסלן טובברג,14,1:00.211,14:21.963,1 הקפה
11,100,רן יוחאי,14,1:00.570,14:42.182,1 הקפה
לא סיים - DNF
,98,תובל ארד,5,54.025,4:36.965,10 הקפות
לא התחיל - DNS
,5,אלמוג מנגד,,-,-,-
,26,מיכאל אבוחצירא,,-,-,-
,2,אסף חייבי,,-,-,-
הקפה מהירה: (777) אלי כרמל - 50.975
גביע חובבים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,31,חן אביוב,20,52.095,17:45.086,-
2,33,עמית פוקס,20,52.919,17:53.051,7.965
3,18,גל בן-דהן,20,54.798,18:22.504,37.418
4,369,יהודה מלצר,20,54.776,18:22.985,37.899
5,22,אייל חוברה,20,55.303,18:37.355,52.269
6,69,רענן נגר,19,55.901,18:01.581,1 הקפה
7,13,ליאון חפץ,19,58.146,18:41.845,1 הקפה
8,409,בצלאל קדם,17,1:03.815,18:21.387,3 הקפות
9,81,יונתן חמו,16,1:05.863,17:54.458,4 הקפות
לא סיים - DNF
,45,אליעד איטח,13,55.684,12:20.438,7 הקפות
הקפה מהירה: (31) חן אביוב - 52.095
