סופרבייק
מרוץ 3 עונת 2018 - ערד - 05-04-2018

סופרספורט 300
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,5,אלמוג מנגד,20,52.576,17:57.771,-
2,800,בר לוי,20,53.572,18:02.980,5.209
3,31,אביוב חן,20,53.923,18:06.580,8.809
4,43,תובל ארד,20,53.771,18:16.800,19.029
5,888,לוי שמואל,20,55.766,18:40.491,42.720
6,6,ניר מרגוליס,19,56.266,18:13.127,1 הקפה
7,2,אסף חייבי,19,57.723,18:31.250,1 הקפה
8,8,גוליאן נוביקוב,19,57.836,18:31.808,1 הקפה
לא סיים - DNF
,17,חיים זנדברג,7,54.347,6:16.945,13 הקפות
,14,אליעד בן שטרית,7,53.739,6:17.447,13 הקפות
הקפה מהירה: (5) אלמוג מנגד - 52.576

© כל הזכויות שמורות לתנועה מדידת זמנים
