סופרמוטו
מרוץ 2 עונת 2018 - ערד - 05-04-2018

S1 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,696,לי ברדה,12,1:19.902,17:29.180,-
2,43,אריאל דדיה,12,1:20.987,17:34.908,5.728
3,44,יוחאי חכם,12,1:22.014,17:37.973,8.793
4,7,אביב גואטה,12,1:21.114,18:00.320,31.140
5,11,רוני רגף,12,1:21.751,18:06.439,37.259
6,47,אילן ברוורמן,12,1:25.073,18:28.142,58.962
7,9,גיא לריאה,11,1:28.342,17:45.571,1 הקפה
8,19,אלעד אליהב,10,1:25.052,18:10.603,2 הקפות
הקפה מהירה: (696) לי ברדה - 1:19.902

S1 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,696,לי ברדה,12,1:19.630,17:24.790,-
2,7,אביב גואטה,12,1:21.764,17:40.877,16.087
3,43,אריאל דדיה,12,1:21.279,17:42.537,17.747
4,11,רוני רגף,12,1:23.249,18:07.279,42.489
5,44,יוחאי חכם,12,1:22.866,18:22.769,57.979
6,19,אלעד אליהב,11,1:26.023,17:32.204,1 הקפה
7,9,גיא לריאה,11,1:27.206,17:33.459,1 הקפה
8,47,אילן ברוורמן,11,1:25.665,18:34.852,1 הקפה
הקפה מהירה: (696) לי ברדה - 1:19.630

S2 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,46,משה לוי,8,1:31.785,13:40.684,-
2,37,לורן שייפר,8,1:33.931,13:51.461,10.777
3,17,אסף טננבאום,8,1:33.815,13:52.361,11.677
4,11,שחר יגל,8,1:32.908,14:04.302,23.618
5,14,אליאור אטיאס,8,1:35.192,14:55.390,1:14.706
6,61,יוחנן רזניק,8,1:40.877,15:00.328,1:19.644
לא התחיל - DNS
,69,מושיק מימון,,-,-,-
הקפה מהירה: (46) משה לוי - 1:31.785

S2 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,46,משה לוי,8,1:33.972,13:55.114,-
2,17,אסף טננבאום,8,1:34.306,14:06.936,11.822
3,14,אליאור אטיאס,8,1:35.474,14:12.334,17.220
4,37,לורן שייפר,8,1:32.608,14:14.302,19.188
5,61,יוחנן רזניק,8,1:41.526,15:09.767,1:14.653
6,11,שחר יגל,8,1:33.376,15:19.811,1:24.697
הקפה מהירה: (37) לורן שייפר - 1:32.608
