סופרבייק
מרוץ 4 עונת 2018 - שדה תימן - 25-05-2018

סופרבייק 1000
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,11,אלמוג מנגד,24,1:00.175,24:28.164,-
2,36,עדיאל מיוסט,24,59.829,24:37.643,9.479
3,73,אבי אלבז,24,1:00.334,25:19.535,51.371
4,79,גריגורי מושאילוב,23,1:03.231,24:48.618,1 הקפה
5,27,אלי מאירי,23,1:02.995,24:51.710,1 הקפה
6,747,מועטס חסנין,22,1:06.034,25:06.376,2 הקפות
7,7,שון בן יקר,22,1:06.090,25:06.774,2 הקפות
הקפה מהירה: (36) עדיאל מיוסט - 59.829

סופרספורט 600
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,19,ליעד לב,21,1:00.693,21:35.143,-
2,82,נביל שפסו,21,1:00.645,21:36.250,1.107
3,77,יוגב הרוש,21,1:00.714,22:11.284,36.141
4,34,משה מנצור,20,1:05.448,22:12.772,1 הקפה
5,44,יגאל חי,20,1:05.734,22:39.026,1 הקפה
6,25,עזיז שובאש,19,1:07.416,21:46.034,2 הקפות
7,12,צחי שף לוי,19,1:07.345,22:13.433,2 הקפות
8,22,אייל חוברה,19,1:07.731,22:14.915,2 הקפות
9,84,ניר ישראל,19,1:08.749,22:16.337,2 הקפות
10,8,ג'וליאן נוביקוב,18,1:10.810,21:35.520,3 הקפות
11,101,רונן רודיק,18,1:12.673,22:11.047,3 הקפות
הקפה מהירה: (82) נביל שפסו - 1:00.645

סופרספורט 300
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,25,מתן בן שאנן,17,1:06.891,19:13.017,-
2,800,בר לוי,17,1:07.189,19:17.350,4.333
3,63,ששי אליאס,17,1:07.770,19:21.793,8.776
4,17,חיים זנדברג,17,1:08.066,19:40.565,27.548
5,888,מולי לוי,17,1:08.250,19:50.919,37.902
6,777,אלי כרמל,17,1:08.071,19:51.641,38.624
7,12,אביעד אברהמי,17,1:08.604,19:52.044,39.027
8,89,קיריל בזנוסוב,17,1:08.859,19:53.186,40.169
9,43,תובל ארד,17,1:09.169,20:03.472,50.455
10,14,אליעד בן שטרית,17,1:10.544,20:12.899,59.882
11,11,ניב מורן רבין,16,1:10.776,19:15.146,1 הקפה
12,22,אודי ברוך,16,1:11.250,19:24.326,1 הקפה
13,46,יוסף ביבר,16,1:12.238,19:50.413,1 הקפה
14,93,בן ברנשטיין,16,1:13.755,19:58.608,1 הקפה
15,2,אסף חייבי,16,1:14.119,20:10.816,1 הקפה
16,80,שירה פרי,16,1:13.526,20:13.550,1 הקפה
17,8,ג'וליאן נוביקוב,16,1:15.560,20:30.561,1 הקפה
הקפה מהירה: (25) מתן בן שאנן - 1:06.891

גביע חובבים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,31,חן אביוב,17,1:05.013,18:47.626,-
2,33,עמית פוקס,17,1:07.064,19:16.183,28.557
3,369,יהודה מלצר,17,1:07.854,19:30.311,42.685
4,18,גל בן דהן,17,1:08.595,19:45.586,57.960
5,99,איציק איסוביץ,17,1:08.651,19:47.077,59.451
6,5,מיכאל וולוב,16,1:09.416,18:51.475,1 הקפה
7,50,אביה עמר,16,1:09.038,18:57.646,1 הקפה
8,13,ליאון חפץ,16,1:09.031,19:20.072,1 הקפה
9,81,יהונתן חמו,14,1:20.815,19:46.263,3 הקפות
לא סיים - DNF
,10,אלי באינסאי,16,1:08.820,18:36.748,1 הקפה
הקפה מהירה: (31) חן אביוב - 1:05.013

© כל הזכויות שמורות לתנועה מדידת זמנים
