ליגת פירלי
מבחני כניסה עונת 2018 - פצאל - 27-07-2018

סופרבייק 1000
מקום,מספר,שם,מקצה 1,מקצה 2,הקפה מהירה,פער
1,11,אלמוג מנגד,39.321,-,39.321,-
2,23,גיא הראל,40.907,40.273,40.273,0.952
3,94,הרון אדמוז,40.758,-,40.758,1.437
4,67,אורן דהרי,41.511,41.477,41.477,2.156
5,747,מועתז סחנין,41.766,41.962,41.766,2.445
6,88,גילעד סבן,42.001,-,42.001,2.680
7,79,ויקטור צ'רנובסקי,43.442,43.585,43.442,4.121
8,5,מיכאל וולוב,43.683,43.531,43.531,4.210
9,13,יוסף ישראל שילה,44.323,44.365,44.323,5.002
10,3,יהודה לוי,44.681,-,44.681,5.360
11,8,אמיר קורן,44.857,-,44.857,5.536
12,26,מתנאל אזולאי,44.941,-,44.941,5.620

סופרספורט 600
מקום,מספר,שם,מקצה 1,מקצה 2,הקפה מהירה,פער
1,82,נאביל שבסו,43.490,43.030,43.030,-
2,19,ליעד לב,43.780,-,43.780,0.750
3,93,נג'ואן אבו חלא,-,45.226,45.226,2.196
4,6,ניר מרגוליס,45.681,46.202,45.681,2.651
5,29,אמיר עבאס,47.592,45.953,45.953,2.923
6,34,משה מנצור,46.204,46.012,46.012,2.982
7,9,רומן פוטחין,46.292,-,46.292,3.262
8,22,אייל חוברה,47.428,46.521,46.521,3.491
9,96,יהודה כהן,46.906,-,46.906,3.876
10,919,שאול צוקר,47.186,-,47.186,4.156
11,8,גוליאן,47.719,-,47.719,4.689
12,7,שלומי גולדשטיין,48.255,-,48.255,5.225
13,43,ארז כהן,51.203,50.119,50.119,7.089

סופרספורט 300
מקום,מספר,שם,מקצה 1,מקצה 2,הקפה מהירה,פער
1,800,בר לוי,44.686,-,44.686,-
2,5,עידו מנגד,45.218,45.314,45.218,0.532
3,777,אלי כרמל,45.988,45.612,45.612,0.926
4,12,אביעד אברהמי,46.946,46.355,46.355,1.669
5,22,אודי ברוך,46.786,-,46.786,2.100
6,14,אליעד בן שטרית,47.574,-,47.574,2.888
7,11,ניב מורן-רבין,48.039,-,48.039,3.353
8,63,ששי אליאס,48.131,-,48.131,3.445
9,54,דניאל קוצ'ין,49.614,-,49.614,4.928
10,44,עדי שפיר,49.841,-,49.841,5.155
11,165,אריאל אלסיבוני,57.101,55.621,55.621,10.935
12,123,רוסלן טובברג,57.291,1:00.749,57.291,12.605

קטגוריה פתוחה 600/1000
מקום,מספר,שם,מקצה 1,מקצה 2,הקפה מהירה,פער
1,33,עמית פוקס,49.617,46.522,46.522,-
2,88,גילעד סבן,46.853,-,46.853,0.331
3,69,לירן כהן,49.331,47.239,47.239,0.717
4,21,אוהד ארנשטיין,48.858,47.782,47.782,1.260
5,18,גל בן דהן,49.413,48.246,48.246,1.724
6,216,דביר אמוייאל,48.724,48.315,48.315,1.793
7,7,יוסי אביזוב,48.810,48.426,48.426,1.904
8,66,רונן שיק,48.786,48.593,48.593,2.071
9,70,ארטיום אברמוב,48.770,-,48.770,2.248
10,55,לירן נחום,51.282,49.858,49.858,3.336
11,31,יובל ברן,50.838,50.346,50.346,3.824
12,2,טל מוסרי,51.514,50.374,50.374,3.852
13,25,ברוך הגבר פלדשטיין,51.130,50.705,50.705,4.183
14,3,גנאדי פוקראמוביץ׳,50.778,50.885,50.778,4.256
15,39,איימן נאפה,52.683,51.540,51.540,5.018
16,93,ניר פרידפרטיג,51.782,53.554,51.782,5.260
17,14,יובל כהן,53.370,52.870,52.870,6.348
18,9,הראל גילאור,54.577,54.100,54.100,7.578

קטגוריה פתוחה עד 500
מקום,מספר,שם,מקצה 1,מקצה 2,הקפה מהירה,פער
1,7,שי קורצמן,46.739,45.773,45.773,-
2,9,גיא יצחק לריאה,46.855,45.870,45.870,0.097
3,99,יצחק איסוביץ,47.579,46.026,46.026,0.253
4,47,אילן ברוורמן,47.360,46.427,46.427,0.654
5,46,משה לוי,48.931,49.219,48.931,3.158
6,888,לוי שמואל,50.998,49.069,49.069,3.296
7,2,אסף חייבי,50.697,49.527,49.527,3.754
8,92,יאיר מנטש,51.042,-,51.042,5.269
9,93,יהונתן מאירי,52.302,51.331,51.331,5.558
10,31,חן אביוב,53.597,51.372,51.372,5.599
11,168,דמיטרי פרידמן,52.605,51.474,51.474,5.701
12,27,דוד שמאילוב,53.153,-,53.153,7.380
13,23,אורן מצא,58.642,-,58.642,12.869

© כל הזכויות שמורות לתנועה מדידת זמנים
