ראלי רייד
מרוץ 1 עונת 2018 - צאלים - 07-09-2018

OP3000
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,10,אילן פטורי,58:13.616,59:06.559,58:51.101,2:56:11.276,-
הקפה מהירה:  (10) אילן פטורי - 58:13.616

T1
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,72,עובד ארזי,1:10:04.103,1:01:36.199,1:02:33.382,3:14:13.684,-
הקפה מהירה:  (72) עובד ארזי - 1:01:36.199

T2
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
לא סיים - DNF
1,40,דדי שפרונץ,1:19:43.028,-,-,1:19:43.028,-
הקפה מהירה:  (40) דדי שפרונץ - 1:19:43.028

T3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,75,אמיר אבו מוך,48:32.536,50:15.414,49:16.527,2:28:04.477,-
2,23,אלירן יפרח,49:36.157,50:53.186,51:40.732,2:32:10.075,4:05.598
3,16,נאור אשכנזי,53:17.549,52:27.333,53:55.246,2:39:40.128,11:35.651
4,41,שגיא נוי,52:54.525,58:51.543,52:58.373,2:44:44.441,16:39.964
5,18,עזר חי,53:54.275,53:43.049,59:19.084,2:46:56.408,18:51.931
6,5,שלמה עייני,1:01:05.054,59:31.339,1:00:13.430,3:00:49.823,32:45.346
7,14,רוני פישמן,1:15:11.752,53:15.024,54:40.218,3:03:06.994,35:02.517
8,666,שחף מזרחי,55:20.352,1:11:32.917,1:18:17.464,3:25:10.733,57:06.256
לא סיים - DNF
9,9,שרון בן עמי,-,-,-,-,3 הקפות
הקפה מהירה:  (75) אמיר אבו מוך - 48:32.536

TT
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,42,טל ויינברג,44:21.157,48:01.047,45:19.237,2:17:41.441,-
2,48,ירון כהן,47:43.007,47:22.847,46:41.354,2:21:47.208,4:05.767
3,47,דור חסון,49:37.679,47:33.459,49:28.115,2:26:39.253,8:57.812
לא סיים - DNF
4,73,איל לביא,50:43.594,46:54.860,-,1:37:38.454,1 הקפה
5,74,עידו כהן,-,-,-,-,3 הקפות
הקפה מהירה:  (42) טל ויינברג - 44:21.157

אופנועים כללי
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,59,ליאור שוורץ,59:26.413,1:01:16.768,1:03:42.841,3:04:26.022,-
2,65,שמוליק פאוסט,1:24:47.230,1:18:28.439,1:22:27.664,4:05:43.333,1:01:17.311
לא סיים - DNF
3,63,ניר בקאי,1:06:12.160,1:08:26.013,-,2:14:38.173,1 הקפה
4,64,שלומי כהן,1:19:27.842,1:32:47.098,-,2:52:14.940,1 הקפה
5,62,משה דקל,1:31:36.928,1:21:38.106,-,2:53:15.034,1 הקפה
6,66,דן קטנוב,1:09:38.583,-,-,1:09:38.583,2 הקפות
הקפה מהירה:  (59) ליאור שוורץ - 59:26.413

מקצועי
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,50,נמרוד חמו,48:44.271,49:36.354,49:21.614,2:27:42.239,-
2,56,זיו כרמי,51:44.551,49:59.079,52:10.303,2:33:53.933,6:11.694
הקפה מהירה:  (50) נמרוד חמו - 48:44.271

סניורים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,58,תומר וולף,57:37.807,1:00:30.937,59:25.471,2:57:34.215,-
2,53,גדי נחמני,1:05:20.097,1:03:15.442,1:07:23.658,3:15:59.197,18:24.982
3,60,נפתלי דהן,1:04:34.897,1:10:41.067,1:12:28.811,3:27:44.775,30:10.560
4,54,נתן נאור,1:07:03.082,1:17:28.176,1:16:50.853,3:41:22.111,43:47.896
הקפה מהירה:  (58) תומר וולף - 57:37.807

עד 250
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,68,דן מיה,53:53.314,55:34.310,56:25.896,2:45:53.520,-
2,61,רון קדשאי,54:51.827,55:35.244,56:28.197,2:46:55.268,1:01.748
הקפה מהירה:  (68) דן מיה - 53:53.314

© כל הזכויות שמורות לתנועה מדידת זמנים
