פירלי קאפ
מרוץ 2 עונת 2018 - שדה תימן - 26-09-2018

SBK1000
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,11,אלמוג מנגד,27,58.122,26:48.890,-
2,94,הרון אדמוז,27,59.973,27:16.331,27.441
3,73,אבי אלבז,27,59.914,27:16.680,27.790
4,18,גריגורי מושאילוב,26,1:00.794,P 27:42.310,1 הקפה
5,77,ליאור אליה,26,1:03.243,27:43.050,1 הקפה
6,747,מועתז חסנין,25,1:03.086,27:10.652,2 הקפות
7,165,יהודה לוי,24,1:05.457,26:50.349,3 הקפות
לא סיים - DNF
,79,ויקטור צ'רסקי,11,1:04.925,12:12.837,16 הקפות
הקפה מהירה: (11) אלמוג מנגד - 58.122

SSP600
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,77,יוגב הרוש,27,59.488,26:54.161,-
2,95,אלי חן,27,59.496,26:55.031,0.870
3,22,אייל חוברה,26,1:03.120,27:34.887,1 הקפה
4,34,משה מנצור,26,1:02.748,27:51.312,1 הקפה
5,21,שלומי גולדשטיין,26,1:02.940,P 27:55.838,1 הקפה
6,6,ניר מרגוליס,26,1:03.212,27:55.870,1 הקפה
7,29,אמיר עאבס,25,1:03.853,27:10.936,2 הקפות
8,84,ניר ישראל,25,1:04.617,27:13.464,2 הקפות
9,8,ג'וליאן נוביקוב,25,1:06.382,27:56.418,2 הקפות
לא סיים - DNF
,93,נג'ואן אבו חלא,1,-,50.014,26 הקפות
הקפה מהירה: (77) יוגב הרוש - 59.488

SSP300
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,800,בר לוי,25,1:03.897,26:56.554,-
2,63,ששי אליאס,25,1:04.230,27:15.153,18.599
3,12,אביעד אברהמי,25,1:05.261,27:31.802,35.248
4,7,שי קורצמן,25,1:04.218,27:32.374,35.820
5,99,יצחק איסוביץ,25,1:05.717,27:37.983,41.429
6,22,אודי ברוך,24,1:06.297,26:58.923,1 הקפה
7,11,ניב מורן-רבין,24,1:05.414,27:02.564,1 הקפה
8,16,גלעד קורן,24,1:06.516,27:03.259,1 הקפה
9,47,אילן ברוורמן,24,1:06.606,27:03.515,1 הקפה
10,33,דניאל קוצ'ין,23,1:11.073,27:57.407,2 הקפות
11,123,רוסלן טובברג,20,1:19.327,27:10.334,5 הקפות
לא סיים - DNF
,5,אלמוג מנגד,20,1:04.289,21:32.190,5 הקפות
,44,עדי שפיר,20,1:06.441,23:13.002,5 הקפות
,777,אלי כרמל,10,1:06.144,12:32.523,15 הקפות
הקפה מהירה: (800) בר לוי - 1:03.897

Open
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,33,עמית פוקס,9,1:02.487,10:41.485,-
2,31,חן אביוב,9,1:03.270,10:49.700,8.215
3,55,נהוראי מדויל,9,1:04.119,11:02.063,20.578
4,311,יוסי כהן,9,1:04.712,11:03.850,22.365
5,19,אלעזר סלב,9,1:04.665,P 11:08.505,27.020
6,28,אמיר קורן,9,1:05.881,11:22.239,40.754
7,69,לירן כהן,9,1:06.837,11:25.763,44.278
8,21,אוהד ארנשטיין,9,1:06.662,11:27.030,45.545
9,43,ארז כהן,9,1:06.710,11:27.874,46.389
10,67,רוסלן נייבלט,9,1:07.444,11:29.107,47.622
11,10,יובל ברן,9,1:06.208,11:47.361,1:05.876
12,56,שיאור ימין,8,1:09.659,10:41.486,1 הקפה
13,25,ברוך פלדשטיין,8,1:11.210,11:05.655,1 הקפה
הקפה מהירה: (33) עמית פוקס - 1:02.487
Open 500
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,888,מולי לוי,9,1:08.023,11:47.105,-
2,5,יניב חדד,8,1:12.023,11:17.590,1 הקפה
3,3,דימיטרי פרידמן,8,1:14.586,11:29.948,1 הקפה
הקפה מהירה: (888) מולי לוי - 1:08.023

Junior
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,5,עידו מנגד,8,1:19.114,11:52.692,-
2,93,יהונתן מאירי,8,1:18.260,12:01.373,8.681
3,87,עידו חן,8,1:18.076,12:01.631,8.939
4,8,יונתן חדד,8,1:20.546,12:25.371,32.679
5,194,אסלן אדמוז,8,1:20.745,12:25.814,33.122
לא סיים - DNF
,9,אורון מנגד,2,-,4:54.167,6 הקפות
הקפה מהירה: (87) עידו חן - 1:18.076

© כל הזכויות שמורות לתנועה מדידת זמנים
