סופרבייק
מרוץ 8 עונת 2018 - פצאל - 09-11-2018

Supersport 1000
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,11,אלמוג מנגד,27,39.026,17:57.707,-
2,73,אבי אלבז,27,39.312,18:01.260,3.553
הקפה מהירה: (11) אלמוג מנגד - 39.026
Supersport 600
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,77,יוגב הרוש,27,38.051,17:30.321,-
2,82,נביל שבסו,27,37.964,17:30.550,0.229
3,19,ליעד לב,27,39.071,18:02.144,31.823
4,1,חיים זנדברג,26,39.803,18:00.008,1 הקפה
5,84,ניר ישראל,24,42.208,17:38.393,3 הקפות
6,22,אייל חוברה,24,42.152,17:39.140,3 הקפות
הקפה מהירה: (82) נביל שבסו - 37.964

Supersport 300
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,800,בר לוי,20,40.787,14:01.631,-
2,17,חיים זנדברג,20,41.039,14:24.430,22.799
3,47,אילן ברוורמן,20,42.894,14:39.777,38.146
4,11,ניב מורן רבין,20,42.910,14:39.882,38.251
5,6,ניר מרגוליס,19,43.498,14:09.931,1 הקפה
6,777,אלי כרמל,19,43.168,14:12.869,1 הקפה
7,43,תובל ארד,19,43.889,14:20.002,1 הקפה
8,888,לוי שמואל,19,44.192,14:24.924,1 הקפה
9,80,שירה פרי,18,45.513,14:25.127,2 הקפות
הקפה מהירה: (800) בר לוי - 40.787

חובבים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,33,עמית פוקס,20,40.597,13:47.548,-
2,31,חן אביוב,20,40.400,13:47.808,0.260
3,18,גל בן דהן,19,42.810,13:57.035,1 הקפה
4,74,אלעד איסוביץ,19,43.125,14:04.309,1 הקפה
5,67,רוסלן נייבלט,19,42.995,14:06.767,1 הקפה
6,4,גיל ברנשטיין,18,46.007,14:16.918,2 הקפות
הקפה מהירה: (31) חן אביוב - 40.400

© כל הזכויות שמורות לתנועה מדידת זמנים
