ראלי רייד
עונת 2016 - באר מנוחה - 25-11-2016

TT
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,21,טל ויינברג,ניצן בוסתן,2,2:46:06.120,,1:22:07.124
2,29,לירן סברוב,איל אפרתי,2,3:04:18.763,18:12.643,1:29:58.072
3,22,דור חסון,דוד פרץ,2,3:15:15.332,29:09.212,1:27:51.143
4,28,ירון כהן,יואב שיטאי,2,3:16:27.270,30:21.150,1:25:19.397
הקפה מהירה: (21) טל ויינברג ניצן בוסתן - 1:22:07.124

T1
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,30,רז הימן,הלל סגל,2,2:54:38.597,,1:27:18.737
2,24,שי שמעוני,גדעון בן שמואל,2,3:05:14.420,10:35.823,1:29:21.123
הקפה מהירה: (30) רז הימן הלל סגל - 1:27:18.737

T1.3
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,31,שגיא בורשטיין,,2,2:54:17.075,,1:26:50.346
2,26,דני פרל,איתי מולדבסקי,2,3:24:12.794,29:55.719,1:36:15.762
הקפה מהירה: (31) שגיא בורשטיין - 1:26:50.346

OP3000
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,25,דני גולן,אילן פטורי,2,3:04:18.239,,1:31:13.779
2,23,שלמה עיני,דובי מילר,2,3:38:00.481,33:42.242,1:39:03.490
הקפה מהירה: (25) דני גולן אילן פטורי - 1:31:13.779

אופנועים מקצועי
מקום,מספר,נהג,הקפות,זמן,פער,הקפה מהירה
1,79,יונתן לוי,2,2:42:26.178,,1:19:54.956
2,74,תובל דובדבני,2,2:46:33.990,4:07.812,1:22:11.253
3,75,נמרוד חמו,2,2:48:21.425,5:55.247,1:21:35.578
4,85,גב סלע,2,2:48:48.755,6:22.577,1:22:19.496
5,76,דרור כהן,2,2:50:37.964,8:11.786,1:24:30.215
הקפה מהירה: (79) יונתן לוי - 1:19:54.956

אופנועים ג'וניורס
מקום,מספר,נהג,הקפות,זמן,פער,הקפה מהירה
1,81,רון קדשאי,2,2:56:20.738,,1:25:41.484
2,83,צוק סלע,2,3:10:15.898,13:55.160,1:33:05.317
הקפה מהירה: (81) רון קדשאי - 1:25:41.484

אופנועים סניורים
מקום,מספר,נהג,הקפות,זמן,פער,הקפה מהירה
1,73,ברק דודאי,2,3:04:30.621,,1:29:36.778
2,72,דורון וינטר,2,3:05:02.960,32.339,1:29:33.488
3,82,גדי נחמני,2,3:13:35.763,9:05.142,1:35:28.795
4,80,נפתלי דהן,2,3:42:39.608,38:08.987,1:39:21.666
הקפה מהירה: (72) דורון וינטר - 1:29:33.488

אופנועים כללי
מקום,מספר,נהג,הקפות,זמן,פער,הקפה מהירה
1,84,ליאור שוורץ,2,3:14:52.587,,1:37:08.878
2,71,איתמר מלכה,2,3:18:13.332,3:20.745,1:36:02.089
3,78,יעקב דדיה,2,3:29:43.540,14:50.953,1:41:41.990
4,77,שירן פרוחי,2,3:55:08.516,40:15.929,1:56:06.311
הקפה מהירה: (71) איתמר מלכה - 1:36:02.089

© כל הזכויות שמורות לתנועה מדידת זמנים
