סופרבייק
מרוץ 8 עונת 2017 - דלתון - 01-09-2017

מקצועית - 1000
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,11,אלמוג מנגד,30,23:39.224,46.441,-
2,94,הרון אדמוז,30,24:10.144,47.788,30.920
3,43,תובל ארד,29,24:07.782,47.885,1 הקפה
הקפה מהירה: (11) אלמוג מנגד - 46.441

מקצועית - 600
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,19,ליעד לב,29,23:50.457,48.018,-
2,17,חיים זנדברג,29,24:06.796,48.871,16.339
3,34,משה מנצור,28,24:10.833,50.513,1 הקפה
הקפה מהירה: (19) ליעד לב - 48.018

עממית - 1000
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,9,מחמד סמי,15,12:53.743,50.616,-
הקפה מהירה: (9) מחמד סמי - 50.616

עממית - 600
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,65,דני ליאור,15,13:10.745,50.676,-
2,8,ג'וליאן נוביקוב,15,13:18.128,52.200,7.383
3,5,מיכאל וולוב,15,13:18.916,52.221,8.171
4,55,יניב חדד,15,13:44.837,53.178,34.092
5,1,יוסי עמר,14,13:23.436,56.280,1 הקפה
6,66,חנה רוטמן,12,13:37.194,1:05.748,3 הקפות
הקפה מהירה: (65) דני ליאור - 50.676

טרקטורונים
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,7,שי אילוז,6,10:07.484,1:38.507,-
2,16,דניאל חדד,6,10:20.006,1:39.769,12.522
3,3,אמיר דן,6,10:31.100,1:43.102,23.616
4,26,ליאור חתן,6,10:31.852,1:43.609,24.368
לא סיים - DNF
5,10,שמעון שלוש,1,3:02.559,3:02.559,5 הקפות
הקפה מהירה: (7) שי אילוז - 1:38.507

© כל הזכויות שמורות לתנועה מדידת זמנים
