סופרמוטו
מרוץ 2 עונת 2017 - פצאל - 09-09-2017

דירוג - מקצה ראשון
מקום,מספר,שם,הקפה מהירה,בהקפה,פער
1,37,לורן שייפר,49.317,8,-
2,77,ליאור מג׳ר,50.842,14,1.525
3,72,טל זהבי,50.901,16,1.584
4,6,שחר עמרמי,51.038,10,1.721
5,29,דניאל קרייזמן,51.536,8,2.219
6,111,מתן גז,52.128,2,2.811
7,5,שירן ששון,52.404,2,3.087
8,61,יוחנן רזניק,52.906,14,3.589
9,69,מושיק מימון,53.128,15,3.811
הקפה מהירה: (37) לורן שייפר - 49.317

דירוג - מקצה שני
מקום,מספר,שם,הקפה מהירה,בהקפה,פער
1,696,לי ברדה,44.080,11,-
2,11,אלמוג מנגד,45.153,11,1.073
3,44,יוחאי חכם,46.012,5,1.932
4,9,גיא יצחק לריאה,46.023,10,1.943
5,15,גל דרורי,46.713,16,2.633
6,14,אליאור אטיאס,47.012,8,2.932
7,47,אילן ברוורמן,47.587,7,3.507
8,93,אריאל רותם,47.674,9,3.594
9,22,אריאל דדיה,49.139,7,5.059
הקפה מהירה: (696) לי ברדה - 44.080

S1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,696,לי ברדה,15,11:30.921,44.636,-
2,11,אלמוג מנגד,15,11:35.740,45.195,4.819
3,44,יוחאי חכם,15,11:43.492,45.949,12.571
4,15,גל דרורי,15,11:45.796,45.700,14.875
5,9,גיא יצחק לריאה,15,12:01.623,45.766,30.702
6,22,אריאל דדיה,15,12:05.206,47.178,34.285
7,93,אריאל רותם,15,12:05.894,47.093,34.973
8,14,אליאור אטיאס,15,12:07.115,47.286,36.194
9,47,אילן ברוורמן,14,11:50.972,48.069,1 הקפה
הקפה מהירה: (696) לי ברדה - 44.636

S1 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,696,לי ברדה,15,11:23.343,44.364,-
2,11,אלמוג מנגד,15,11:32.818,44.038,9.475
3,44,יוחאי חכם,15,11:47.724,45.976,24.381
4,9,גיא יצחק לריאה,15,11:59.770,46.578,36.427
5,22,אריאל דדיה,15,12:00.037,46.452,36.694
6,93,אריאל רותם,15,12:01.251,46.564,37.908
7,14,אליאור אטיאס,15,12:01.610,46.581,38.267
8,47,אילן ברוורמן,14,11:24.250,47.327,1 הקפה
9,15,גל דרורי,14,11:40.444,46.884,1 הקפה
הקפה מהירה: (11) אלמוג מנגד - 44.038

S2 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,37,לורן שייפר,12,10:04.372,49.430,-
2,29,דניאל קרייזמן,12,10:05.112,49.157,0.740
3,5,שירן ששון,12,10:05.632,47.473,1.260
4,72,טל זהבי,12,10:06.282,48.903,1.910
5,6,שחר עמרמי,12,10:10.540,49.474,6.168
6,111,מתן גז,12,10:26.775,50.397,22.403
7,69,מושיק מימון,12,10:37.198,51.342,32.826
8,61,יוחנן רזניק,12,10:55.259,52.989,50.887
הקפה מהירה: (5) שירן ששון - 47.473

S2 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,29,דניאל קרייזמן,12,10:06.464,49.218,-
2,37,לורן שייפר,12,10:07.468,49.575,1.004
3,72,טל זהבי,12,10:07.600,48.173,1.136
4,6,שחר עמרמי,12,10:11.386,49.292,4.922
5,5,שירן ששון,12,10:25.781,47.513,19.317
6,111,מתן גז,12,10:42.278,51.843,35.814
7,77,ליאור מג׳ר,12,10:43.689,51.861,37.225
8,61,יוחנן רזניק,12,10:55.842,52.664,49.378
9,69,מושיק מימון,11,10:38.655,51.867,1 הקפה
הקפה מהירה: (5) שירן ששון - 47.513

© כל הזכויות שמורות לתנועה מדידת זמנים
