ראלי ספרינט
מרוץ 3 עונת 2017 - חצרים - 24-11-2017

2X4
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,13,עופר שוורץ,,3:18.964,3:18.512,3:16.656,3:16.656,-
2,82,ניצן לוי,מוטי נתן,-,-,3:20.750,3:20.750,4.094

CUP
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,98,אלעד הדר,סרגיי ליטבק,3:08.265,3:05.683,3:31.983,3:05.683,-
2,22,ויקטור קוחניצקי,אמיר גמליאל,-,-,4:27.140,4:27.140,1:21.457

Gr N
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,7,חמאדה עודה,,2:56.127,2:57.949,2:50.909,2:50.909,-
2,5,אדר מלמד,דן יוחאי,2:52.887,2:54.335,P 2:49.005,2:52.887,1.978
3,54,נדב ירון,,-,-,2:56.726,2:56.726,5.817
4,46,אייל בן ארי,דובי מילר,2:58.685,2:57.897,2:57.548,2:57.548,6.639
5,83,קובי כהן,,3:05.566,2:58.316,2:58.339,2:58.316,7.407
נפסל - מקצה 5 - DSQ
,5,אדר מלמד,דן יוחאי,2:52.887,2:54.335,P 2:49.005,2:52.887,-

T2
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,24,דוד שפורנץ,לינס,-,-,3:27.899,3:27.899,-

T3
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,99,רז גבריאלי,,3:00.183,2:58.533,3:02.435,2:58.533,-
2,40,עומר פרל,,3:30.246,3:28.540,3:25.599,3:25.599,27.066

T3 OP
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,1,אלירן יפרח,,2:46.892,2:48.718,2:48.041,2:46.892,-
2,41,שגיא נוי,בן גלעדי,2:59.625,2:50.129,2:47.371,2:47.371,0.479
3,42,אייל אלבז,,2:48.804,2:48.577,2:47.389,2:47.389,0.497
4,2,יונתן רווה,,2:49.052,2:49.114,2:48.772,2:48.772,1.880
5,181,שגיא בורשטיין,,2:51.053,3:21.616,2:50.503,2:50.503,3.611
6,12,רפי ברנס,,2:54.227,P 2:59.341,2:54.354,2:54.227,7.335
7,3,שחף מזרחי,,2:55.669,2:54.823,3:40.483,2:54.823,7.931
8,97,אמיר אבו מוך,עומרי אבו מוך,2:56.056,2:55.291,2:54.875,2:54.875,7.983
9,15,רוני פישמן,,2:58.117,2:56.373,2:57.312,2:56.373,9.481
10,60,גבי אברגיל,,3:01.148,3:00.276,2:59.063,2:59.063,12.171
11,6,עזר חי,,3:02.288,3:04.026,3:05.426,3:02.288,15.396
12,4,עודד ליבוביץ,,-,-,-,-,-

© כל הזכויות שמורות לתנועה מדידת זמנים
