ראלי רייד
מרוץ 4 עונת 2017 - מנוחה - 14-12-2017

OP 3000
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,10,אילן פטורי,2:37:20.964,26:52.277,3:04:13.241,-,-

T1
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,70,רז הימן,1:43:46.071,18:46.879,P 2:12:32.950,10:00.000,-
2,12,עובד ארזי,2:04:59.849,24:55.386,2:29:55.235,-,17:22.285

T2
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,12,רועי שפירא,1:57:44.639,25:01.482,P 2:27:46.121,5:00.000,-
לא סיים - DNF
,24,דדי שפרונץ,-,-,-,-,2 הקפות

T3
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,40,דני פרל,2:30:25.406,26:31.335,2:56:56.741,-,-

T3.1 (טורבו)
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,181,שגיא בורשטיין,1:40:36.117,17:42.939,P 2:08:19.056,10:00.000,-
2,60,גבי אברג'יל,1:50:52.599,21:04.769,2:11:57.368,-,3:38.312
3,97,עמיר אבו מוך,1:44:32.975,17:47.298,P 2:12:20.273,10:00.000,4:01.217
4,1,אלירן יפרח,1:49:13.592,18:32.977,P 2:17:46.569,10:00.000,9:27.513
5,46,רפי ברנס,2:11:10.844,19:14.762,2:30:25.606,-,22:06.550
6,90,עזר חי,2:08:16.397,22:44.456,2:31:00.853,-,22:41.797
7,41,שגיא נוי,2:16:29.428,19:08.218,2:35:37.646,-,27:18.590
8,16,נאור אשכנזי,1:45:50.269,40:15.022,P 2:52:05.291,26:00.000,43:46.235
לא סיים - DNF
,20,שרון בן עמי,-,-,-,-,2 הקפות
,49,רוני פישמן,-,-,-,-,2 הקפות

TT
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,14,עידו כהן,1:46:04.433,17:36.020,2:03:40.453,-,-
2,4,טל ויינברג,1:46:45.549,18:04.855,2:04:50.404,-,1:09.951
לא סיים - DNF
,33,לירן סברוב,-,22:41.212,22:41.212,-,1 הקפה
,34,איל לביא,-,29:42.143,29:42.143,-,1 הקפה
,134,ירון כהן,-,-,-,-,2 הקפות

אופנועים - כללי
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,73,איתמר מלכה,2:23:14.898,29:13.813,2:52:28.711,-,-
2,61,פוליטימי קיריקופולו,2:31:22.975,27:25.919,2:58:48.894,-,6:20.183
3,74,ליאור שוורץ,2:34:36.026,25:19.828,P 3:26:55.854,27:00.000,34:27.143

אופנועים - מקצועי
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,72,יוני לוי,1:54:28.678,17:17.875,2:11:46.553,-,-
2,8,נמרוד חמו,1:55:07.221,18:18.844,2:13:26.065,-,1:39.512
3,270,וסילי בודרוס,1:56:25.530,22:24.313,2:18:49.843,-,7:03.290
4,76,עופרי שטראוס,2:01:07.728,19:46.829,2:20:54.557,-,9:08.004
5,4,דרור כהן,2:01:53.053,20:41.740,2:22:34.793,-,10:48.240

אופנועים - סניורים
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,71,ברק דודאי,2:11:07.809,21:01.416,P 2:42:09.225,10:00.000,-
2,86,גדי נחמני,2:10:39.830,22:39.338,P 2:43:19.168,10:00.000,1:09.943
3,51,נפתלי דהן,2:14:56.563,29:12.093,2:44:08.656,-,1:59.431
4,78,צליל ונדרהורן,2:26:09.282,59:19.014,3:25:28.296,-,43:19.071
5,77,עידן עבודי,3:04:27.852,39:00.129,3:43:27.981,-,1:01:18.756

אופנועים - עד 250
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,עונשין,פער
1,75,יעקב דדיה,2:39:49.000,33:11.192,3:13:00.192,-,-

© כל הזכויות שמורות לתנועה מדידת זמנים
