ראלי ספרינט
מרוץ 2 עונת 2018 - ערד - 07-04-2018

2X4
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,הקפה מהירה,פער
1,12,ניצן לוי,4:13.445,4:16.396,4:17.421,4:13.445,-
2,16,מוטי נתן,4:17.199,4:18.640,4:18.807,4:17.199,3.754
3,13,עופר שוורץ,4:26.794,4:21.503,4:25.766,4:21.503,8.058
4,27,צור שוורץ,4:23.666,4:25.176,4:28.274,4:23.666,10.221

CUP
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,הקפה מהירה,פער
1,7,רמי גדיר,4:02.631,3:58.637,3:57.787,3:57.787,-
2,98,אלעד הדר,4:08.525,4:03.183,4:06.333,4:03.183,5.396
3,94,טל ניב,4:12.452,4:06.197,4:08.683,4:06.197,8.410
4,96,עמית ניב,DNF,4:10.123,4:10.675,4:10.123,12.336
5,22,ויקטור קוחניצקי,4:12.024,DSQ,DSQ,4:12.024,14.237

Gr N
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,הקפה מהירה,פער
1,5,אדר מלמד,3:51.511,3:50.147,3:54.135,3:50.147,-
2,14,חמאדה עודה,3:51.795,DSQ,DSQ,3:51.795,1.648
3,83,קובי כהן,3:54.902,3:55.001,4:04.793,3:54.902,4.755

T3 OP
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,הקפה מהירה,פער
1,23,אלירן יפרח,3:58.955,3:47.804,3:48.860,3:47.804,-
2,2,יוני רווה,3:50.605,3:53.307,3:52.141,3:50.605,2.801
3,15,יובל שרון,3:51.788,DNF,3:53.052,3:51.788,3.984
4,77,מור מגידיש,3:53.054,3:52.838,DSQ,3:52.838,5.034
5,41,שגיא נוי,3:52.954,3:53.537,3:53.479,3:52.954,5.150
6,17,גבי אברג'יל,3:54.038,3:55.119,3:55.749,3:54.038,6.234

© כל הזכויות שמורות לתנועה מדידת זמנים
