סופרבייק
מרוץ 3 עונת 2018 - שדה תימן - 25-05-2018

סופרבייק 1000
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,11,אלמוג מנגד,24,59.606,24:35.798,-
2,36,עדיאל מיוסט,24,1:00.283,24:43.518,7.720
3,23,גיא הראל,24,1:00.903,24:48.739,12.941
4,73,אבי אלבז,24,1:00.849,24:51.956,16.158
5,27,אלי מאירי,23,1:03.300,25:10.557,1 הקפה
6,79,גריגורי מושאילוב,23,1:03.554,25:11.190,1 הקפה
7,747,מועטס חסנין,20,1:07.692,25:12.673,4 הקפות
לא סיים - DNF
,67,אורן דהרי,22,1:05.336,24:27.133,2 הקפות
,7,שון בן יקר,15,1:07.020,17:15.580,9 הקפות
הקפה מהירה: (11) אלמוג מנגד - 59.606

סופרספורט 600
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,82,נביל שפסו,21,1:00.591,21:42.456,-
2,77,יוגב הרוש,21,1:01.040,21:45.868,3.412
3,19,ליעד לב,21,1:00.973,21:46.255,3.799
4,65,דני ליאור,20,1:04.845,22:22.604,1 הקפה
5,34,משה מנצור,20,1:05.516,22:28.983,1 הקפה
6,12,צחי שף לוי,19,1:06.897,22:15.026,2 הקפות
7,22,אייל חוברה,19,1:08.422,22:15.818,2 הקפות
8,84,ניר ישראל,19,1:07.728,22:18.589,2 הקפות
9,8,ג'וליאן נוביקוב,19,1:08.167,22:26.177,2 הקפות
10,25,עזיז שובאש,19,1:07.327,22:34.811,2 הקפות
11,101,רונן רודיק,18,1:13.040,22:35.050,3 הקפות
לא סיים - DNF
,45,עופר איתח,19,1:03.202,20:55.115,2 הקפות
,1,חיים זנדברג,19,1:04.470,20:55.820,2 הקפות
,21,אלי אלחסיד,11,1:05.378,12:18.694,10 הקפות
,44,יגאל חי,9,1:06.039,10:00.897,12 הקפות
הקפה מהירה: (82) נביל שפסו - 1:00.591

סופרספורט 300
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,25,מתן בן שאנן,17,1:06.844,19:09.934,-
2,63,ששי אליאס,17,1:05.042,19:10.686,0.752
3,17,חיים זנדברג,17,1:07.700,19:25.233,15.299
4,800,בר לוי,17,1:07.756,19:34.011,24.077
5,12,אביעד אברהמי,17,1:08.697,19:49.078,39.144
6,777,אלי כרמל,17,1:08.349,19:53.919,43.985
7,888,מולי לוי,17,1:08.478,19:57.410,47.476
8,89,קיריל בזנוסוב,17,1:09.206,20:02.132,52.198
9,43,תובל ארד,17,1:09.614,20:03.428,53.494
10,14,אליעד בן שטרית,17,1:09.642,20:05.526,55.592
11,22,אודי ברוך,16,1:10.001,19:18.204,1 הקפה
12,11,ניב מורן רבין,16,1:12.349,19:51.442,1 הקפה
13,93,בן ברנשטיין,16,1:12.775,19:59.702,1 הקפה
14,2,אסף חייבי,16,1:13.194,20:00.327,1 הקפה
15,80,שירה פרי,16,1:13.666,20:05.315,1 הקפה
16,8,ג'וליאן נוביקוב,16,1:12.367,20:06.599,1 הקפה
17,46,יוסף ביבר,16,1:13.036,20:11.368,1 הקפה
18,55,יניב חדד,16,1:14.705,20:16.025,1 הקפה
הקפה מהירה: (63) ששי אליאס - 1:05.042

גביע חובבים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,31,חן אביוב,17,1:04.992,18:40.696,-
2,33,עמית פוקס,17,1:07.080,19:20.075,39.379
3,369,יהודה מלצר,17,1:07.748,19:33.699,53.003
4,29,אמיר עבאס,17,1:06.810,19:34.369,53.673
5,18,גל בן דהן,16,1:09.039,18:44.861,1 הקפה
6,99,איציק איסוביץ,16,1:09.692,18:50.997,1 הקפה
7,50,אביה עמר,16,1:09.142,19:01.639,1 הקפה
8,5,מיכאל וולוב,16,1:09.455,19:02.002,1 הקפה
9,10,אלי באינסאי,16,1:09.507,19:02.182,1 הקפה
10,13,ליאון חפץ,15,1:12.332,18:42.862,2 הקפות
11,81,יונתן חמו,14,1:23.269,20:04.315,3 הקפות
הקפה מהירה: (31) חן אביוב - 1:04.992

© כל הזכויות שמורות לתנועה מדידת זמנים
