ליגת ISBK
מרוץ 1 עונת 2018 - שדה תימן - 31-08-2018

סופרבייק 1000
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,23,גיא הראל,25,59.054,25:48.526,-
2,73,אבי אלבז,25,1:00.405,25:49.040,0.514
3,79,גרגורי מישאילוב,25,1:00.582,26:04.746,16.220
4,59,חנוך חג'בי,24,1:04.585,26:27.369,1 הקפה
5,7,שון בן יקר,24,1:04.735,26:34.491,1 הקפה
לא סיים - DNF
6,77,ליאור אליה,6,1:01.457,6:12.323,19 הקפות
הקפה מהירה: (23) גיא הראל - 59.054

סופרספורט 600
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,95,אלי חן,25,1:00.249,25:39.164,-
2,1,חיים זנדברג,24,1:02.515,26:35.998,1 הקפה
3,101,רונן רודיק,24,1:05.202,26:41.128,1 הקפה
4,27,אור גבריאל,23,1:05.964,25:39.517,2 הקפות
לא סיים - DNF
5,93,אלעזר סלב,22,1:05.329,24:36.117,3 הקפות
6,55,נהוראי מדויל,18,1:07.032,20:52.351,7 הקפות
הקפה מהירה: (95) אלי חן - 1:00.249

© כל הזכויות שמורות לתנועה מדידת זמנים
