סופרמוטו
מרוץ 6 עונת 2018 - פצאל - 09-11-2018

S1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,696,לי ברדה,15,1:03.654,16:19.604,-
2,7,אביב גואטה,15,1:04.333,16:36.035,16.431
3,20,יובל שרון,15,1:06.440,17:15.958,56.354
4,17,אילן ברוורמן,14,1:08.331,16:21.644,1 הקפה
5,44,יוחאי חכם,14,1:07.287,16:22.325,1 הקפה
6,22,אריאל דדיה,14,1:08.393,16:33.334,1 הקפה
7,9,גיא יצחק לריאה,14,1:09.111,16:54.348,1 הקפה
הקפה מהירה: (696) לי ברדה - 1:03.654

S2
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,11,שחר יגל,12,1:10.796,14:49.369,-
2,100,רן יוחאי,12,1:12.038,14:49.370,0.001
3,14,אליאור אטיאס,12,1:12.589,14:56.430,7.061
4,36,רותם דמרי,12,1:14.134,15:15.004,25.635
5,37,לורן שייפר,12,1:11.314,15:26.841,37.472
6,25,רגב מויאל,12,1:14.667,15:32.317,42.948
7,17,אסף טננבאום,12,1:16.499,15:41.021,51.652
8,32,שי נוטלס,12,1:16.863,15:49.433,1:00.064
9,61,יוחנן רזניק,11,1:18.187,14:53.699,1 הקפה
10,72,טל זהבי,11,1:14.703,15:35.756,1 הקפה
11,725,מואמן מסארווה,9,1:34.651,15:05.558,3 הקפות
הקפה מהירה: (11) שחר יגל - 1:10.796

© כל הזכויות שמורות לתנועה מדידת זמנים
