ראלי רייד
מרוץ 2 עונת 2018 - חצרים - 14-12-2018

T1 - ספר דרך
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,פער
1,20,שי שמעוני,1:15:18.980,1:21:05.603,2:36:24.583,-
2,19,רז הימן,1:04:30.436,2:09:51.092,3:14:21.528,37:56.945
3,24,עובד ארזי,1:58:36.850,3:39:47.776,5:38:24.626,3:02:00.043

T3 - ספר דרך
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,פער
1,11,שלמה עיני,1:48:10.182,1:31:27.785,3:19:37.967,-
לא סיים - DNF
,12,דני פרל,-,-,-,2 הקפות

T3 - GPS
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,פער
1,17,אמיר אבו מוך,58:29.792,54:24.484,1:52:54.276,-
2,23,אלירן יפרח,56:32.936,57:59.283,1:54:32.219,1:37.943
3,16,נאור אשכנזי,59:32.753,58:21.363,1:57:54.116,4:59.840
4,41,שגיא נוי,1:04:19.805,59:30.469,2:03:50.274,10:55.998
5,15,רוני פישמן,1:01:35.724,1:02:26.206,2:04:01.930,11:07.654
6,18,רפי ברנס,1:14:00.344,1:01:42.274,2:15:42.618,22:48.342
7,14,גבי אבירג'יל,1:22:47.793,1:07:10.429,2:29:58.222,37:03.946

TT - GPS
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,פער
1,13,טל ויינברג,56:20.856,56:17.786,1:52:38.642,-
2,21,ירון כהן,1:25:58.151,1:02:19.319,2:28:17.470,35:38.828
3,22,דור חסון,2:35:05.222,59:01.443,3:34:06.665,1:41:28.023

OP3000 - ספר דרך
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,פער
לא סיים - DNF
,10,אילן פטורי,-,-,-,-

אופנועים - GPS
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,פער
1,65,נמרוד חמו,59:00.523,55:55.443,1:54:55.966,-
2,51,דן מיה,1:02:31.935,59:33.190,2:02:05.125,7:09.159
3,64,דרור כהן,1:03:24.093,59:02.402,2:02:26.495,7:30.529
4,57,ליאור שוורץ,1:13:41.940,1:14:30.624,2:28:12.564,33:16.598
5,52,איתמר מלכה,1:17:49.554,1:15:48.302,2:33:37.856,38:41.890
6,60,עמית שדות,1:17:59.219,1:30:57.058,2:48:56.277,54:00.311

אופנועים - ספר דרך
מקום,מספר,שם,הקפה 1,הקפה 2,זמן,פער
1,50,יעקב דדיה,2:02:09.098,1:46:48.208,3:48:57.306,-
2,54,ניב אהרוני,2:00:50.137,1:48:59.476,3:49:49.613,52.307
3,53,גדי נחמני,2:02:38.292,1:49:52.545,3:52:30.837,3:33.531
4,63,נפתלי דהן,2:13:17.012,1:39:13.993,3:52:31.005,3:33.699
5,71,ברק דודאי,2:03:34.412,1:50:45.588,3:54:20.000,5:22.694
6,59,נתן נאור,2:30:31.482,1:26:55.086,3:57:26.568,8:29.262
לא סיים - DNF
,55,רותם קוסטא,1:58:26.443,-,1:58:26.443,1 הקפה
,70,יעל מוזס,2:47:19.607,-,2:47:19.607,1 הקפה
,69,רן סיטון,2:47:51.264,-,2:47:51.264,1 הקפה
,66,מוש דקל,2:48:06.056,-,2:48:06.056,1 הקפה
,56,ניר בקאי,3:46:29.284,-,3:46:29.284,1 הקפה

© כל הזכויות שמורות לתנועה מדידת זמנים
