מוטוקרוס
מרוץ 1 עונת 2019 - אילת - 08-03-2019

מקצועית MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,47,סוף סלע,10,1:47.216,19:12.657,-
2,100,כריסטוס צגאראס,10,1:49.881,19:37.578,24.921
3,88,דן מיה,10,1:51.054,19:57.078,44.421
4,10,דור עטיה,10,1:51.832,19:58.023,45.366
5,27,עידו כרמון,10,1:54.405,20:17.092,1:04.435
6,22,גיא אליתים,10,1:53.857,20:32.432,1:19.775
7,8,נמרוד דור,10,1:55.527,20:42.403,1:29.746
8,69,מוטי אלקיים,9,2:00.992,20:01.787,1 הקפה
הקפה מהירה: (47) סוף סלע - 1:47.216

מקצועית MX1 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,47,סוף סלע,10,1:49.003,19:23.522,-
2,88,דן מיה,10,1:51.518,19:46.131,22.609
3,100,כריסטוס צגאראס,10,1:51.273,19:47.590,24.068
4,22,גיא אליתים,10,1:54.583,20:17.929,54.407
5,27,עידו כרמון,10,1:53.327,20:18.647,55.125
6,8,נמרוד דור,10,1:56.103,20:50.311,1:26.789
7,69,מוטי אלקיים,9,2:02.992,19:40.168,1 הקפה
8,10,דור עטיה,8,1:57.022,20:53.888,2 הקפות
הקפה מהירה: (47) סוף סלע - 1:49.003

מקצועית MX2 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,47,סוף סלע,10,1:47.420,19:03.737,-
2,33,גיל זרקו,10,1:51.872,19:55.102,51.365
3,100,אליקו אוחנה,10,1:51.478,20:00.820,57.083
4,51,גיא דוברובסקי,10,1:52.399,20:02.558,58.821
5,146,רוני רגף,10,1:51.694,20:04.414,1:00.677
6,312,עילי מיכאלי,10,1:53.752,20:22.964,1:19.227
7,22,אריאל דדיה,10,1:52.983,20:26.891,1:23.154
8,108,שי ספקטור,10,1:54.192,20:29.087,1:25.350
9,36,בן חביב,10,1:55.990,20:49.423,1:45.686
10,241,אופיר ואזה,10,1:54.365,20:52.107,1:48.370
11,7,שי מנצור,10,1:55.238,20:54.931,1:51.194
12,327,הראל מלמן,10,1:55.103,21:06.958,2:03.221
13,17,הראל הימן,9,1:53.925,19:43.355,1 הקפה
14,23,ולדמן איתמר,9,1:59.799,19:56.512,1 הקפה
15,54,בר אברגיל,9,2:05.056,20:53.681,1 הקפה
הקפה מהירה: (47) סוף סלע - 1:47.420

מקצועית MX2 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,47,סוף סלע,10,1:48.907,19:33.798,-
