Migdal Epic Israel -Prologue
Overall
Overall Position,Category Position,No.,Category,finish status,start status,Name,Nationality,Team,UCI,UCI ID,Gender,Rider Time,Time,Gap
1,1,1-1,Men,Leader,,Georg Egger,GER,LEXWARE Mountainbike Team 1,yes,10008131109,M,37:08.5,37:09.2,
1,1,1-2,Men,Leader,,Max Brandl,GER,LEXWARE Mountainbike Team 1,yes,10009586513,M,37:09.2,37:09.2,
2,2,9-1,Men,Finished,,Luca Schwarzbauer,GER,Lexware Mountainbike Team 2,yes,10008816674,M,38:14.5,38:15.3,1:06.1
2,2,9-2,Men,Finished,,David List,GER,Lexware Mountainbike Team 2,yes,10011197420,M,38:15.3,38:15.3,1:06.1
3,3,7-1,Men,Finished,,Martin Gluth,GER,Superior XC Team (SXC),yes,10006336306,M,38:53.5,38:54.2,1:45.0
3,3,7-2,Men,Finished,,Fabian Giger,SUI,Superior XC Team (SXC),yes,10003691034,M,38:54.2,38:54.2,1:45.0
4,4,4-1,Men,Finished,,Markus Schulte- Lunzum,GER,BIKE WAY RACING (BWR),yes,10006447753,M,39:07.2,39:07.2,1:58.0
4,4,4-2,Men,Finished,,Simon Vitzthum,SUI,BIKE WAY RACING (BWR),yes,10008132826,M,39:06.5,39:07.2,1:58.0
5,5,3-1,Men,Finished,,Andrew L'Esperance,CAN,Norco Factory Team (NFT),yes,10006832824,M,39:15.5,39:15.5,2:06.3
5,5,3-2,Men,Finished,,Peter Disera,CAN,Norco Factory Team (NFT),yes,10008178393,M,39:15.4,39:15.5,2:06.3
6,6,24-1,Men,Finished,,Maximilian Foidl,AUT,Austrian Cycling Team 2 (AUT),yes,10008079979,M,39:15.8,39:16.5,2:07.3
6,6,24-2,Men,Finished,,Manuel Pliem,AUT,Austrian Cycling Team 2 (AUT),yes,10007139180,M,39:16.5,39:16.5,2:07.3
7,7,2-1,Men,Finished,,Karl Markt,AUT,Team Austria 1 (AUT),yes,10003917366,M,39:21.5,39:22.2,2:13.0
7,7,2-2,Men,Finished,,Gregor Raggl,AUT,Team Austria 1 (AUT),yes,10006801906,M,39:22.2,39:22.2,2:13.0
8,8,30-1,Men,Finished,,Jens Schuermans,BEL,Scott Creuse Oxygene Guéret (SCO),yes,10007338133,M,39:32.5,39:32.5,2:23.3
8,8,30-2,Men,Finished,,Max Loret,FRA,Scott Creuse Oxygene Guéret (SCO),yes,10008815462,M,39:31.5,39:32.5,2:23.3
9,9,10-1,Men,Finished,,Gioele De Cosmo,ITA,Team Trek- Selle San Marco Tonello,yes,10009823858,M,39:51.8,39:51.8,2:42.6
9,9,10-2,Men,Finished,,Damiano Ferraro,ITA,Team Trek- Selle San Marco Tonello,yes,10007719665,M,39:51.2,39:51.8,2:42.6
10,10,28-1,Men,Finished,,Keegan Swenson,USA,US National Team (USA),yes,10007709157,M,39:56.3,39:56.8,2:47.6
10,10,28-2,Men,Finished,,Russell Finsterwald,USA,US National Team (USA),yes,10006834844,M,39:56.8,39:56.8,2:47.6
11,11,23-1,Men,Finished,,Basil Allard,FRA,PROFERMETURES-VELOROC (CPF),yes,10011138816,M,40:10.3,40:10.8,3:01.6
11,11,23-2,Men,Finished,,Antoine Philipp,FRA,PROFERMETURES-VELOROC (CPF),yes,10009545285,M,40:10.8,40:10.8,3:01.6
12,12,26-1,Men,Finished,,Loan Cheneval,FRA,TEAM VCA ANJOS / TEAM ACC (ANJ),yes,10027783511,M,40:36.5,40:37.3,3:28.1
12,12,26-2,Men,Finished,,Lucas Lesion,FRA,TEAM VCA ANJOS / TEAM ACC (ANJ),yes,10014193912,M,40:37.3,40:37.3,3:28.1
13,13,12-1,Men,Finished,,Dmytro Titarenko,UKR,Ukraina national team 2 (UKR),yes,10006764722,M,40:42.5,40:42.8,3:33.6
