Migdal Epic Israel - Prologue
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Time,Gap
Leader,1,1,1-1,Georg Egger,GER,yes,10008131109,M,LEXWARE Mountainbike Team 1,Men,37:09.2,37:09.2,-
Leader,1,1,1-2,Max Brandl,GER,yes,10009586513,M,LEXWARE Mountainbike Team 1,Men,37:09.2,37:09.2,-
Finished,2,2,9-1,Luca Schwarzbauer,GER,yes,10008816674,M,Lexware Mountainbike Team 2,Men,38:15.3,38:15.3,+1:06.1
Finished,2,2,9-2,David List,GER,yes,10011197420,M,Lexware Mountainbike Team 2,Men,38:15.3,38:15.3,+1:06.1
Finished,3,3,7-1,Martin Gluth,GER,yes,10006336306,M,Superior XC Team (SXC),Men,38:54.2,38:54.2,+1:45.0
Finished,3,3,7-2,Fabian Giger,SUI,yes,10003691034,M,Superior XC Team (SXC),Men,38:54.2,38:54.2,+1:45.0
Finished,4,4,4-1,Markus Schulte- Lunzum,GER,yes,10006447753,M,BIKE WAY RACING (BWR),Men,39:07.2,39:07.2,+1:58.0
Finished,4,4,4-2,Simon Vitzthum,SUI,yes,10008132826,M,BIKE WAY RACING (BWR),Men,39:07.2,39:07.2,+1:58.0
Finished,5,5,3-1,Andrew L'Esperance,CAN,yes,10006832824,M,Norco Factory Team (NFT),Men,39:15.5,39:15.5,+2:06.3
Finished,5,5,3-2,Peter Disera,CAN,yes,10008178393,M,Norco Factory Team (NFT),Men,39:15.5,39:15.5,+2:06.3
Finished,6,6,24-1,Maximilian Foidl,AUT,yes,10008079979,M,Austrian Cycling Team 2 (AUT),Men,39:16.5,39:16.5,+2:07.3
Finished,6,6,24-2,Manuel Pliem,AUT,yes,10007139180,M,Austrian Cycling Team 2 (AUT),Men,39:16.5,39:16.5,+2:07.3
Finished,7,7,2-1,Karl Markt,AUT,yes,10003917366,M,Team Austria 1 (AUT),Men,39:22.2,39:22.2,+2:13.0
Finished,7,7,2-2,Gregor Raggl,AUT,yes,10006801906,M,Team Austria 1 (AUT),Men,39:22.2,39:22.2,+2:13.0
Finished,8,8,30-1,Jens Schuermans,BEL,yes,10007338133,M,Scott Creuse Oxygene Guéret (SCO),Men,39:32.5,39:32.5,+2:23.3
Finished,8,8,30-2,Max Loret,FRA,yes,10008815462,M,Scott Creuse Oxygene Guéret (SCO),Men,39:32.5,39:32.5,+2:23.3
Finished,9,9,10-1,Gioele De Cosmo,ITA,yes,10009823858,M,Team Trek- Selle San Marco Tonello,Men,39:51.8,39:51.8,+2:42.6
Finished,9,9,10-2,Damiano Ferraro,ITA,yes,10007719665,M,Team Trek- Selle San Marco Tonello,Men,39:51.8,39:51.8,+2:42.6
Finished,10,10,28-1,Keegan Swenson,USA,yes,10007709157,M,US National Team (USA),Men,39:56.8,39:56.8,+2:47.6
Finished,10,10,28-2,Russell Finsterwald,USA,yes,10006834844,M,US National Team (USA),Men,39:56.8,39:56.8,+2:47.6
Finished,11,11,23-1,Basil Allard,FRA,yes,10011138816,M,PROFERMETURES-VELOROC (CPF),Men,40:10.8,40:10.8,+3:01.6
Finished,11,11,23-2,Antoine Philipp,FRA,yes,10009545285,M,PROFERMETURES-VELOROC (CPF),Men,40:10.8,40:10.8,+3:01.6
Finished,12,12,26-1,Loan Cheneval,FRA,yes,10027783511,M,TEAM VCA ANJOS / TEAM ACC (ANJ),Men,40:37.3,40:37.3,+3:28.1
Finished,12,12,26-2,Lucas Lesion,FRA,yes,10014193912,M,TEAM VCA ANJOS / TEAM ACC (ANJ),Men,40:37.3,40:37.3,+3:28.1
Finished,13,13,12-1,Dmytro Titarenko,UKR,yes,10006764722,M,Ukraina national team 2 (UKR),Men,40:42.8,40:42.8,+3:33.6
Finished,13,13,12-2,Volodymyr Kolzlovsky,UKR,yes,10009839420,M,Ukraina national team 2 (UKR),Men,40:42.8,40:42.8,+3:33.6
Finished,14,14,13-1,Fabian Costa,AUT,yes,10007702689,M,KTM Racing Team Haiming,Men,40:45.3,40:45.3,+3:36.1
Finished,14,14,13-2,Emanuel Zangerle,AUT,yes,10035126411,M,KTM Racing Team Haiming,Men,40:45.3,40:45.3,+3:36.1
Finished,15,15,8-1,Tomer Zaltsman,ISR,yes,10011012615,M,T & N (TMM),Men,41:00.3,41:00.3,+3:51.1
Finished,15,15,8-2,Nick Burki,SUI,yes,10010129612,M,T & N (TMM),Men,41:00.3,41:00.3,+3:51.1
Finished,16,16,14-1,Daniel Gathof,GER,yes,10003683051,M,DG connection,Men,41:04.5,41:04.5,+3:55.3
Finished,16,16,14-2,Caleb Kieninger,GER,yes,10080283850,M,DG connection,Men,41:04.5,41:04.5,+3:55.3
Finished,17,17,5-1,Shlomi Haimy,ISR,yes,10005815738,M,BIKE WAY RACING (BWR),Men,41:16.6,41:16.6,+4:07.4
Finished,17,17,5-2,Guy Sessler,ISR,yes,10008822031,M,BIKE WAY RACING (BWR),Men,41:16.6,41:16.6,+4:07.4
Finished,18,18,6-1,Andras Parti,HUN,yes,10004031140,M,Hungarian National Team (HUN),Men,41:18.3,41:18.3,+4:09.1
Finished,18,18,6-2,Zsombor Palumby,HUN,yes,10008821223,M,Hungarian National Team (HUN),Men,41:18.3,41:18.3,+4:09.1
Finished,19,19,20-1,Ranker Niclas,GER,yes,10016246571,M,Team Wheelsports-Beinarbeit,Men,41:38.5,41:38.5,+4:29.3
Finished,19,19,20-2,Paul Hauser,GER,yes,10036189973,M,Team Wheelsports-Beinarbeit,Men,41:38.5,41:38.5,+4:29.3
Finished,20,20,15-1,Milan Damek,CZE,yes,10006908202,M,KILPI Superior,Men,42:06.5,42:06.5,+4:57.3
Finished,20,20,15-2,Jan Jobanek,CZE,yes,10002995563,M,KILPI Superior,Men,42:06.5,42:06.5,+4:57.3
