Migdal Epic Israel -Stage 1
Overall
Overall Position,Category Position,No.,Category,finish status,start status,Name,Nationality,Team,UCI,UCI ID,Gender,Rider Time,Time,Gap
1,1,1-1,Men,Leader,Leaderl,Georg Egger,GER,LEXWARE Mountainbike Team 1,yes,10008131109,M,3:52:47,3:52:47,
1,1,1-2,Men,Leader,Leaderl,Max Brandl,GER,LEXWARE Mountainbike Team 1,yes,10009586513,M,3:52:47,3:52:47,
2,2,2-1,Men,Finished,,Karl Markt,AUT,Team Austria 1 (AUT),yes,10003917366,M,3:52:58,3:52:59,0:12
2,2,2-2,Men,Finished,,Gregor Raggl,AUT,Team Austria 1 (AUT),yes,10006801906,M,3:52:59,3:52:59,0:12
3,3,28-1,Men,Finished,,Keegan Swenson,USA,US National Team (USA),yes,10007709157,M,3:53:01,3:53:01,0:14
3,3,28-2,Men,Finished,,Russell Finsterwald,USA,US National Team (USA),yes,10006834844,M,3:52:59,3:53:01,0:14
4,4,7-1,Men,Finished,,Martin Gluth,GER,Superior XC Team (SXC),yes,10006336306,M,3:55:43,3:55:43,2:56
4,4,7-2,Men,Finished,,Fabian Giger,SUI,Superior XC Team (SXC),yes,10003691034,M,3:55:43,3:55:43,2:56
5,5,23-1,Men,Finished,,Basil Allard,FRA,PROFERMETURES-VELOROC (CPF),yes,10011138816,M,3:57:04,3:57:04,4:17
5,5,23-2,Men,Finished,,Antoine Philipp,FRA,PROFERMETURES-VELOROC (CPF),yes,10009545285,M,3:57:04,3:57:04,4:17
6,6,9-1,Men,Finished,,Luca Schwarzbauer,GER,Lexware Mountainbike Team 2,yes,10008816674,M,3:57:14,3:57:14,4:27
6,6,9-2,Men,Finished,,David List,GER,Lexware Mountainbike Team 2,yes,10011197420,M,3:57:14,3:57:14,4:27
7,7,24-1,Men,Finished,,Maximilian Foidl,AUT,Austrian Cycling Team 2 (AUT),yes,10008079979,M,4:01:26,4:01:26,8:39
