Migdal Epic Israel - Stage 1
GC
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Time,Gap
Leader,1,1,1-1,Georg Egger,GER,yes,10008131109,M,LEXWARE Mountainbike Team 1,Men,37:09.2,3:52:47.0,4:29:56.2,-
Leader,1,1,1-2,Max Brandl,GER,yes,10009586513,M,LEXWARE Mountainbike Team 1,Men,37:09.2,3:52:47.0,4:29:56.2,-
Finished,2,2,2-1,Karl Markt,AUT,yes,10003917366,M,Team Austria 1 (AUT),Men,39:22.2,3:52:59.0,4:32:21.2,+2:25.0
Finished,2,2,2-2,Gregor Raggl,AUT,yes,10006801906,M,Team Austria 1 (AUT),Men,39:22.2,3:52:59.0,4:32:21.2,+2:25.0
Finished,3,3,28-1,Keegan Swenson,USA,yes,10007709157,M,US National Team (USA),Men,39:56.8,3:53:01.0,4:32:57.8,+3:01.6
Finished,3,3,28-2,Russell Finsterwald,USA,yes,10006834844,M,US National Team (USA),Men,39:56.8,3:53:01.0,4:32:57.8,+3:01.6
Finished,4,4,7-1,Martin Gluth,GER,yes,10006336306,M,Superior XC Team (SXC),Men,38:54.2,3:55:43.0,4:34:37.2,+4:41.0
Finished,4,4,7-2,Fabian Giger,SUI,yes,10003691034,M,Superior XC Team (SXC),Men,38:54.2,3:55:43.0,4:34:37.2,+4:41.0
Finished,5,5,9-1,Luca Schwarzbauer,GER,yes,10008816674,M,Lexware Mountainbike Team 2,Men,38:15.3,3:57:14.0,4:35:29.3,+5:33.1
Finished,5,5,9-2,David List,GER,yes,10011197420,M,Lexware Mountainbike Team 2,Men,38:15.3,3:57:14.0,4:35:29.3,+5:33.1
Finished,6,6,23-1,Basil Allard,FRA,yes,10011138816,M,PROFERMETURES-VELOROC (CPF),Men,40:10.8,3:57:04.0,4:37:14.8,+7:18.6
Finished,6,6,23-2,Antoine Philipp,FRA,yes,10009545285,M,PROFERMETURES-VELOROC (CPF),Men,40:10.8,3:57:04.0,4:37:14.8,+7:18.6
Finished,7,7,24-1,Maximilian Foidl,AUT,yes,10008079979,M,Austrian Cycling Team 2 (AUT),Men,39:16.5,4:01:26.0,4:40:42.5,+10:46.3
