Friday Long Grand
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
DNS,681,Reuven Kaplan,Ilan Shimoni,,,,
DNS,682,Ober Avishai,Amir Yosi,,,,
Friday Long Masters
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,668,Niv Cal,Assaf Porat,5:35:26,5:35:26,5:35:26,
2,676,Nir Gilon,Assaf Erez,5:43:45,5:43:45,5:43:45,8:19
3,665,Gilad Angel,Tomer Cohen,5:50:56,5:50:56,5:50:56,15:30
4,675,Erez Hayon,Israel Eybi,6:34:56,6:34:56,6:34:56,59:30
5,667,Aidan Shribman,Boris Belkin,6:41:48,6:41:48,6:41:48,1:06:22
6,670,Ahigal Carmeli,Tomer Fridman,7:02:09,7:02:11,7:02:11,1:26:45
7,664,Kobi Netanel,David Komemi,7:30:00,7:30:08,7:30:08,1:54:42
8,673,Itay Peri,Jonathan Hulaty,7:44:30,7:44:30,7:44:30,2:09:04
9,674,Hagai Bentolila,Yossef Idan,8:40:31,8:40:31,8:40:31,3:05:05
10,671,Benny Shwartz,Sefi Arbuz,8:46:13,8:46:11,8:46:13,3:10:47
11,669,Ron Raviv,Ofer Wolff,9:28:36,9:28:36,9:28:36,3:53:10
IF1,663,Yaron Weinberg,Zohar Helfenboum,6:55:54,,6:55:54,
IF2,672,Yair Shaked,Yuval Levi,,5:42:21,5:42:21,
DNF,661,Avi Tspahon,Shafea Jabarin,,,,
DNS,666,Loren Shirel,Yossef Lifshitz,,,,
Friday Long Men
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,606,Hen Gruman,Eyal Rosenberg,5:20:44,5:20:44,5:20:44,
2,607,Ziv Zehavi,Asaf Edri,5:23:21,5:23:20,5:23:21,2:37
3,602,Assaf Sahaked,Mor Meshulam,5:42:41,5:42:41,5:42:41,21:57
4,605,Anan Saif,Rami Besan,5:47:15,5:47:13,5:47:15,26:31
5,608,Slmn Nabwani,Moneer Ammar,5:57:21,5:57:52,5:57:52,37:08
6,604,Gabi Paz,Dima Berson,6:23:01,6:23:02,6:23:02,1:02:18
7,603,Dvir Assa,Nir Zalmanovich,7:21:58,7:21:56,7:21:58,2:01:14
IF1,601,Moshik Cohen,Tom Degani,6:26:11,,6:26:11,
Friday Long Mixed
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,642,Ola Ludmer,Ben Lotan,6:31:37,6:31:40,6:31:40,
DNS,643,Amy Stanfield,Yohanan Stanfield,,,,
DNS,641,Sigi Tamir,Meir Ben David,,,,
Friday Long Women
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,622,Lisa Kolodny,Dina Gabai,8:17:37,8:17:39,8:17:39,
IF1,623,Shahar Waserman,Roni Pisso,9:28:05,,9:28:05,
DNS,621,Tanya Pomson,Adi Eyal,,,,
