Migdal Epic Israel - Stage 2
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Time,Gap
Leader,1,1,1-1,Georg Egger,GER,yes,10008131109,M,LEXWARE Mountainbike Team 1,Men,37:09.2,3:52:47.0,3:33:54.0,8:03:50.2,-
Leader,1,1,1-2,Max Brandl,GER,yes,10009586513,M,LEXWARE Mountainbike Team 1,Men,37:09.2,3:52:47.0,3:33:54.0,8:03:50.2,-
Finished,2,2,2-1,Karl Markt,AUT,yes,10003917366,M,Team Austria 1 (AUT),Men,39:22.2,3:52:59.0,3:38:02.0,8:10:23.2,+6:33.0
Finished,2,2,2-2,Gregor Raggl,AUT,yes,10006801906,M,Team Austria 1 (AUT),Men,39:22.2,3:52:59.0,3:38:02.0,8:10:23.2,+6:33.0
Finished,3,3,23-1,Basil Allard,FRA,yes,10011138816,M,PROFERMETURES-VELOROC (CPF),Men,40:10.8,3:57:04.0,3:38:38.0,8:15:52.8,+12:02.6
Finished,3,3,23-2,Antoine Philipp,FRA,yes,10009545285,M,PROFERMETURES-VELOROC (CPF),Men,40:10.8,3:57:04.0,3:38:38.0,8:15:52.8,+12:02.6
Finished,4,4,28-1,Keegan Swenson,USA,yes,10007709157,M,US National Team (USA),Men,39:56.8,3:53:01.0,3:44:19.0,8:17:16.8,+13:26.6
Finished,4,4,28-2,Russell Finsterwald,USA,yes,10006834844,M,US National Team (USA),Men,39:56.8,3:53:01.0,3:44:19.0,8:17:16.8,+13:26.6
Finished,5,5,3-1,Andrew L'Esperance,CAN,yes,10006832824,M,Norco Factory Team (NFT),Men,39:15.5,4:03:57.0,3:34:46.0,8:17:58.5,+14:08.3
Finished,5,5,3-2,Peter Disera,CAN,yes,10008178393,M,Norco Factory Team (NFT),Men,39:15.5,4:03:57.0,3:34:46.0,8:17:58.5,+14:08.3
Finished,6,6,24-1,Maximilian Foidl,AUT,yes,10008079979,M,Austrian Cycling Team 2 (AUT),Men,39:16.5,4:01:26.0,3:38:04.0,8:18:46.5,+14:56.3
Finished,6,6,24-2,Manuel Pliem,AUT,yes,10007139180,M,Austrian Cycling Team 2 (AUT),Men,39:16.5,4:01:26.0,3:38:04.0,8:18:46.5,+14:56.3
Finished,7,7,7-1,Martin Gluth,GER,yes,10006336306,M,Superior XC Team (SXC),Men,38:54.2,3:55:43.0,3:44:16.0,8:18:53.2,+15:03.0
Finished,7,7,7-2,Fabian Giger,SUI,yes,10003691034,M,Superior XC Team (SXC),Men,38:54.2,3:55:43.0,3:44:16.0,8:18:53.2,+15:03.0
Finished,8,8,10-1,Gioele De Cosmo,ITA,yes,10009823858,M,Team Trek- Selle San Marco Tonello,Men,39:51.8,4:06:00.0,3:44:33.0,8:30:24.8,+26:34.6
Finished,8,8,10-2,Damiano Ferraro,ITA,yes,10007719665,M,Team Trek- Selle San Marco Tonello,Men,39:51.8,4:06:00.0,3:44:33.0,8:30:24.8,+26:34.6
Finished,9,9,9-1,Luca Schwarzbauer,GER,yes,10008816674,M,Lexware Mountainbike Team 2,Men,38:15.3,3:57:14.0,3:58:17.0,8:33:46.3,+29:56.1
