Migdal Epic Israel -Stage 2
Overall
Overall Position,Category Position,No.,Category,finish status,start status,Name,Nationality,Team,UCI,UCI ID,Gender,Rider Time,Time,Gap
1,1,1-1,Men,Leader,Leaderl,Georg Egger,GER,LEXWARE Mountainbike Team 1,yes,10008131109,M,3:33:54,3:33:54,
1,1,1-2,Men,Leader,Leaderl,Max Brandl,GER,LEXWARE Mountainbike Team 1,yes,10009586513,M,3:33:54,3:33:54,
2,2,3-1,Men,Finished,,Andrew L'Esperance,CAN,Norco Factory Team (NFT),yes,10006832824,M,3:34:46,3:34:46,0:52
2,2,3-2,Men,Finished,,Peter Disera,CAN,Norco Factory Team (NFT),yes,10008178393,M,3:34:45,3:34:46,0:52
3,3,2-1,Men,Finished,,Karl Markt,AUT,Team Austria 1 (AUT),yes,10003917366,M,3:38:02,3:38:02,4:08
3,3,2-2,Men,Finished,,Gregor Raggl,AUT,Team Austria 1 (AUT),yes,10006801906,M,3:38:02,3:38:02,4:08
4,4,24-1,Men,Finished,,Maximilian Foidl,AUT,Austrian Cycling Team 2 (AUT),yes,10008079979,M,3:38:04,3:38:04,4:10
4,4,24-2,Men,Finished,,Manuel Pliem,AUT,Austrian Cycling Team 2 (AUT),yes,10007139180,M,3:38:03,3:38:04,4:10
5,5,23-1,Men,Finished,,Basil Allard,FRA,PROFERMETURES-VELOROC (CPF),yes,10011138816,M,3:38:37,3:38:38,4:44
5,5,23-2,Men,Finished,,Antoine Philipp,FRA,PROFERMETURES-VELOROC (CPF),yes,10009545285,M,3:38:38,3:38:38,4:44
6,6,7-1,Men,Finished,,Martin Gluth,GER,Superior XC Team (SXC),yes,10006336306,M,3:44:15,3:44:16,10:22
6,6,7-2,Men,Finished,,Fabian Giger,SUI,Superior XC Team (SXC),yes,10003691034,M,3:44:16,3:44:16,10:22
7,7,4-1,Men,Finished,,Markus Schulte- Lunzum,GER,BIKE WAY RACING (BWR),yes,10006447753,M,3:44:17,3:44:17,10:23
7,7,4-2,Men,Finished,,Simon Vitzthum,SUI,BIKE WAY RACING (BWR),yes,10008132826,M,3:44:17,3:44:17,10:23
8,8,28-1,Men,Finished,,Keegan Swenson,USA,US National Team (USA),yes,10007709157,M,3:44:18,3:44:19,10:25
8,8,28-2,Men,Finished,,Russell Finsterwald,USA,US National Team (USA),yes,10006834844,M,3:44:19,3:44:19,10:25
9,9,10-1,Men,Finished,,Gioele De Cosmo,ITA,Team Trek- Selle San Marco Tonello,yes,10009823858,M,3:44:33,3:44:33,10:39
9,9,10-2,Men,Finished,,Damiano Ferraro,ITA,Team Trek- Selle San Marco Tonello,yes,10007719665,M,3:44:33,3:44:33,10:39
10,10,8-1,Men,Finished,,Tomer Zaltsman,ISR,T & N (TMM),yes,10011012615,M,3:45:35,3:45:35,11:41
10,10,8-2,Men,Finished,,Nick Burki,SUI,T & N (TMM),yes,10010129612,M,3:45:35,3:45:35,11:41
11,11,29-1,Men,Finished,,Daniel McConnell,AUS,Primaflor Mondraker Rotor (PMR),yes,10075237628,M,3:45:44,3:45:44,11:50
