Migdal Epic Israel - Stage 3
GC
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Stage 3,Time,Gap
Leader,1,1,1-1,Georg Egger,GER,yes,10008131109,M,LEXWARE Mountainbike Team 1,Men,37:09.2,3:52:47.0,3:33:54.0,2:34:31.0,10:38:21.2,-
Leader,1,1,1-2,Max Brandl,GER,yes,10009586513,M,LEXWARE Mountainbike Team 1,Men,37:09.2,3:52:47.0,3:33:54.0,2:34:31.0,10:38:21.2,-
Finished,2,2,2-1,Karl Markt,AUT,yes,10003917366,M,Team Austria 1 (AUT),Men,39:22.2,3:52:59.0,3:38:02.0,2:35:08.0,10:45:31.2,+7:10.0
Finished,2,2,2-2,Gregor Raggl,AUT,yes,10006801906,M,Team Austria 1 (AUT),Men,39:22.2,3:52:59.0,3:38:02.0,2:35:08.0,10:45:31.2,+7:10.0
Finished,3,3,3-1,Andrew L'Esperance,CAN,yes,10006832824,M,Norco Factory Team (NFT),Men,39:15.5,4:03:57.0,3:34:46.0,2:33:01.0,10:50:59.5,+12:38.3
Finished,3,3,3-2,Peter Disera,CAN,yes,10008178393,M,Norco Factory Team (NFT),Men,39:15.5,4:03:57.0,3:34:46.0,2:33:01.0,10:50:59.5,+12:38.3
Finished,4,4,23-1,Basil Allard,FRA,yes,10011138816,M,PROFERMETURES-VELOROC (CPF),Men,40:10.8,3:57:04.0,3:38:38.0,2:35:31.0,10:51:23.8,+13:02.6
Finished,4,4,23-2,Antoine Philipp,FRA,yes,10009545285,M,PROFERMETURES-VELOROC (CPF),Men,40:10.8,3:57:04.0,3:38:38.0,2:35:31.0,10:51:23.8,+13:02.6
Finished,5,5,24-1,Maximilian Foidl,AUT,yes,10008079979,M,Austrian Cycling Team 2 (AUT),Men,39:16.5,4:01:26.0,3:38:04.0,2:37:16.0,10:56:02.5,+17:41.3
Finished,5,5,24-2,Manuel Pliem,AUT,yes,10007139180,M,Austrian Cycling Team 2 (AUT),Men,39:16.5,4:01:26.0,3:38:04.0,2:37:16.0,10:56:02.5,+17:41.3
Finished,6,6,28-1,Keegan Swenson,USA,yes,10007709157,M,US National Team (USA),Men,39:56.8,3:53:01.0,3:44:19.0,2:39:52.0,10:57:08.8,+18:47.6
Finished,6,6,28-2,Russell Finsterwald,USA,yes,10006834844,M,US National Team (USA),Men,39:56.8,3:53:01.0,3:44:19.0,2:39:52.0,10:57:08.8,+18:47.6
Finished,7,7,7-1,Martin Gluth,GER,yes,10006336306,M,Superior XC Team (SXC),Men,38:54.2,3:55:43.0,3:44:16.0,2:42:47.0,11:01:40.2,+23:19.0
Finished,7,7,7-2,Fabian Giger,SUI,yes,10003691034,M,Superior XC Team (SXC),Men,38:54.2,3:55:43.0,3:44:16.0,2:42:47.0,11:01:40.2,+23:19.0
Finished,8,8,10-1,Gioele De Cosmo,ITA,yes,10009823858,M,Team Trek- Selle San Marco Tonello,Men,39:51.8,4:06:00.0,3:44:33.0,2:39:05.0,11:09:29.8,+31:08.6
Finished,8,8,10-2,Damiano Ferraro,ITA,yes,10007719665,M,Team Trek- Selle San Marco Tonello,Men,39:51.8,4:06:00.0,3:44:33.0,2:39:05.0,11:09:29.8,+31:08.6
Finished,9,9,9-1,Luca Schwarzbauer,GER,yes,10008816674,M,Lexware Mountainbike Team 2,Men,38:15.3,3:57:14.0,3:58:17.0,2:37:18.0,11:11:04.3,+32:43.1
Finished,9,9,9-2,David List,GER,yes,10011197420,M,Lexware Mountainbike Team 2,Men,38:15.3,3:57:14.0,3:58:17.0,2:37:18.0,11:11:04.3,+32:43.1
Finished,10,10,12-1,Dmytro Titarenko,UKR,yes,10006764722,M,Ukraina national team 2 (UKR),Men,40:42.8,4:02:15.0,3:51:46.0,2:42:14.0,11:16:57.8,+38:36.6
Finished,10,10,12-2,Volodymyr Kolzlovsky,UKR,yes,10009839420,M,Ukraina national team 2 (UKR),Men,40:42.8,4:02:15.0,3:51:46.0,2:42:14.0,11:16:57.8,+38:36.6
Finished,11,11,4-1,Markus Schulte- Lunzum,GER,yes,10006447753,M,BIKE WAY RACING (BWR),Men,39:07.2,4:17:02.0,3:44:17.0,2:45:12.0,11:25:38.2,+47:17.0
Finished,11,11,4-2,Simon Vitzthum,SUI,yes,10008132826,M,BIKE WAY RACING (BWR),Men,39:07.2,4:17:02.0,3:44:17.0,2:45:12.0,11:25:38.2,+47:17.0
Finished,12,12,5-1,Shlomi Haimy,ISR,yes,10005815738,M,BIKE WAY RACING (BWR),Men,41:16.6,4:10:05.0,3:53:51.0,2:44:22.0,11:29:34.6,+51:13.4
Finished,12,12,5-2,Guy Sessler,ISR,yes,10008822031,M,BIKE WAY RACING (BWR),Men,41:16.6,4:10:05.0,3:53:51.0,2:44:22.0,11:29:34.6,+51:13.4
Finished,13,13,13-1,Fabian Costa,AUT,yes,10007702689,M,KTM Racing Team Haiming,Men,40:45.3,4:07:15.0,3:54:40.0,2:47:14.0,11:29:54.3,+51:33.1
Finished,13,13,13-2,Emanuel Zangerle,AUT,yes,10035126411,M,KTM Racing Team Haiming,Men,40:45.3,4:07:15.0,3:54:40.0,2:47:14.0,11:29:54.3,+51:33.1
Finished,14,14,8-1,Tomer Zaltsman,ISR,yes,10011012615,M,T & N (TMM),Men,41:00.3,4:28:17.0,3:45:35.0,2:37:14.0,11:32:06.3,+53:45.1
Finished,14,14,8-2,Nick Burki,SUI,yes,10010129612,M,T & N (TMM),Men,41:00.3,4:28:17.0,3:45:35.0,2:37:14.0,11:32:06.3,+53:45.1
Finished,15,15,31-1,Eitan Levi,ISR,yes,10056549465,M,TNT SIGMA,Men,42:29.5,4:09:27.0,4:01:41.0,2:44:17.0,11:37:54.5,+59:33.3
Finished,15,15,31-2,Eliad Daniel,ISR,yes,10085167802,M,TNT SIGMA,Men,42:29.5,4:09:27.0,4:01:41.0,2:44:17.0,11:37:54.5,+59:33.3
Finished,16,16,30-1,Jens Schuermans,BEL,yes,10007338133,M,Scott Creuse Oxygene Guéret (SCO),Men,39:32.5,4:15:06.0,3:56:42.0,2:47:47.0,11:39:07.5,+1:00:46.3
Finished,16,16,30-2,Max Loret,FRA,yes,10008815462,M,Scott Creuse Oxygene Guéret (SCO),Men,39:32.5,4:15:06.0,3:56:42.0,2:47:47.0,11:39:07.5,+1:00:46.3
Finished,17,17,26-1,Loan Cheneval,FRA,yes,10027783511,M,TEAM VCA ANJOS / TEAM ACC (ANJ),Men,40:37.3,4:15:21.0,3:58:19.0,2:45:16.0,11:39:33.3,+1:01:12.1
Finished,17,17,26-2,Lucas Lesion,FRA,yes,10014193912,M,TEAM VCA ANJOS / TEAM ACC (ANJ),Men,40:37.3,4:15:21.0,3:58:19.0,2:45:16.0,11:39:33.3,+1:01:12.1
Finished,18,18,15-1,Milan Damek,CZE,yes,10006908202,M,KILPI Superior,Men,42:06.5,4:17:20.0,3:54:39.0,2:46:44.0,11:40:49.5,+1:02:28.3
Finished,18,18,15-2,Jan Jobanek,CZE,yes,10002995563,M,KILPI Superior,Men,42:06.5,4:17:20.0,3:54:39.0,2:46:44.0,11:40:49.5,+1:02:28.3
Finished,19,19,14-1,Daniel Gathof,GER,yes,10003683051,M,DG connection,Men,41:04.5,4:31:38.0,3:45:45.0,2:44:25.0,11:42:52.5,+1:04:31.3
